episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative
0,84,84,pair_003_conflict,conflict,1,0,0,12.420000000000002,0.29986166666666664,1344,4032,31,0,7
1,173,89,pair_015_control,control,1,0,0,12.370000000000001,0.29971333333333333,2768,8304,32,0,22
2,200,27,pair_000_control,control,0,1,0,-0.71,0.2996683333333333,3200,9600,59,1,30
3,306,106,pair_012_conflict,conflict,1,0,0,12.200000000000001,0.29949166666666666,4896,14688,71,1,67
4,383,77,pair_006_conflict,conflict,0,1,0,0.24000000000000044,0.2993633333333333,6128,18384,88,2,101
5,493,110,pair_012_control,control,0,1,0,1.110000000000002,0.29918,7888,23664,112,2,157
6,584,91,pair_007_control,control,1,0,0,12.350000000000001,0.29902833333333334,9344,28032,112,2,210
7,681,97,pair_011_control,control,1,0,0,12.290000000000001,0.29886666666666667,10896,32688,147,5,273
8,720,39,pair_008_control,control,0,1,0,-0.12999999999999978,0.29880166666666663,11520,34560,163,5,315
9,739,19,pair_005_control,control,0,1,0,-0.4800000000000001,0.29877,11824,35472,182,5,334
10,777,38,pair_010_conflict,conflict,0,1,0,-0.11999999999999977,0.2987066666666667,12432,37296,206,5,380
11,899,122,pair_006_control,control,1,0,0,12.040000000000001,0.29850333333333334,14384,43152,235,5,534
12,985,86,pair_004_conflict,conflict,1,0,0,12.400000000000002,0.29836,15760,47280,257,5,652
13,1080,95,pair_001_control,control,1,0,0,12.310000000000002,0.29820166666666664,17280,51840,257,5,798
14,1193,113,pair_009_control,control,1,0,0,12.130000000000003,0.2980133333333333,19088,57264,293,5,957
15,1295,102,pair_017_control,control,1,0,0,12.240000000000002,0.29784333333333335,20720,62160,323,5,1126
16,1390,95,pair_010_control,control,1,0,0,12.310000000000002,0.297685,22240,66720,323,5,1284
17,1492,102,pair_002_conflict,conflict,1,0,0,12.240000000000002,0.297515,23872,71616,346,5,1492
18,1504,12,pair_000_conflict,conflict,0,1,0,-0.56,0.297495,24064,72192,358,6,1516
19,1588,84,pair_014_control,control,1,0,0,12.420000000000002,0.297355,25408,76224,389,7,1699
20,1684,96,pair_013_conflict,conflict,1,0,0,12.3,0.297195,26944,80832,396,7,1904
21,1793,109,pair_007_conflict,conflict,1,0,0,12.170000000000002,0.2970133333333333,28688,86064,433,7,2163
22,1897,104,pair_008_conflict,conflict,1,0,0,12.22,0.29684,30352,91056,451,7,2414
23,1979,82,pair_016_conflict,conflict,1,0,0,12.440000000000001,0.2967033333333333,31664,94992,464,7,2623
24,2074,95,pair_017_conflict,conflict,1,0,0,12.310000000000002,0.296545,33184,99552,480,7,2880
25,2171,97,pair_011_conflict,conflict,1,0,0,12.290000000000001,0.29638333333333333,34736,104208,504,7,3126
26,2249,78,pair_014_conflict,conflict,1,0,0,12.480000000000002,0.2962533333333333,35984,107952,522,7,3348
27,2283,34,pair_001_conflict,conflict,0,1,0,-0.22999999999999987,0.29619666666666666,36528,109584,530,7,3434
28,2380,97,pair_015_conflict,conflict,1,0,0,12.290000000000003,0.296035,38080,114240,551,7,3737
29,2478,98,pair_016_control,control,1,0,0,12.280000000000001,0.29587166666666664,39648,118944,579,8,4024
30,2504,26,pair_003_control,control,0,1,0,-0.4,0.2958283333333333,40064,120192,602,8,4124
31,2507,3,pair_002_control,control,0,1,0,-1.02,0.2958233333333333,40112,120336,605,8,4136
32,2576,69,pair_009_conflict,conflict,0,1,0,0.17000000000000037,0.2957083333333333,41216,123648,637,9,4326
33,2666,90,pair_004_control,control,1,0,0,12.360000000000001,0.2955583333333333,42656,127968,651,9,4646
34,2747,81,pair_005_conflict,conflict,1,0,0,12.450000000000001,0.2954233333333333,43952,131856,681,9,4937
35,2849,102,pair_013_control,control,1,0,0,12.240000000000002,0.2952533333333333,45584,136752,682,9,5295
36,2949,100,pair_011_control,control,1,0,0,12.260000000000002,0.29508666666666666,47184,141552,682,9,5633
37,3029,80,pair_009_control,control,1,0,0,12.46,0.29495333333333335,48464,145392,716,9,5960
