episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative
0,112,112,pair_003_conflict,conflict,1,0,0,12.14,0.299815,1792,5376,39,0,21
1,198,86,pair_015_control,control,1,0,0,12.400000000000002,0.29967166666666667,3168,9504,52,0,39
2,309,111,pair_000_control,control,1,0,0,12.150000000000002,0.2994866666666667,4944,14832,83,0,86
3,411,102,pair_012_conflict,conflict,1,0,0,12.240000000000002,0.2993166666666667,6576,19728,95,0,142
4,533,122,pair_006_conflict,conflict,1,0,0,12.040000000000001,0.29911333333333334,8528,25584,135,0,226
5,622,89,pair_012_control,control,1,0,0,12.370000000000001,0.298965,9952,29856,143,0,272
6,722,100,pair_007_control,control,1,0,0,12.260000000000002,0.29879833333333333,11552,34656,169,0,367
7,823,101,pair_011_control,control,1,0,0,12.250000000000002,0.29863,13168,39504,182,0,475
8,916,93,pair_008_control,control,1,0,0,12.330000000000002,0.298475,14656,43968,189,0,566
9,1008,92,pair_005_control,control,1,0,0,12.340000000000002,0.29832166666666665,16128,48384,220,0,682
10,1097,89,pair_010_conflict,conflict,1,0,0,12.370000000000001,0.29817333333333335,17552,52656,251,0,791
11,1204,107,pair_006_control,control,1,0,0,12.190000000000001,0.297995,19264,57792,273,0,943
12,1297,93,pair_004_conflict,conflict,1,0,0,12.330000000000002,0.29784,20752,62256,296,0,1081
13,1383,86,pair_001_control,control,1,0,0,12.400000000000002,0.29769666666666666,22128,66384,305,0,1232
14,1481,98,pair_009_control,control,1,0,0,12.280000000000001,0.2975333333333333,23696,71088,305,0,1414
15,1582,101,pair_017_control,control,1,0,0,12.250000000000002,0.297365,25312,75936,321,0,1589
16,1679,97,pair_010_control,control,1,0,0,12.290000000000001,0.2972033333333333,26864,80592,321,0,1756
17,1687,8,pair_002_conflict,conflict,0,1,0,-0.87,0.29719,26992,80976,329,0,1772
18,1775,88,pair_000_conflict,conflict,1,0,0,12.38,0.2970433333333333,28400,85200,351,0,1955
19,1881,106,pair_014_control,control,1,0,0,12.200000000000001,0.29686666666666667,30096,90288,362,0,2158
20,2019,138,pair_013_conflict,conflict,1,0,0,11.88,0.29663666666666666,32304,96912,390,0,2431
21,2119,100,pair_007_conflict,conflict,1,0,0,12.260000000000002,0.29647,33904,101712,392,0,2647
22,2244,125,pair_008_conflict,conflict,1,0,0,12.010000000000002,0.29626166666666665,35904,107712,392,0,2926
23,2341,97,pair_016_conflict,conflict,1,0,0,12.290000000000001,0.2961,37456,112368,408,0,3146
24,2460,119,pair_017_conflict,conflict,1,0,0,12.07,0.2959016666666667,39360,118080,426,0,3416
25,2577,117,pair_011_conflict,conflict,1,0,0,12.090000000000002,0.2957066666666667,41232,123696,426,0,3710
26,2682,105,pair_014_conflict,conflict,1,0,0,12.21,0.29553166666666664,42912,128736,441,0,3947
27,2777,95,pair_001_conflict,conflict,1,0,0,12.310000000000002,0.2953733333333333,44432,133296,441,0,4151
28,2858,81,pair_015_conflict,conflict,1,0,0,12.450000000000003,0.2952383333333333,45728,137184,451,0,4379
29,2964,106,pair_016_control,control,1,0,0,12.200000000000001,0.29506166666666667,47424,142272,468,0,4628
30,3066,102,pair_003_control,control,1,0,0,12.240000000000002,0.29489166666666666,49056,147168,488,0,4876
31,3068,2,pair_002_control,control,0,1,0,-0.96,0.2948883333333333,49088,147264,490,0,4882
32,3170,102,pair_009_conflict,conflict,1,0,0,12.240000000000002,0.2947183333333333,50720,152160,490,0,5184
33,3184,14,pair_004_control,control,0,1,0,-0.4800000000000001,0.294695,50944,152832,502,0,5223
34,3267,83,pair_005_conflict,conflict,1,0,0,12.430000000000001,0.29455666666666663,52272,156816,513,0,5453
35,3380,113,pair_013_control,control,1,0,0,12.13,0.29436833333333334,54080,162240,539,0,5788
36,3488,108,pair_011_control,control,1,0,0,12.180000000000001,0.29418833333333333,55808,167424,539,0,6083
37,3601,113,pair_009_control,control,1,0,0,12.13,0.294,57616,172848,539,0,6414
38,3727,126,pair_007_conflict,conflict,1,0,0,12.0,0.29379,59632,178896,539,0,6759
39,3831,104,pair_017_control,control,1,0,0,12.220000000000002,0.29361666666666664,61296,183888,556,0,7072
40,3942,111,pair_014_conflict,conflict,1,0,0,12.150000000000002,0.29343166666666665,63072,189216,575,0,7414
41,4048,106,pair_013_conflict,conflict,1,0,0,12.200000000000001,0.293255,64768,194304,588,0,7768
42,4150,102,pair_015_control,control,1,0,0,12.240000000000002,0.293085,66400,199200,600,0,8114
43,4152,2,pair_002_control,control,0,1,0,-0.96,0.29308166666666663,66432,199296,602,0,8120
44,4253,101,pair_012_conflict,conflict,1,0,0,12.250000000000002,0.2929133333333333,68048,204144,614,0,8456
45,4357,104,pair_013_control,control,1,0,0,12.22,0.29274,69712,209136,623,0,8793
46,4448,91,pair_008_control,control,1,0,0,12.350000000000001,0.29258833333333334,71168,213504,639,0,9132
47,4554,106,pair_005_conflict,conflict,1,0,0,12.200000000000001,0.2924116666666667,72864,218592,667,0,9538
48,4637,83,pair_006_control,control,1,0,0,12.430000000000001,0.29227333333333333,74192,222576,667,0,9845
49,4730,93,pair_001_conflict,conflict,1,0,0,12.330000000000002,0.2921183333333333,75680,227040,680,0,10221
50,4823,93,pair_016_conflict,conflict,1,0,0,12.330000000000002,0.2919633333333333,77168,231504,700,0,10589
51,4867,44,pair_010_control,control,0,1,0,-0.32999999999999996,0.29189,77872,233616,729,0,10747
52,4953,86,pair_006_conflict,conflict,1,0,0,12.400000000000002,0.29174666666666665,79248,237744,731,0,11101
53,5034,81,pair_011_conflict,conflict,1,0,0,12.450000000000001,0.29161166666666666,80544,241632,736,0,11439
54,5124,90,pair_010_conflict,conflict,1,0,0,12.360000000000001,0.2914616666666667,81984,245952,740,0,11793
55,5217,93,pair_003_conflict,conflict,1,0,0,12.330000000000002,0.29130666666666666,83472,250416,760,0,12183
56,5310,93,pair_017_conflict,conflict,1,0,0,12.330000000000002,0.29115166666666664,84960,254880,777,0,12517
57,5396,86,pair_014_control,control,1,0,0,12.400000000000002,0.2910083333333333,86336,259008,795,0,12854
58,5495,99,pair_016_control,control,1,0,0,12.270000000000001,0.29084333333333334,87920,263760,811,0,13296
59,5613,118,pair_015_conflict,conflict,1,0,0,12.080000000000002,0.29064666666666666,89808,269424,825,0,13835
60,5711,98,pair_012_control,control,1,0,0,12.280000000000001,0.2904833333333333,91376,274128,833,1,14278
61,5805,94,pair_009_conflict,conflict,1,0,0,12.32,0.2903266666666667,92880,278640,833,1,14709
62,5920,115,pair_004_conflict,conflict,1,0,0,12.110000000000001,0.290135,94720,284160,861,1,15286
63,6017,97,pair_007_control,control,1,0,0,12.290000000000001,0.2899733333333333,96272,288816,861,1,15793
64,6108,91,pair_004_control,control,1,0,0,12.350000000000001,0.28982166666666664,97728,293184,890,1,16236
65,6204,96,pair_005_control,control,1,0,0,12.3,0.28966166666666665,99264,297792,918,2,16728
66,6292,88,pair_008_conflict,conflict,1,0,0,12.380000000000003,0.28951499999999997,100672,302016,918,2,17211
67,6391,99,pair_000_conflict,conflict,1,0,0,12.270000000000001,0.28935,102256,306768,951,2,17750
68,6508,117,pair_000_control,control,1,0,0,12.090000000000002,0.289155,104128,312384,976,2,18398
69,6542,34,pair_003_control,control,0,1,0,-0.5800000000000003,0.28909833333333335,104672,314016,1004,2,18589
70,6643,101,pair_002_conflict,conflict,1,0,0,12.25,0.28892999999999996,106288,318864,1019,2,19171
71,6739,96,pair_001_control,control,1,0,0,12.3,0.28876999999999997,107824,323472,1057,2,19720
72,6830,91,pair_001_conflict,conflict,1,0,0,12.350000000000001,0.2886183333333333,109280,327840,1087,2,20256
73,6921,91,pair_013_control,control,1,0,0,12.350000000000001,0.28846666666666665,110736,332208,1111,2,20810
74,7017,96,pair_006_conflict,conflict,1,0,0,12.3,0.28830666666666666,112272,336816,1126,2,21409
75,7114,97,pair_003_control,control,1,0,0,12.290000000000001,0.288145,113824,341472,1156,2,22049
76,7207,93,pair_008_conflict,conflict,1,0,0,12.330000000000002,0.28798999999999997,115312,345936,1188,2,22661
77,7298,91,pair_008_control,control,1,0,0,12.350000000000001,0.2878383333333333,116768,350304,1218,2,23242
78,7385,87,pair_013_conflict,conflict,1,0,0,12.39,0.2876933333333333,118160,354480,1244,2,23850
79,7486,101,pair_006_control,control,1,0,0,12.250000000000002,0.287525,119776,359328,1267,2,24561
80,7529,43,pair_010_conflict,conflict,0,1,0,-0.32000000000000006,0.28745333333333334,120464,361392,1297,3,24828
81,7642,113,pair_012_conflict,conflict,1,0,0,12.13,0.287265,122272,366816,1308,3,25630
82,7756,114,pair_001_control,control,1,0,0,12.120000000000001,0.28707499999999997,124096,372288,1331,3,26466
83,7840,84,pair_003_conflict,conflict,1,0,0,12.420000000000002,0.286935,125440,376320,1349,3,27078
84,7945,105,pair_002_conflict,conflict,1,0,0,12.21,0.28676,127120,381360,1385,3,27889
85,8039,94,pair_015_conflict,conflict,1,0,0,12.320000000000002,0.2866033333333333,128624,385872,1412,3,28578
86,8146,107,pair_011_conflict,conflict,1,0,0,12.190000000000001,0.286425,130336,391008,1438,3,29399
87,8249,103,pair_000_conflict,conflict,1,0,0,12.23,0.2862533333333333,131984,395952,1473,3,30226
