episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress
0,48,48,pair_009_n3_009_conflict,conflict,0,1,0,0.38000000000000056,0.29992166666666664,767,2305,38,0,8,1,4,1,0.05555555555555555
1,141,93,pair_013_n5_013_conflict,conflict,1,0,0,12.330000000000002,0.2997666666666667,2137,6887,123,1,169,119,8,2,0.1111111111111111
2,143,2,pair_009_n3_009_control,control,0,1,0,-0.96,0.2997633333333333,2164,6988,125,1,176,124,10,3,0.16666666666666666
3,244,101,pair_007_n5_007_control,control,0,1,0,0.850000000000001,0.299595,3476,12140,150,1,557,428,14,4,0.2222222222222222
4,328,84,pair_000_n5_000_control,control,0,1,0,1.2200000000000015,0.29945499999999997,4484,16508,197,1,974,764,18,5,0.2777777777777778
5,628,300,pair_008_n5_008_control,control,0,0,0,0.09999999999999946,0.29895499999999997,8084,32108,352,1,2571,1964,18,5,0.2777777777777778
6,638,10,pair_012_n3_012_conflict,conflict,0,1,0,-1.04,0.2989383333333333,8203,32629,362,1,2624,2005,22,6,0.3333333333333333
7,641,3,pair_006_n5_006_conflict,conflict,0,1,0,-0.92,0.29893333333333333,8235,32789,365,2,2648,2021,25,7,0.3888888888888889
8,757,116,pair_013_n3_013_conflict,conflict,1,0,0,12.100000000000001,0.29874,9370,39078,435,3,3625,2742,29,8,0.4444444444444444
9,799,42,pair_005_n5_005_conflict,conflict,0,1,0,-0.71,0.29867,9744,41392,466,4,4028,3040,37,10,0.5555555555555556
10,937,138,pair_013_n3_013_control,control,1,0,0,11.88,0.29844,10710,49258,551,4,5655,4282,37,10,0.5555555555555556
11,1237,300,pair_005_n5_005_control,control,0,0,0,0.09999999999999945,0.29794,12810,66358,811,4,9445,6982,37,10,0.5555555555555556
12,1339,102,pair_015_n3_015_conflict,conflict,1,0,0,12.240000000000002,0.29777,13524,72172,837,4,10834,7900,37,10,0.5555555555555556
13,1462,123,pair_005_n3_005_control,control,1,0,0,12.030000000000001,0.29756499999999997,14385,79183,886,4,12522,9007,37,10,0.5555555555555556
14,1762,300,pair_015_n3_015_control,control,0,0,0,-3.2999999999999856,0.29706499999999997,16485,96283,1186,4,16995,11707,37,10,0.5555555555555556
15,2062,300,pair_004_n5_004_control,control,0,0,0,-1.5999999999999988,0.29656499999999997,18585,113383,1467,4,21931,14407,37,10,0.5555555555555556
16,2152,90,pair_010_n5_010_control,control,0,1,0,-0.6900000000000004,0.296415,19214,118514,1541,4,23520,15218,41,11,0.6111111111111112
17,2284,132,pair_001_n3_001_conflict,conflict,1,0,0,11.940000000000001,0.296195,20006,126170,1631,4,26031,16538,41,11,0.6111111111111112
18,2584,300,pair_012_n5_012_conflict,conflict,0,0,0,0.19999999999999923,0.295695,21806,143570,1762,4,31873,19538,41,11,0.6111111111111112
19,2884,300,pair_011_n3_011_control,control,0,0,0,-0.15000000000000005,0.295195,23606,160970,2021,4,37963,22538,41,11,0.6111111111111112
20,3108,224,pair_011_n5_011_control,control,1,0,0,11.02,0.29482166666666665,24950,173962,2146,4,42807,24778,41,11,0.6111111111111112
21,3131,23,pair_017_n5_017_conflict,conflict,0,1,0,-0.72,0.29478333333333334,25087,175297,2169,4,43324,25009,45,12,0.6666666666666666
22,3265,134,pair_003_n5_003_conflict,conflict,1,0,0,11.920000000000002,0.29456,25757,183203,2249,4,46459,26483,45,12,0.6666666666666666
23,3288,23,pair_015_n5_015_conflict,conflict,0,1,0,-0.77,0.2945216666666667,25871,184561,2272,4,47005,26737,49,13,0.7222222222222222
24,3302,14,pair_015_n5_015_control,control,0,1,0,-0.88,0.2944983333333333,25927,185401,2286,4,47340,26905,53,14,0.7777777777777778
25,3326,24,pair_009_n5_009_control,control,0,1,0,-0.78,0.2944583333333333,26023,186841,2310,4,47938,27193,57,14,0.7777777777777778
26,3573,247,pair_010_n5_010_conflict,conflict,0,1,0,-0.26000000000000023,0.2940466666666667,26794,201878,2511,6,54451,30374,69,16,0.8888888888888888
27,3739,166,pair_003_n3_003_control,control,0,1,0,0.5500000000000005,0.29377,26984,212312,2624,7,59325,32840,77,18,1.0
28,4002,263,pair_003_n3_003_conflict,conflict,0,1,0,-0.42000000000000015,0.29333166666666666,26984,229144,2845,7,67564,37048,81,19,1.0
29,4302,300,pair_010_n3_010_conflict,conflict,0,0,0,-0.24999999999999958,0.29283166666666666,26984,248344,3087,7,77297,41848,81,19,1.0
30,4602,300,pair_014_n3_014_conflict,conflict,0,0,0,0.24999999999999975,0.29233166666666666,26984,267544,3148,7,87241,46648,81,19,1.0
31,4829,227,pair_017_n3_017_control,control,1,0,0,10.99,0.29195333333333334,26984,282072,3233,7,94940,50280,81,19,1.0
32,4958,129,pair_016_n5_016_conflict,conflict,0,1,0,0.820000000000001,0.2917383333333333,26984,290328,3285,7,99346,52344,85,20,1.0
33,5258,300,pair_000_n3_000_conflict,conflict,0,0,0,-3.8163916471489756e-16,0.2912383333333333,26984,309528,3525,7,109702,57144,85,20,1.0
34,5369,111,pair_008_n5_008_conflict,conflict,0,1,0,0.9500000000000011,0.29105333333333333,26984,316632,3559,8,113635,58920,93,21,1.0
35,5636,267,pair_004_n5_004_conflict,conflict,1,0,0,10.59,0.2906083333333333,26984,333720,3755,8,123287,63192,93,21,1.0
36,5936,300,pair_000_n3_000_control,control,0,0,0,0.049999999999999406,0.2901083333333333,26984,352920,3995,8,134445,67992,93,21,1.0
37,6236,300,pair_011_n3_011_conflict,conflict,0,0,0,0.14999999999999947,0.2896083333333333,26984,372120,4148,8,145980,72792,93,21,1.0
38,6242,6,pair_016_n3_016_control,control,0,1,0,-0.85,0.28959833333333335,26984,372504,4154,8,146206,72888,97,22,1.0
39,6289,47,pair_006_n5_006_control,control,0,1,0,-1.2100000000000002,0.28952,26984,375512,4201,8,148094,73640,101,22,1.0
40,6589,300,pair_001_n5_001_conflict,conflict,0,0,0,0.14999999999999966,0.28902,26984,394712,4370,8,160026,78440,101,22,1.0
41,6829,240,pair_013_n5_013_control,control,1,0,0,10.86,0.28862,26984,410072,4558,8,169734,82280,101,22,1.0
42,7028,199,pair_002_n3_002_control,control,1,0,0,11.27,0.2882883333333333,26984,422808,4666,8,177967,85464,101,22,1.0
43,7328,300,pair_008_n3_008_control,control,0,0,0,0.14999999999999997,0.2877883333333333,26984,442008,4913,8,190559,90264,101,22,1.0
44,7628,300,pair_006_n3_006_conflict,conflict,0,0,0,-4.2327252813834093e-16,0.2872883333333333,26984,461208,4968,8,203571,95064,101,22,1.0
45,7928,300,pair_017_n3_017_conflict,conflict,0,0,0,-3.8510861166685117e-16,0.2867883333333333,26984,480408,5001,9,216596,99864,105,23,1.0
46,8111,183,pair_001_n3_001_control,control,0,1,0,0.13000000000000034,0.2864833333333333,26984,492120,5126,9,224617,102792,109,24,1.0
47,8250,139,pair_004_n3_004_control,control,1,0,0,11.870000000000001,0.2862516666666667,26984,501016,5201,9,230728,105016,109,24,1.0
48,8550,300,pair_000_n5_000_conflict,conflict,0,0,0,-0.2500000000000003,0.2857516666666667,26984,520216,5474,11,244419,109816,117,25,1.0
49,8676,126,pair_002_n3_002_conflict,conflict,1,0,0,12.0,0.28554166666666664,26984,528280,5529,11,250277,111832,117,25,1.0
50,8791,115,pair_002_n5_002_control,control,1,0,0,12.110000000000001,0.28535,26984,535640,5582,11,255689,113672,117,25,1.0
51,8941,150,pair_007_n3_007_control,control,1,0,0,11.760000000000002,0.28509999999999996,26984,545240,5690,11,262662,116072,117,25,1.0
52,9136,195,pair_002_n5_002_conflict,conflict,1,0,0,11.31,0.284775,26984,557720,5809,11,271824,119192,117,25,1.0
53,9239,103,pair_007_n3_007_conflict,conflict,1,0,0,12.230000000000002,0.2846033333333333,26984,564312,5883,11,276685,120840,117,25,1.0
54,9342,103,pair_001_n5_001_control,control,1,0,0,12.230000000000002,0.28443166666666664,26984,570904,5920,11,281498,122488,117,25,1.0
55,9541,199,pair_004_n3_004_conflict,conflict,1,0,0,11.27,0.28409999999999996,26984,583640,6078,11,290804,125672,117,25,1.0
56,9841,300,pair_017_n5_017_control,control,0,0,0,0.19999999999999957,0.28359999999999996,26984,602840,6134,11,304754,130472,117,25,1.0
57,9936,95,pair_010_n3_010_control,control,1,0,0,12.310000000000002,0.28344166666666665,26984,608920,6170,11,309166,131992,117,25,1.0
58,10050,114,pair_008_n3_008_conflict,conflict,0,1,0,1.070000000000002,0.2832516666666667,26984,616216,6213,11,314372,133816,121,26,1.0
59,10178,128,pair_007_n5_007_conflict,conflict,1,0,0,11.98,0.28303833333333334,26984,624408,6306,11,320275,135864,121,26,1.0
60,10268,90,pair_014_n5_014_control,control,0,1,0,0.9600000000000009,0.2828883333333333,26984,630168,6377,12,324377,137304,125,26,1.0
61,10274,6,pair_011_n5_011_conflict,conflict,0,1,0,-0.95,0.28287833333333334,26984,630552,6383,14,324644,137400,133,26,1.0
62,10386,112,pair_016_n5_016_control,control,1,0,0,12.14,0.2826916666666667,26984,637720,6436,15,329659,139192,137,26,1.0
63,10633,247,pair_014_n5_014_conflict,conflict,1,0,0,10.79,0.28228,26984,653528,6539,15,340701,143144,137,26,1.0
64,10777,144,pair_012_n3_012_control,control,1,0,0,11.82,0.28204,26984,662744,6603,15,347105,145448,137,26,1.0
65,11061,284,pair_012_n5_012_control,control,1,0,0,10.42,0.28156666666666663,26984,680920,6867,15,359762,149992,137,26,1.0
66,11154,93,pair_016_n3_016_conflict,conflict,1,0,0,12.330000000000002,0.28141166666666667,26984,686872,6918,15,363893,151480,137,26,1.0
67,11454,300,pair_006_n3_006_control,control,0,0,0,0.14999999999999936,0.28091166666666667,26984,706072,6989,15,377368,156280,137,26,1.0
68,11534,80,pair_005_n3_005_conflict,conflict,0,1,0,-1.1900000000000004,0.2807783333333333,26984,711192,7068,15,380912,157560,141,27,1.0
69,11539,5,pair_009_n5_009_conflict,conflict,0,1,0,-0.89,0.28076999999999996,26984,711512,7073,15,381130,157640,145,28,1.0
70,11670,131,pair_003_n5_003_control,control,0,1,0,0.900000000000001,0.28055166666666664,26984,719896,7164,15,386895,159736,149,29,1.0
71,11692,22,pair_014_n3_014_control,control,0,1,0,-0.96,0.280515,26984,721304,7186,15,387868,160088,153,30,1.0
72,11695,3,pair_013_n3_013_conflict,conflict,0,1,0,-1.02,0.28051,26984,721496,7189,15,388004,160136,156,31,1.0
73,11742,47,pair_006_n5_006_control,control,0,1,0,-1.16,0.28043166666666663,26984,724504,7236,15,390096,160888,160,32,1.0
74,11854,112,pair_007_n3_007_control,control,0,1,0,-0.5600000000000003,0.28024499999999997,26984,731672,7337,16,395091,162680,164,33,1.0
75,11898,44,pair_002_n3_002_conflict,conflict,0,1,0,-1.33,0.28017166666666665,26984,734488,7381,18,397023,163384,172,33,1.0
76,11921,23,pair_017_n3_017_conflict,conflict,0,1,0,-0.97,0.28013333333333335,26984,735960,7404,18,398057,163752,176,33,1.0
77,12034,113,pair_016_n5_016_conflict,conflict,1,0,0,12.13,0.279945,26984,743192,7482,18,403124,165560,176,33,1.0
78,12334,300,pair_000_n5_000_conflict,conflict,0,0,0,-4.0939474033052647e-16,0.279445,26984,762392,7712,18,416245,170360,176,33,1.0
79,12471,137,pair_008_n5_008_control,control,1,0,0,11.89,0.27921666666666667,26984,771160,7811,18,422289,172552,176,33,1.0
80,12586,115,pair_009_n3_009_control,control,1,0,0,12.110000000000003,0.27902499999999997,26984,778520,7908,20,427346,174392,184,33,1.0
81,12716,130,pair_012_n5_012_conflict,conflict,1,0,0,11.96,0.2788083333333333,26984,786840,7982,21,433108,176472,187,33,1.0
82,12826,110,pair_007_n5_007_conflict,conflict,1,0,0,12.16,0.278625,26984,793880,8073,21,438036,178232,187,33,1.0
83,13001,175,pair_012_n3_012_control,control,1,0,0,11.51,0.2783333333333333,26984,805080,8204,23,445760,181032,195,33,1.0
84,13109,108,pair_010_n3_010_control,control,1,0,0,12.180000000000001,0.2781533333333333,26984,811992,8278,23,450592,182760,195,33,1.0
85,13215,106,pair_002_n5_002_conflict,conflict,1,0,0,12.200000000000001,0.27797666666666665,26984,818776,8345,23,455339,184456,195,33,1.0
86,13309,94,pair_004_n5_004_conflict,conflict,1,0,0,12.320000000000002,0.27782,26984,824792,8415,23,459522,185960,195,33,1.0
87,13407,98,pair_016_n3_016_conflict,conflict,1,0,0,12.280000000000001,0.27765666666666666,26984,831064,8477,23,463906,187528,195,33,1.0
88,13503,96,pair_009_n5_009_conflict,conflict,1,0,0,12.3,0.27749666666666667,26984,837208,8552,24,468356,189064,198,33,1.0
89,13603,100,pair_006_n3_006_conflict,conflict,1,0,0,12.260000000000002,0.27732999999999997,26984,843608,8613,24,472952,190664,198,33,1.0
90,13651,48,pair_007_n3_007_conflict,conflict,0,1,0,-1.27,0.27725,26984,846680,8661,24,475159,191432,202,34,1.0
