episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative
0,79,79,pair_013_conflict,conflict,1,0,0,12.470000000000002,0.29986999999999997,0,5056,18,0,0
1,176,97,pair_001_conflict,conflict,1,0,0,12.290000000000001,0.2997083333333333,0,11264,25,0,19
2,279,103,pair_014_conflict,conflict,1,0,0,12.23,0.2995366666666667,0,17856,49,0,37
3,385,106,pair_011_control,control,1,0,0,12.200000000000001,0.29936,0,24640,98,0,86
4,405,20,pair_003_conflict,conflict,0,1,0,-0.2899999999999999,0.29932666666666663,0,25920,112,0,99
5,516,111,pair_017_control,control,1,0,0,12.150000000000002,0.29914166666666664,0,33024,130,0,178
6,628,112,pair_011_conflict,conflict,1,0,0,12.14,0.29895499999999997,0,40192,156,0,299
7,739,111,pair_006_control,control,1,0,0,12.150000000000002,0.29877,0,47296,156,0,416
8,824,85,pair_008_control,control,1,0,0,12.410000000000002,0.29862833333333333,0,52736,165,0,521
9,915,91,pair_009_control,control,1,0,0,12.350000000000001,0.29847666666666667,0,58560,165,0,644
10,998,83,pair_005_control,control,1,0,0,12.430000000000001,0.2983383333333333,0,63872,185,0,764
11,1086,88,pair_009_conflict,conflict,1,0,0,12.380000000000003,0.29819166666666663,0,69504,202,0,897
12,1187,101,pair_017_conflict,conflict,1,0,0,12.250000000000002,0.2980233333333333,0,75968,215,0,1042
13,1295,108,pair_007_control,control,1,0,0,12.180000000000001,0.29784333333333335,0,82880,260,0,1239
14,1401,106,pair_016_control,control,1,0,0,12.200000000000003,0.29766666666666663,0,89664,286,0,1442
15,1495,94,pair_004_conflict,conflict,1,0,0,12.32,0.29751,0,95680,312,0,1652
16,1595,100,pair_004_control,control,1,0,0,12.260000000000002,0.29734333333333335,0,102080,352,0,1915
17,1597,2,pair_002_control,control,0,1,0,-0.96,0.29734,0,102208,354,0,1920
18,1693,96,pair_006_conflict,conflict,1,0,0,12.3,0.29718,0,108352,381,0,2180
19,1778,85,pair_012_conflict,conflict,1,0,0,12.410000000000002,0.29703833333333335,0,113792,389,0,2402
20,1882,104,pair_000_conflict,conflict,1,0,0,12.22,0.296865,0,120448,446,0,2744
21,1955,73,pair_015_control,control,0,1,0,1.2300000000000013,0.2967433333333333,0,125120,457,0,2990
22,2018,63,pair_014_control,control,0,1,0,0.6300000000000008,0.29663833333333334,0,129152,466,1,3205
23,2103,85,pair_007_conflict,conflict,1,0,0,12.410000000000002,0.29649666666666663,0,134592,491,1,3534
24,2140,37,pair_008_conflict,conflict,0,1,0,-0.20999999999999996,0.296435,0,136960,515,1,3665
25,2235,95,pair_005_conflict,conflict,1,0,0,12.310000000000002,0.29627666666666663,0,143040,540,1,4040
26,2326,91,pair_010_control,control,1,0,0,12.350000000000001,0.29612499999999997,0,148864,567,1,4441
27,2419,93,pair_002_conflict,conflict,1,0,0,12.330000000000002,0.29597,0,154816,591,1,4833
28,2526,107,pair_010_conflict,conflict,1,0,0,12.190000000000001,0.2957916666666667,0,161664,635,1,5313
29,2615,89,pair_016_conflict,conflict,1,0,0,12.370000000000001,0.2956433333333333,0,167360,670,1,5719
30,2724,109,pair_001_control,control,1,0,0,12.170000000000002,0.2954616666666667,0,174336,706,1,6293
31,2819,95,pair_015_conflict,conflict,1,0,0,12.310000000000002,0.2953033333333333,0,180416,725,1,6760
32,2926,107,pair_013_control,control,1,0,0,12.190000000000001,0.29512499999999997,0,187264,766,2,7332
33,2950,24,pair_003_control,control,0,1,0,-0.32999999999999996,0.295085,0,188800,779,2,7461
34,3030,80,pair_012_control,control,1,0,0,12.46,0.29495166666666667,0,193920,793,3,7886
35,3047,17,pair_000_control,control,0,1,0,-0.6100000000000001,0.2949233333333333,0,195008,810,4,7991
36,3092,45,pair_008_conflict,conflict,0,1,0,-0.18999999999999984,0.2948483333333333,0,197888,834,4,8277
37,3113,21,pair_004_control,control,0,1,0,-0.55,0.2948133333333333,0,199232,850,5,8409
38,3231,118,pair_010_control,control,1,0,0,12.080000000000002,0.29461666666666664,0,206784,895,5,9185
39,3310,79,pair_001_conflict,conflict,1,0,0,12.470000000000002,0.294485,0,211840,919,5,9709
40,3405,95,pair_000_conflict,conflict,1,0,0,12.310000000000002,0.2943266666666667,0,217920,951,5,10384
41,3512,107,pair_005_conflict,conflict,1,0,0,12.190000000000001,0.29414833333333334,0,224768,986,5,11175
42,3591,79,pair_016_conflict,conflict,0,1,0,0.870000000000001,0.29401666666666665,0,229824,1002,5,11755
43,3671,80,pair_011_conflict,conflict,1,0,0,12.46,0.29388333333333333,0,234944,1028,5,12368
44,3765,94,pair_006_control,control,1,0,0,12.32,0.29372666666666664,0,240960,1028,5,13104
45,3851,86,pair_010_conflict,conflict,1,0,0,12.400000000000002,0.2935833333333333,0,246464,1066,6,13715
46,3938,87,pair_011_control,control,1,0,0,12.39,0.2934383333333333,0,252032,1094,6,14389
47,4039,101,pair_009_control,control,1,0,0,12.250000000000002,0.29327,0,258496,1121,6,15209
48,4127,88,pair_007_control,control,1,0,0,12.380000000000003,0.29312333333333335,0,264128,1145,6,15971
49,4222,95,pair_014_control,control,1,0,0,12.310000000000002,0.292965,0,270208,1174,6,16820
50,4335,113,pair_001_control,control,1,0,0,12.13,0.29277666666666663,0,277440,1201,6,17822
51,4427,92,pair_002_control,control,1,0,0,12.340000000000002,0.29262333333333335,0,283328,1221,6,18609
52,4510,83,pair_007_conflict,conflict,1,0,0,12.430000000000001,0.292485,0,288640,1246,6,19358
53,4614,104,pair_014_conflict,conflict,1,0,0,12.22,0.29231166666666664,0,295296,1262,6,20286
54,4707,93,pair_005_control,control,1,0,0,12.330000000000002,0.2921566666666667,0,301248,1291,6,21135
55,4796,89,pair_012_control,control,1,0,0,12.370000000000001,0.2920083333333333,0,306944,1307,6,22008
56,4887,91,pair_006_conflict,conflict,1,0,0,12.350000000000001,0.29185666666666665,0,312768,1334,6,22923
57,4968,81,pair_003_control,control,1,0,0,12.450000000000001,0.29172166666666666,0,317952,1366,6,23727
58,5024,56,pair_013_control,control,0,1,0,0.900000000000001,0.2916283333333333,0,321536,1376,6,24268
59,5126,102,pair_004_conflict,conflict,1,0,0,12.240000000000002,0.2914583333333333,0,328064,1410,6,25365
60,5231,105,pair_000_control,control,1,0,0,12.21,0.29128333333333334,0,334784,1438,6,26513
61,5366,135,pair_017_control,control,1,0,0,11.91,0.2910583333333333,0,343424,1450,6,27897
62,5467,101,pair_015_control,control,1,0,0,12.250000000000002,0.29089,0,349888,1475,6,29032
63,5569,102,pair_015_conflict,conflict,1,0,0,12.240000000000002,0.29072,0,356416,1484,6,30197
64,5706,137,pair_013_conflict,conflict,1,0,0,11.89,0.29049166666666665,0,365184,1504,6,31710
65,5797,91,pair_009_conflict,conflict,1,0,0,12.350000000000001,0.29034,0,371008,1510,6,32773
66,5899,102,pair_016_control,control,1,0,0,12.240000000000002,0.29017,0,377536,1528,6,33880
67,5995,96,pair_002_conflict,conflict,1,0,0,12.3,0.29001,0,383680,1553,6,34990
68,6099,104,pair_017_conflict,conflict,1,0,0,12.220000000000002,0.28983666666666663,0,390336,1570,6,36198
69,6206,107,pair_008_control,control,1,0,0,12.190000000000001,0.2896583333333333,0,397184,1576,6,37447
70,6295,89,pair_003_conflict,conflict,1,0,0,12.370000000000001,0.28951,0,402880,1610,6,38508
71,6386,91,pair_012_conflict,conflict,1,0,0,12.350000000000001,0.28935833333333333,0,408704,1628,6,39588
72,6512,126,pair_007_conflict,conflict,1,0,0,12.0,0.28914833333333334,0,416768,1628,6,41186
73,6595,83,pair_016_control,control,0,1,0,0.9800000000000011,0.28901,0,422080,1647,6,42212
74,6685,90,pair_012_control,control,1,0,0,12.360000000000001,0.28886,0,427840,1664,6,43293
75,6773,88,pair_015_control,control,0,1,0,1.1300000000000012,0.2887133333333333,0,433472,1678,6,44373
76,6873,100,pair_014_control,control,1,0,0,12.260000000000002,0.2885466666666667,0,439872,1696,6,45605
77,6966,93,pair_016_conflict,conflict,1,0,0,12.330000000000002,0.28839166666666666,0,445824,1708,6,46783
78,7056,90,pair_008_control,control,1,0,0,12.360000000000001,0.2882416666666667,0,451584,1737,6,47897
79,7142,86,pair_011_control,control,1,0,0,12.400000000000002,0.28809833333333335,0,457088,1766,6,49009
80,7225,83,pair_005_control,control,1,0,0,12.430000000000001,0.28796,0,462400,1781,6,50075
81,7310,85,pair_008_conflict,conflict,1,0,0,12.410000000000002,0.28781833333333334,0,467840,1806,6,51267
82,7409,99,pair_006_conflict,conflict,1,0,0,12.270000000000001,0.2876533333333333,0,474176,1812,6,52602
83,7506,97,pair_017_conflict,conflict,1,0,0,12.290000000000001,0.28749166666666665,0,480384,1828,6,53851
84,7614,108,pair_006_control,control,1,0,0,12.180000000000001,0.28731166666666663,0,487296,1854,6,55368
85,7713,99,pair_000_control,control,1,0,0,12.270000000000001,0.28714666666666666,0,493632,1893,6,56696
86,7800,87,pair_011_conflict,conflict,1,0,0,12.390000000000002,0.28700166666666665,0,499200,1920,6,57918
