episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative
0,29,29,pair_001_control,control,0,1,0,-0.28,0.29995333333333335,174,1682,20,0,2
1,136,107,pair_015_conflict,conflict,1,0,0,12.190000000000001,0.299775,816,7888,41,0,29
2,240,104,pair_008_control,control,1,0,0,12.220000000000002,0.29960166666666666,1440,13920,41,0,55
3,342,102,pair_007_conflict,conflict,1,0,0,12.240000000000002,0.29943166666666665,2052,19836,78,0,93
4,440,98,pair_003_conflict,conflict,1,0,0,12.280000000000001,0.2992683333333333,2640,25520,107,0,164
5,542,102,pair_017_control,control,1,0,0,12.240000000000002,0.2990983333333333,3252,31436,119,0,234
6,557,15,pair_000_conflict,conflict,0,1,0,-0.5900000000000001,0.2990733333333333,3342,32306,134,1,244
7,666,109,pair_008_conflict,conflict,1,0,0,12.170000000000002,0.29889166666666667,3996,38628,134,1,359
8,726,60,pair_006_control,control,0,1,0,0.4100000000000006,0.2987916666666667,4356,42108,145,1,402
9,825,99,pair_012_conflict,conflict,1,0,0,12.270000000000001,0.29862666666666665,4950,47850,167,1,491
10,860,35,pair_010_control,control,0,1,0,-0.1399999999999998,0.2985683333333333,5160,49880,186,1,524
11,953,93,pair_012_control,control,0,1,0,1.2300000000000013,0.2984133333333333,5718,55274,197,1,633
12,1055,102,pair_004_conflict,conflict,1,0,0,12.240000000000002,0.2982433333333333,6330,61190,229,1,765
13,1157,102,pair_005_conflict,conflict,1,0,0,12.240000000000002,0.2980733333333333,6942,67106,258,1,942
14,1177,20,pair_000_control,control,0,1,0,-0.64,0.29803999999999997,7062,68266,274,2,975
15,1268,91,pair_014_conflict,conflict,1,0,0,12.350000000000001,0.2978883333333333,7608,73544,295,2,1127
16,1357,89,pair_006_conflict,conflict,1,0,0,12.370000000000001,0.29774,8142,78706,319,3,1294
17,1459,102,pair_016_conflict,conflict,1,0,0,12.240000000000002,0.29757,8754,84622,340,3,1512
18,1541,82,pair_014_control,control,0,1,0,1.140000000000001,0.2974333333333333,9246,89378,354,3,1709
19,1647,106,pair_015_control,control,1,0,0,12.200000000000001,0.29725666666666667,9882,95526,354,3,1995
