episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative
0,108,108,pair_011_conflict,conflict,1,0,0,12.180000000000001,0.29982166666666665,1728,5184,0,0,0
1,206,98,pair_004_conflict,conflict,1,0,0,12.280000000000001,0.2996583333333333,3296,9888,22,0,15
2,297,91,pair_001_control,control,1,0,0,12.350000000000001,0.29950666666666664,4752,14256,30,0,28
3,432,135,pair_015_conflict,conflict,1,0,0,11.91,0.29928166666666667,6912,20736,45,0,52
4,524,92,pair_007_conflict,conflict,1,0,0,12.340000000000002,0.29912833333333333,8384,25152,48,0,74
5,615,91,pair_017_conflict,conflict,1,0,0,12.350000000000001,0.29897666666666667,9840,29520,62,0,101
6,711,96,pair_010_conflict,conflict,1,0,0,12.3,0.2988166666666667,11376,34128,62,0,143
7,805,94,pair_006_conflict,conflict,1,0,0,12.320000000000002,0.29866,12880,38640,62,0,172
8,895,90,pair_003_conflict,conflict,1,0,0,12.360000000000001,0.29851,14320,42960,78,0,219
9,952,57,pair_014_conflict,conflict,0,1,0,0.6900000000000008,0.298415,15232,45696,90,2,253
10,1054,102,pair_013_control,control,1,0,0,12.240000000000002,0.298245,16864,50592,136,2,318
11,1078,24,pair_004_control,control,0,1,0,-0.5300000000000002,0.298205,17248,51744,152,3,334
12,1162,84,pair_017_control,control,1,0,0,12.420000000000002,0.29806499999999997,18592,55776,163,3,416
13,1197,35,pair_010_control,control,0,1,0,-0.29000000000000004,0.29800666666666664,19152,57456,188,3,456
14,1297,100,pair_013_conflict,conflict,1,0,0,12.260000000000002,0.29784,20752,62256,213,3,566
15,1407,110,pair_005_conflict,conflict,1,0,0,12.160000000000002,0.2976566666666667,22512,67536,228,3,686
16,1517,110,pair_000_conflict,conflict,1,0,0,12.16,0.2974733333333333,24272,72816,265,3,850
17,1602,85,pair_016_conflict,conflict,1,0,0,12.410000000000002,0.29733166666666666,25632,76896,283,3,958
18,1711,109,pair_003_control,control,1,0,0,12.170000000000002,0.29714999999999997,27376,82128,320,3,1162
19,1807,96,pair_005_control,control,1,0,0,12.3,0.29699,28912,86736,345,3,1354
20,1900,93,pair_016_control,control,1,0,0,12.330000000000002,0.296835,30400,91200,361,3,1532
21,1998,98,pair_012_conflict,conflict,1,0,0,12.280000000000001,0.29667166666666667,31968,95904,370,3,1694
22,2048,50,pair_009_control,control,0,1,0,0.2100000000000004,0.29658833333333334,32768,98304,388,3,1828
23,2136,88,pair_001_conflict,conflict,1,0,0,12.380000000000003,0.29644166666666666,34176,102528,417,4,2005
