episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_marked_total,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,action_margin_candidate_steps_cumulative,action_margin_labeled_steps_cumulative,action_margin_safe_labels_cumulative,action_margin_blocked_labels_cumulative,action_margin_mean_loss,action_margin_batch_items_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
0,3,3,pair_012_n3_012_control,control,0,1,0,-1.02,0.29999666666666663,48,144,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0
1,106,103,pair_010_n3_010_control,control,0,1,0,1.080000000000001,0.299825,1696,5088,15,0,3,0,0,0,0,0.0,0,0,0,0,0,0,106,0,0,0,0.0,0,0,0,0
2,108,2,pair_007_n5_007_control,control,0,1,0,-0.96,0.29982166666666665,1728,5184,17,0,3,0,0,0,0,0.0,0,0,0,0,0,0,108,0,0,0,0.0,0,0,0,0
3,111,3,pair_002_n5_002_control,control,0,1,0,-0.97,0.2998166666666667,1776,5328,20,0,3,0,0,0,0,0.0,0,0,0,0,0,0,111,0,0,0,0.0,0,0,0,0
4,190,79,pair_008_n3_008_conflict,conflict,1,0,0,12.470000000000002,0.299685,3040,9120,50,0,25,0,0,0,0,0.0,0,0,0,0,0,0,190,0,0,0,0.0,0,0,0,0
5,298,108,pair_003_n3_003_conflict,conflict,0,1,0,1.0800000000000018,0.29950499999999997,4768,14304,71,0,57,0,0,0,0,0.0,0,0,0,0,0,0,298,0,0,0,0.0,0,0,0,0
6,300,2,pair_016_n5_016_control,control,0,1,0,-0.96,0.29950166666666667,4800,14400,73,0,58,0,0,0,0,0.0,0,0,0,0,0,0,300,0,0,0,0.0,0,0,0,0
7,302,2,pair_011_n5_011_control,control,0,1,0,-0.96,0.2994983333333333,4832,14496,75,0,60,0,0,0,0,0.0,0,0,0,0,0,0,302,0,0,0,0.0,0,0,0,0
8,416,114,pair_016_n3_016_conflict,conflict,1,0,0,12.120000000000001,0.29930833333333334,6656,19968,114,0,121,0,0,0,0,0.0,0,0,0,0,0,0,416,0,0,0,0.0,0,0,0,0
9,418,2,pair_009_n5_009_conflict,conflict,0,1,0,-0.96,0.299305,6688,20064,116,0,122,0,0,0,0,0.0,0,0,0,0,0,0,418,0,0,0,0.0,0,0,0,0
10,422,4,pair_011_n5_011_conflict,conflict,0,1,0,-0.98,0.29929833333333333,6752,20256,120,0,122,0,0,0,0,0.0,0,0,0,0,0,0,422,0,0,0,0.0,0,0,0,0
