episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress
0,84,84,pair_003_n5_003_conflict,conflict,1,0,0,12.420000000000002,0.29986166666666664,1344,4032,52,0,8,0,0,0,0.0
1,87,3,pair_002_n5_002_conflict,conflict,0,1,0,-0.92,0.29985666666666666,1392,4176,55,1,9,0,0,0,0.0
2,89,2,pair_014_n5_014_conflict,conflict,0,1,0,-0.96,0.2998533333333333,1424,4272,57,1,9,0,0,0,0.0
3,108,19,pair_005_n3_005_control,control,0,1,0,-0.4800000000000001,0.29982166666666665,1728,5184,73,1,14,0,0,0,0.0
4,215,107,pair_001_n5_001_conflict,conflict,1,0,0,12.190000000000001,0.2996433333333333,3440,10320,90,1,64,0,0,0,0.0
5,322,107,pair_001_n3_001_conflict,conflict,1,0,0,12.190000000000001,0.299465,5152,15456,142,1,118,0,0,0,0.0
6,331,9,pair_004_n3_004_control,control,0,1,0,-0.9299999999999999,0.29945,5296,15888,151,1,124,0,0,0,0.0
7,435,104,pair_004_n5_004_conflict,conflict,1,0,0,12.220000000000002,0.29927666666666664,6960,20880,201,1,216,0,0,0,0.0
8,541,106,pair_004_n5_004_control,control,1,0,0,12.200000000000001,0.2991,8656,25968,243,1,330,0,0,0,0.0
9,543,2,pair_011_n5_011_control,control,0,1,0,-0.96,0.2990966666666667,8688,26064,245,1,331,0,0,0,0.0
10,641,98,pair_003_n3_003_conflict,conflict,0,1,0,1.180000000000001,0.29893333333333333,10256,30768,294,1,482,0,0,0,0.0
11,658,17,pair_005_n5_005_conflict,conflict,0,1,0,-0.4600000000000001,0.298905,10528,31584,310,1,507,0,0,0,0.0
12,745,87,pair_001_n3_001_control,control,0,1,0,1.2900000000000014,0.29875999999999997,11920,35760,351,1,679,0,0,0,0.0
13,851,106,pair_006_n5_006_control,control,1,0,0,12.200000000000001,0.2985833333333333,13616,40848,427,1,944,0,0,0,0.0
14,860,9,pair_016_n5_016_control,control,0,1,0,-0.98,0.2985683333333333,13760,41280,436,2,960,0,0,0,0.0
15,862,2,pair_007_n5_007_control,control,0,1,0,-0.96,0.29856499999999997,13792,41376,438,2,967,0,0,0,0.0
16,959,97,pair_007_n3_007_conflict,conflict,1,0,0,12.290000000000001,0.2984033333333333,15344,46032,499,2,1221,0,0,0,0.0
17,1045,86,pair_008_n5_008_control,control,0,1,0,1.3500000000000014,0.29825999999999997,16720,50160,557,2,1474,0,0,0,0.0
18,1064,19,pair_000_n3_000_conflict,conflict,0,1,0,-0.5800000000000001,0.2982283333333333,17024,51072,576,2,1543,0,0,0,0.0
19,1112,48,pair_011_n3_011_conflict,conflict,0,1,0,-0.11999999999999988,0.29814833333333335,17792,53376,588,2,1684,0,0,0,0.0
20,1221,109,pair_010_n3_010_control,control,1,0,0,12.170000000000002,0.29796666666666666,19536,58608,632,2,2043,0,0,0,0.0
21,1226,5,pair_002_n3_002_control,control,0,1,0,-0.9400000000000001,0.2979583333333333,19616,58848,637,3,2056,0,0,0,0.0
22,1228,2,pair_017_n5_017_conflict,conflict,0,1,0,-0.96,0.29795499999999997,19648,58944,639,3,2060,0,0,0,0.0
23,1232,4,pair_016_n3_016_conflict,conflict,0,1,0,-0.98,0.2979483333333333,19712,59136,643,3,2070,0,0,0,0.0
24,1236,4,pair_012_n5_012_conflict,conflict,0,1,0,-0.9299999999999999,0.29794166666666666,19776,59328,647,5,2095,0,0,0,0.0
25,1344,108,pair_000_n3_000_control,control,1,0,0,12.180000000000001,0.29776166666666665,21504,64512,706,5,2490,0,0,0,0.0
26,1433,89,pair_007_n3_007_control,control,1,0,0,12.370000000000001,0.29761333333333334,22928,68784,767,5,2858,0,0,0,0.0
27,1527,94,pair_008_n3_008_conflict,conflict,1,0,0,12.320000000000002,0.29745666666666665,24432,73296,785,5,3262,0,0,0,0.0
28,1613,86,pair_012_n3_012_control,control,1,0,0,12.400000000000002,0.2973133333333333,25808,77424,815,5,3648,0,0,0,0.0
29,1704,91,pair_010_n5_010_control,control,1,0,0,12.350000000000001,0.29716166666666666,27264,81792,831,5,4050,0,0,0,0.0
30,1811,107,pair_015_n3_015_conflict,conflict,1,0,0,12.190000000000001,0.2969833333333333,28976,86928,861,5,4556,0,0,0,0.0
31,1917,106,pair_013_n5_013_conflict,conflict,1,0,0,12.200000000000001,0.29680666666666666,30672,92016,897,5,5026,0,0,0,0.0
32,2007,90,pair_006_n3_006_conflict,conflict,1,0,0,12.360000000000001,0.2966566666666667,32112,96336,931,5,5481,0,0,0,0.0
33,2107,100,pair_000_n5_000_conflict,conflict,1,0,0,12.260000000000002,0.29649,33712,101136,992,5,6005,0,0,0,0.0
34,2202,95,pair_006_n3_006_control,control,1,0,0,12.310000000000002,0.29633166666666666,35232,105696,1031,5,6531,0,0,0,0.0
35,2289,87,pair_011_n5_011_conflict,conflict,1,0,0,12.39,0.29618666666666665,36624,109872,1087,5,7019,0,0,0,0.0
36,2380,91,pair_010_n3_010_conflict,conflict,0,1,0,1.3500000000000014,0.296035,38080,114240,1099,5,7567,0,0,0,0.0
37,2487,107,pair_003_n3_003_control,control,1,0,0,12.190000000000001,0.29585666666666666,39792,119376,1120,5,8237,0,0,0,0.0
38,2597,110,pair_005_n3_005_conflict,conflict,1,0,0,12.160000000000002,0.29567333333333334,41552,124656,1152,5,8891,0,0,0,0.0
39,2689,92,pair_015_n5_015_control,control,1,0,0,12.340000000000002,0.29552,43024,129072,1188,5,9452,0,0,0,0.0
40,2765,76,pair_016_n3_016_control,control,1,0,0,12.500000000000002,0.29539333333333334,44240,132720,1219,5,9974,0,0,0,0.0
41,2768,3,pair_012_n5_012_control,control,0,1,0,-1.02,0.2953883333333333,44288,132864,1222,5,10001,0,0,0,0.0
42,2779,11,pair_012_n3_012_conflict,conflict,0,1,0,-1.1,0.29536999999999997,44464,133392,1233,5,10073,0,0,0,0.0
43,2887,108,pair_009_n3_009_control,control,1,0,0,12.180000000000001,0.29519,46192,138576,1275,5,10821,0,0,0,0.0
44,2977,90,pair_009_n3_009_conflict,conflict,0,1,0,-1.8400000000000003,0.29503999999999997,47632,142896,1365,5,11509,0,0,0,0.0
