episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative
0,109,109,pair_011_conflict,conflict,1,0,0,12.170000000000002,0.29982,1744,5232,0,0,0
1,115,6,pair_004_conflict,conflict,0,1,0,-0.8,0.29980999999999997,1840,5520,6,1,0
2,191,76,pair_001_control,control,1,0,0,12.500000000000002,0.2996833333333333,3056,9168,36,1,10
3,299,108,pair_015_conflict,conflict,1,0,0,12.180000000000001,0.29950333333333334,4784,14352,36,1,24
4,416,117,pair_007_conflict,conflict,1,0,0,12.090000000000002,0.29930833333333334,6656,19968,36,1,46
5,528,112,pair_017_conflict,conflict,1,0,0,12.14,0.2991216666666667,8448,25344,67,2,64
6,618,90,pair_010_conflict,conflict,1,0,0,12.360000000000001,0.29897166666666664,9888,29664,102,2,108
7,721,103,pair_006_conflict,conflict,1,0,0,12.23,0.2988,11536,34608,120,2,169
8,829,108,pair_003_conflict,conflict,1,0,0,12.180000000000001,0.29862,13264,39792,123,2,237
9,937,108,pair_014_conflict,conflict,1,0,0,12.180000000000001,0.29844,14992,44976,149,2,322
10,1029,92,pair_013_control,control,1,0,0,12.340000000000002,0.29828666666666664,16464,49392,172,2,397
11,1148,119,pair_004_control,control,1,0,0,12.07,0.29808833333333334,18368,55104,196,3,535
12,1233,85,pair_017_control,control,1,0,0,12.410000000000002,0.29794666666666664,19728,59184,222,3,622
13,1316,83,pair_010_control,control,1,0,0,12.430000000000001,0.29780833333333334,21056,63168,237,3,732
14,1415,99,pair_013_conflict,conflict,1,0,0,12.270000000000001,0.2976433333333333,22640,67920,239,3,845
15,1502,87,pair_005_conflict,conflict,1,0,0,12.39,0.2974983333333333,24032,72096,264,3,974
16,1600,98,pair_000_conflict,conflict,1,0,0,12.280000000000001,0.297335,25600,76800,279,3,1124
17,1707,107,pair_016_conflict,conflict,0,1,0,0.9900000000000011,0.2971566666666667,27312,81936,293,3,1262
18,1806,99,pair_003_control,control,1,0,0,12.270000000000001,0.29699166666666665,28896,86688,324,3,1425
19,1823,17,pair_005_control,control,0,1,0,-0.41000000000000003,0.2969633333333333,29168,87504,340,3,1456
20,1941,118,pair_016_control,control,0,1,0,0.930000000000001,0.2967666666666667,31056,93168,353,3,1700
21,2035,94,pair_012_conflict,conflict,0,1,0,1.2700000000000014,0.29661,32560,97680,367,4,1916
22,2129,94,pair_009_control,control,1,0,0,12.32,0.29645333333333335,34064,102192,379,4,2122
23,2251,122,pair_001_conflict,conflict,1,0,0,12.040000000000001,0.29625,36016,108048,407,4,2363
24,2360,109,pair_000_control,control,1,0,0,12.170000000000002,0.2960683333333333,37760,113280,425,4,2600
25,2444,84,pair_012_control,control,1,0,0,12.420000000000002,0.29592833333333335,39104,117312,442,4,2797
26,2540,96,pair_008_control,control,1,0,0,12.3,0.2957683333333333,40640,121920,472,4,3023
27,2633,93,pair_002_conflict,conflict,1,0,0,12.330000000000002,0.29561333333333334,42128,126384,501,4,3284
28,2674,41,pair_007_control,control,0,1,0,0.10000000000000031,0.295545,42784,128352,512,4,3392
29,2769,95,pair_008_conflict,conflict,1,0,0,12.310000000000002,0.29538666666666663,44304,132912,512,4,3673
30,2869,100,pair_002_control,control,1,0,0,12.260000000000002,0.29522,45904,137712,539,4,3949
31,2958,89,pair_009_conflict,conflict,1,0,0,12.370000000000001,0.2950716666666667,47328,141984,554,4,4215
32,3054,96,pair_011_control,control,1,0,0,12.3,0.2949116666666667,48864,146592,560,4,4516
33,3145,91,pair_014_control,control,1,0,0,12.350000000000001,0.29475999999999997,50320,150960,574,4,4803
34,3241,96,pair_015_control,control,1,0,0,12.300000000000002,0.2946,51856,155568,598,4,5136
35,3328,87,pair_006_control,control,1,0,0,12.39,0.29445499999999997,53248,159744,631,4,5447
36,3421,93,pair_008_conflict,conflict,1,0,0,12.330000000000002,0.2943,54736,164208,662,4,5799
37,3522,101,pair_008_control,control,1,0,0,12.250000000000002,0.2941316666666667,56352,169056,662,4,6165
38,3611,89,pair_005_conflict,conflict,1,0,0,12.370000000000001,0.2939833333333333,57776,173328,662,4,6513
39,3706,95,pair_009_conflict,conflict,1,0,0,12.310000000000002,0.293825,59296,177888,688,4,6860
