episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_marked_total,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,action_margin_candidate_steps_cumulative,action_margin_labeled_steps_cumulative,action_margin_safe_labels_cumulative,action_margin_blocked_labels_cumulative,action_margin_mean_loss,action_margin_batch_items_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
0,84,84,pair_003_n5_003_conflict,conflict,1,0,0,12.420000000000002,0.29986166666666664,1344,4032,52,0,8,0,0,0,0,0.0,0,0,0,0,0,0,84,0,0,0,0.0,0,0,0,0
1,87,3,pair_002_n5_002_conflict,conflict,0,1,0,-0.92,0.29985666666666666,1392,4176,55,1,9,0,0,0,0,0.0,0,0,0,0,0,0,87,1,4,1,0.0,0,0,0,0
2,89,2,pair_014_n5_014_conflict,conflict,0,1,0,-0.96,0.2998533333333333,1424,4272,57,1,9,0,0,0,0,0.0,0,0,0,0,0,0,89,1,4,1,0.0,0,0,0,0
3,108,19,pair_005_n3_005_control,control,0,1,0,-0.4800000000000001,0.29982166666666665,1728,5184,73,1,14,0,0,0,0,0.0,0,0,0,0,0,0,108,1,4,1,0.0,0,0,0,0
4,215,107,pair_001_n5_001_conflict,conflict,1,0,0,12.190000000000001,0.2996433333333333,3440,10320,90,1,64,0,0,0,0,0.0,0,0,0,0,0,0,215,1,4,1,0.0,0,0,0,0
5,322,107,pair_001_n3_001_conflict,conflict,1,0,0,12.190000000000001,0.299465,5152,15456,142,1,118,0,0,0,0,0.0,0,0,0,0,0,0,322,1,4,1,0.0,0,0,0,0
6,436,114,pair_004_n3_004_control,control,1,0,0,12.120000000000001,0.299275,6976,20928,186,3,211,0,0,0,0,0.0,0,0,0,0,0,0,436,3,12,3,0.0018422712973498424,1,0,0,0
7,545,109,pair_004_n5_004_conflict,conflict,0,1,0,1.120000000000001,0.2990933333333333,8720,26160,222,4,320,0,0,0,0,0.0,0,0,0,0,0,0,545,4,15,4,0.0029726360915997706,2,0,0,0
8,553,8,pair_004_n5_004_control,control,0,1,0,-0.92,0.29908,8848,26544,230,4,327,0,0,0,0,0.0,0,0,0,0,0,0,553,4,15,4,0.004399905799741555,4,0,0,0
9,555,2,pair_011_n5_011_control,control,0,1,0,-0.96,0.29907666666666666,8880,26640,232,4,329,0,0,0,0,0.0,0,0,0,0,0,0,555,4,15,4,0.00438405028334609,4,0,0,0
10,855,300,pair_003_n3_003_conflict,conflict,0,0,0,-0.45000000000000073,0.29857666666666666,13680,41040,249,4,762,0,0,0,0,0.0,0,0,0,0,0,0,855,4,15,4,0.006014420135676512,12,0,0,0
11,1080,225,pair_005_n5_005_conflict,conflict,1,0,0,11.01,0.29820166666666664,17280,51840,339,4,1133,0,0,0,0,0.0,0,0,0,0,0,0,1080,4,15,4,0.0052376045121086965,17,0,0,0
12,1231,151,pair_001_n3_001_control,control,1,0,0,11.75,0.29795,19696,59088,404,4,1426,0,0,0,0,0.0,0,0,0,0,0,0,1231,4,15,4,0.004595136371305762,19,0,0,0
13,1340,109,pair_006_n5_006_control,control,1,0,0,12.170000000000002,0.2977683333333333,21440,64320,466,4,1683,0,0,0,0,0.0,0,0,0,0,0,0,1340,4,15,4,0.004559162481507259,24,0,0,0
14,1582,242,pair_016_n5_016_control,control,1,0,0,10.84,0.297365,25312,75936,552,5,2361,0,0,0,0,0.0,0,0,0,0,0,0,1582,5,19,5,0.00391824145986217,29,0,0,0
15,1716,134,pair_007_n5_007_control,control,0,1,0,0.920000000000001,0.29714166666666664,27456,82368,632,7,2780,0,0,0,0,0.0,0,0,0,0,0,0,1716,7,27,7,0.0036122715556538188,34,0,0,0
16,1856,140,pair_007_n3_007_conflict,conflict,0,1,0,0.7600000000000007,0.29690833333333333,29696,89088,684,7,3269,0,0,0,0,0.0,0,0,0,0,0,0,1856,7,27,7,0.003373887004523442,40,0,0,0
17,2013,157,pair_008_n5_008_control,control,1,0,0,11.690000000000001,0.29664666666666667,32208,96624,726,11,3827,0,0,0,0,0.0,0,0,0,0,0,0,2013,11,43,11,0.0031107472828591693,45,0,0,0
18,2313,300,pair_000_n3_000_conflict,conflict,0,0,0,-2.9999999999999876,0.29614666666666667,37008,111024,1025,11,5219,0,0,0,0,0.0,0,0,0,0,0,0,2313,11,43,11,0.0027072781151731553,65,0,0,0
19,2610,297,pair_011_n3_011_conflict,conflict,0,1,0,-0.9600000000000013,0.29565166666666665,41760,125280,1035,11,6881,0,0,0,0,0.0,0,0,0,0,0,0,2610,11,43,11,0.0024053515145605097,83,0,0,0
20,2768,158,pair_010_n3_010_control,control,0,1,0,-1.4200000000000004,0.2953883333333333,44288,132864,1049,12,7777,0,0,0,0,0.0,0,0,0,0,0,0,2768,12,47,12,0.0022875366872445696,95,0,0,0
21,2773,5,pair_002_n3_002_control,control,0,1,0,-0.99,0.29538,44368,133104,1054,12,7797,0,0,0,0,0.0,0,0,0,0,0,0,2773,12,47,12,0.00228341202679155,95,0,0,0
22,2800,27,pair_017_n5_017_conflict,conflict,0,1,0,-1.11,0.295335,44800,134400,1081,19,7961,0,0,0,0,0.0,0,0,0,0,0,0,2800,19,75,19,0.002339675426483154,98,0,0,0
23,2814,14,pair_016_n3_016_conflict,conflict,0,1,0,-0.93,0.29531166666666664,45024,135072,1095,19,8045,0,0,0,0,0.0,0,0,0,0,0,0,2814,19,75,19,0.0023280352502319944,98,0,0,0
24,2869,55,pair_012_n5_012_conflict,conflict,0,1,0,-1.3900000000000001,0.29522,45904,137712,1150,37,8361,0,0,0,0,0.0,0,0,0,0,0,0,2869,37,147,37,0.0022834057839500985,102,0,0,0
25,3169,300,pair_000_n3_000_control,control,0,0,0,-2.8499999999999908,0.29472,50704,152112,1450,37,10490,0,0,0,0,0.0,0,0,0,0,0,0,3169,37,147,37,0.0025375758333889306,161,0,0,0
26,3175,6,pair_007_n3_007_control,control,0,1,0,-0.95,0.29470999999999997,50800,152400,1456,38,10533,0,0,0,0,0.0,0,0,0,0,0,0,3175,38,151,38,0.002532780414491188,162,0,0,0
27,3475,300,pair_008_n3_008_conflict,conflict,0,0,0,-2.84999999999999,0.29420999999999997,55600,166800,1456,38,12942,0,0,0,0,0.0,0,0,0,0,0,0,3475,38,151,38,0.002541179794201748,233,0,0,0
