episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_marked_total,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,action_margin_candidate_steps_cumulative,action_margin_labeled_steps_cumulative,action_margin_safe_labels_cumulative,action_margin_blocked_labels_cumulative,action_margin_mean_loss,action_margin_batch_items_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
0,82,82,pair_009_n3_009_conflict,conflict,0,1,0,1.3900000000000015,0.299865,1312,3936,40,2,17,0,0,0,0,0.0,0,0,0,0,0,0,82,4,14,4,0.014676582522508575,2,0,0,0
1,183,101,pair_013_n5_013_conflict,conflict,1,0,0,12.250000000000002,0.29969666666666667,2928,8784,85,2,42,0,0,0,0,0.0,0,0,0,0,0,0,183,5,18,5,0.014838627778767237,4,0,0,0
2,185,2,pair_009_n3_009_control,control,0,1,0,-0.96,0.2996933333333333,2960,8880,87,2,43,0,0,0,0,0.0,0,0,0,0,0,0,185,6,22,6,0.014678210181158943,4,0,0,0
3,187,2,pair_007_n5_007_control,control,0,1,0,-0.96,0.29969,2992,8976,89,2,43,0,0,0,0,0.0,0,0,0,0,0,0,187,7,26,7,0.014521223976012857,4,0,0,0
4,378,191,pair_000_n5_000_control,control,1,0,0,11.350000000000001,0.29937166666666665,6048,18144,158,2,177,0,0,0,0,0.0,0,0,0,0,0,0,378,9,32,11,0.020028584848636042,11,0,0,0
5,678,300,pair_008_n5_008_control,control,0,0,0,0.10000000000000003,0.29887166666666665,10848,32544,433,2,638,0,0,0,0,0.0,0,0,0,0,0,0,678,14,52,16,0.023553498023379166,33,0,0,0
6,978,300,pair_012_n3_012_conflict,conflict,0,0,0,-4.215378046623641e-16,0.29837166666666665,15648,46944,580,2,1471,0,0,0,0,0.0,0,0,0,0,0,0,978,17,62,19,0.018137268737293703,61,0,0,0
7,1102,124,pair_006_n5_006_conflict,conflict,1,0,0,12.020000000000001,0.298165,17632,52896,622,2,1874,0,0,0,0,0.0,0,0,0,0,0,0,1102,18,66,20,0.016140208270285825,74,0,0,0
8,1402,300,pair_013_n3_013_conflict,conflict,0,0,0,-0.15000000000000033,0.297665,22432,67296,712,2,2981,0,0,0,0,0.0,0,0,0,0,0,0,1402,18,66,20,0.013467179215413528,99,0,0,0
9,1702,300,pair_005_n5_005_conflict,conflict,0,0,0,-0.10000000000000064,0.297165,27232,81696,898,2,4271,0,0,0,0,0.0,0,0,0,0,0,0,1702,19,70,21,0.011167400592082256,133,0,0,0
10,1849,147,pair_013_n3_013_control,control,1,0,0,11.790000000000001,0.29691999999999996,29584,88752,992,2,5019,0,0,0,0,0.0,0,0,0,0,0,0,1849,19,70,21,0.010484694016179632,146,0,0,0
11,2149,300,pair_005_n5_005_control,control,0,0,0,0.09999999999999905,0.29642,34384,103152,1166,4,6791,0,0,0,0,0.0,0,0,0,0,0,0,2149,25,92,29,0.010300172212901589,184,0,0,0
