episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
536,49901,73,pair_004_n3_004_control,control,1,0,0,12.530000000000001,0.21683333333333332,798416,2395248,21774,225,1191640,0,0,0,0.0,487,487,0,0,26,461,397499,487,28
537,49983,82,pair_004_n3_004_conflict,conflict,1,0,0,12.440000000000001,0.21669666666666665,799728,2399184,21805,226,1193699,0,0,0,0.0,489,489,0,0,26,463,398155,489,28
538,50062,79,pair_016_n5_016_control,control,1,0,0,12.470000000000002,0.216565,800372,2403596,21850,226,1195940,0,0,0,0.0,490,490,0,0,27,463,398787,490,28
539,50138,76,pair_012_n3_012_control,control,1,0,0,12.500000000000002,0.21643833333333332,800828,2408004,21888,226,1198211,0,0,0,0.0,490,490,0,0,27,463,399395,490,28
540,50244,106,pair_012_n5_012_conflict,conflict,1,0,0,12.200000000000003,0.21626166666666666,801464,2414152,21947,229,1201402,0,0,0,0.0,493,493,0,0,27,466,400243,493,28
541,50330,86,pair_002_n5_002_conflict,conflict,1,0,0,12.400000000000002,0.21611833333333333,801980,2419140,21983,229,1203949,0,0,0,0.0,494,494,0,0,28,466,400931,494,28
542,50418,88,pair_017_n5_017_control,control,1,0,0,12.38,0.21597166666666667,802508,2424244,22035,230,1206556,0,0,0,0.0,495,495,0,0,28,467,401635,495,28
543,50506,88,pair_015_n5_015_control,control,1,0,0,12.380000000000003,0.215825,803036,2429348,22102,230,1209205,0,0,0,0.0,496,496,0,0,29,467,402339,496,28
544,50596,90,pair_014_n5_014_control,control,1,0,0,12.360000000000001,0.215675,803576,2434568,22160,230,1211928,0,0,0,0.0,496,496,0,0,29,467,403059,496,28
545,50684,88,pair_009_n5_009_conflict,conflict,1,0,0,12.380000000000003,0.21552833333333332,804104,2439672,22219,230,1214592,0,0,0,0.0,497,497,0,0,29,468,403763,497,28
546,50764,80,pair_011_n3_011_conflict,conflict,1,0,0,12.46,0.215395,804584,2444312,22233,230,1217047,0,0,0,0.0,499,499,0,0,31,468,404403,499,28
547,50839,75,pair_017_n3_017_control,control,1,0,0,12.510000000000002,0.21527,805034,2448662,22270,230,1219335,0,0,0,0.0,501,501,0,0,32,469,405003,501,28
548,50920,81,pair_013_n5_013_conflict,conflict,1,0,0,12.450000000000001,0.215135,805520,2453360,22291,230,1221857,0,0,0,0.0,501,501,0,0,32,469,405651,501,28
549,51022,102,pair_015_n5_015_conflict,conflict,1,0,0,12.240000000000002,0.214965,806132,2459276,22340,234,1224920,0,0,0,0.0,505,505,0,0,32,473,406467,505,28
550,51109,87,pair_004_n5_004_conflict,conflict,1,0,0,12.39,0.21481999999999998,806654,2464322,22366,234,1227535,0,0,0,0.0,505,505,0,0,32,473,407163,505,28
551,51186,77,pair_002_n3_002_control,control,1,0,0,12.490000000000002,0.21469166666666667,807116,2468788,22397,234,1229916,0,0,0,0.0,505,505,0,0,32,473,407779,505,28
552,51274,88,pair_012_n3_012_conflict,conflict,1,0,0,12.380000000000003,0.21454499999999999,807644,2473892,22438,235,1232616,0,0,0,0.0,506,506,0,0,32,474,408483,506,28
553,51373,99,pair_003_n5_003_conflict,conflict,1,0,0,12.270000000000001,0.21438,808238,2479634,22460,235,1235606,0,0,0,0.0,506,506,0,0,32,474,409275,506,28
554,51452,79,pair_014_n5_014_conflict,conflict,1,0,0,12.470000000000002,0.21424833333333332,808712,2484216,22489,235,1238020,0,0,0,0.0,506,506,0,0,32,474,409907,506,28
555,51544,92,pair_010_n3_010_control,control,1,0,0,12.340000000000002,0.21409499999999998,809264,2489552,22501,235,1240805,0,0,0,0.0,507,507,0,0,32,475,410643,507,28
556,51628,84,pair_001_n5_001_control,control,1,0,0,12.420000000000002,0.213955,809768,2494424,22520,236,1243323,0,0,0,0.0,508,508,0,0,32,476,411315,508,28
557,51708,80,pair_006_n5_006_conflict,conflict,1,0,0,12.46,0.21382166666666666,810248,2499064,22577,236,1245692,0,0,0,0.0,510,510,0,0,32,478,411955,510,28
558,51793,85,pair_001_n3_001_conflict,conflict,1,0,0,12.410000000000002,0.21367999999999998,810758,2503994,22589,237,1248237,0,0,0,0.0,511,511,0,0,33,478,412635,511,28
559,51875,82,pair_015_n3_015_control,control,1,0,0,12.440000000000001,0.2135433333333333,811250,2508750,22624,237,1250736,0,0,0,0.0,511,511,0,0,33,478,413291,511,28
560,51957,82,pair_000_n3_000_control,control,1,0,0,12.440000000000001,0.21340666666666666,811742,2513506,22656,237,1253237,0,0,0,0.0,512,512,0,0,33,479,413947,512,28
561,52053,96,pair_000_n5_000_control,control,1,0,0,12.3,0.21324666666666664,812318,2519074,22700,241,1256183,0,0,0,0.0,516,516,0,0,34,482,414715,516,28
562,52132,79,pair_003_n3_003_conflict,conflict,1,0,0,12.470000000000002,0.213115,812792,2523656,22724,241,1258574,0,0,0,0.0,517,517,0,0,34,483,415347,517,28
563,52214,82,pair_003_n5_003_control,control,1,0,0,12.440000000000001,0.21297833333333333,813284,2528412,22778,241,1261019,0,0,0,0.0,519,519,0,0,34,485,416003,519,28
564,52295,81,pair_007_n5_007_conflict,conflict,1,0,0,12.450000000000003,0.21284333333333333,813770,2533110,22841,242,1263497,0,0,0,0.0,520,520,0,0,34,486,416651,520,28
565,52386,91,pair_006_n3_006_conflict,conflict,1,0,0,12.350000000000001,0.21269166666666667,814316,2538388,22887,242,1266300,0,0,0,0.0,521,521,0,0,34,487,417379,521,28
566,52485,99,pair_010_n5_010_conflict,conflict,1,0,0,12.270000000000001,0.21252666666666664,814910,2544130,22948,245,1269323,0,0,0,0.0,525,525,0,0,34,491,418171,525,28
567,52563,78,pair_007_n5_007_control,control,1,0,0,12.480000000000002,0.21239666666666665,815378,2548654,22990,245,1271806,0,0,0,0.0,526,526,0,0,34,492,418795,526,28
568,52636,73,pair_011_n3_011_control,control,1,0,0,12.530000000000001,0.212275,815816,2552888,23005,245,1274015,0,0,0,0.0,528,528,0,0,34,494,419379,528,28
569,52723,87,pair_009_n3_009_conflict,conflict,1,0,0,12.39,0.21212999999999999,816338,2557934,23041,245,1276690,0,0,0,0.0,529,529,0,0,34,495,420075,529,28
570,52830,107,pair_017_n3_017_conflict,conflict,1,0,0,12.190000000000001,0.21195166666666665,816980,2564140,23082,245,1279951,0,0,0,0.0,529,529,0,0,34,495,420931,529,28
571,52915,85,pair_011_n5_011_control,control,1,0,0,12.410000000000002,0.21181,817490,2569070,23152,245,1282601,0,0,0,0.0,533,533,0,0,34,499,421611,533,28
572,53016,101,pair_010_n3_010_conflict,conflict,1,0,0,12.250000000000002,0.21164166666666667,818096,2574928,23181,250,1285681,0,0,0,0.0,539,539,0,0,34,505,422419,539,28
573,53105,89,pair_009_n3_009_control,control,1,0,0,12.370000000000001,0.2114933333333333,818630,2580090,23219,250,1288422,0,0,0,0.0,540,540,0,0,34,506,423131,540,28
574,53187,82,pair_011_n5_011_conflict,conflict,1,0,0,12.440000000000001,0.21135666666666664,819122,2584846,23275,250,1290963,0,0,0,0.0,542,542,0,0,34,508,423787,542,28
575,53271,84,pair_001_n3_001_control,control,1,0,0,12.420000000000002,0.21121666666666666,819626,2589718,23291,251,1293605,0,0,0,0.0,543,543,0,0,34,509,424459,543,28
576,53364,93,pair_012_n3_012_conflict,conflict,1,0,0,12.330000000000002,0.21106166666666665,820184,2595112,23334,253,1296529,0,0,0,0.0,545,545,0,0,34,511,425203,545,28
577,53445,81,pair_000_n5_000_control,control,1,0,0,12.450000000000001,0.21092666666666665,820670,2599810,23386,253,1299009,0,0,0,0.0,548,548,0,0,34,514,425851,548,28
578,53534,89,pair_009_n5_009_conflict,conflict,1,0,0,12.370000000000001,0.21077833333333332,821204,2604972,23450,253,1301815,0,0,0,0.0,550,550,0,0,34,516,426563,550,28
579,53618,84,pair_011_n3_011_conflict,conflict,1,0,0,12.420000000000002,0.21063833333333332,821708,2609844,23487,254,1304427,0,0,0,0.0,551,551,0,0,34,517,427235,551,28
580,53700,82,pair_015_n3_015_conflict,conflict,1,0,0,12.440000000000001,0.21050166666666664,822200,2614600,23515,254,1307036,0,0,0,0.0,551,551,0,0,34,517,427891,551,28
581,53792,92,pair_007_n3_007_control,control,1,0,0,12.340000000000002,0.2103483333333333,822752,2619936,23556,254,1309998,0,0,0,0.0,552,552,0,0,34,518,428627,552,28
582,53871,79,pair_006_n3_006_conflict,conflict,1,0,0,12.470000000000002,0.21021666666666666,823226,2624518,23603,254,1312429,0,0,0,0.0,553,553,0,0,34,519,429259,553,28
583,53957,86,pair_015_n5_015_control,control,1,0,0,12.400000000000002,0.21007333333333333,823742,2629506,23676,254,1315122,0,0,0,0.0,553,553,0,0,34,519,429947,553,28
584,54043,86,pair_011_n5_011_conflict,conflict,1,0,0,12.400000000000002,0.20993,824258,2634494,23716,254,1317865,0,0,0,0.0,554,554,0,0,34,520,430635,554,28
585,54131,88,pair_001_n3_001_conflict,conflict,1,0,0,12.380000000000003,0.20978333333333332,824786,2639598,23751,254,1320565,0,0,0,0.0,554,554,0,0,34,520,431339,554,28
586,54205,74,pair_008_n3_008_conflict,conflict,1,0,0,12.520000000000001,0.20965999999999999,825230,2643890,23789,254,1322835,0,0,0,0.0,555,555,0,0,34,521,431931,555,28
587,54281,76,pair_017_n3_017_conflict,conflict,1,0,0,12.500000000000002,0.20953333333333332,825686,2648298,23831,256,1325216,0,0,0,0.0,555,555,0,0,34,521,432539,555,28
588,54365,84,pair_009_n3_009_control,control,1,0,0,12.420000000000002,0.20939333333333332,826190,2653170,23869,257,1327855,0,0,0,0.0,556,556,0,0,34,522,433211,556,28
