episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative
0,110,110,pair_011_conflict,conflict,1,0,0,12.16,0.2998183333333333,660,6380,0,0,0
1,206,96,pair_004_conflict,conflict,1,0,0,12.3,0.2996583333333333,1236,11948,20,0,12
2,326,120,pair_001_control,control,1,0,0,12.060000000000002,0.2994583333333333,1956,18908,25,0,35
3,445,119,pair_015_conflict,conflict,1,0,0,12.07,0.29925999999999997,2670,25810,40,0,55
4,536,91,pair_007_conflict,conflict,1,0,0,12.350000000000001,0.2991083333333333,3216,31088,40,0,80
5,622,86,pair_017_conflict,conflict,1,0,0,12.400000000000002,0.298965,3732,36076,54,0,93
6,723,101,pair_010_conflict,conflict,1,0,0,12.250000000000002,0.29879666666666665,4338,41934,54,0,128
7,811,88,pair_006_conflict,conflict,1,0,0,12.380000000000003,0.29864999999999997,4866,47038,54,0,165
8,908,97,pair_003_conflict,conflict,1,0,0,12.290000000000001,0.2984883333333333,5448,52664,67,0,205
9,1016,108,pair_014_conflict,conflict,1,0,0,12.180000000000001,0.29830833333333334,6096,58928,72,0,259
10,1146,130,pair_013_control,control,1,0,0,11.96,0.29809166666666664,6876,66468,92,0,323
11,1164,18,pair_004_control,control,0,1,0,-0.4700000000000001,0.29806166666666667,6984,67512,107,0,333
12,1270,106,pair_017_control,control,1,0,0,12.200000000000001,0.297885,7620,73660,125,0,408
13,1371,101,pair_010_control,control,1,0,0,12.250000000000002,0.29771666666666663,8226,79518,167,0,501
14,1466,95,pair_013_conflict,conflict,1,0,0,12.310000000000002,0.2975583333333333,8796,85028,194,0,612
15,1551,85,pair_005_conflict,conflict,1,0,0,12.410000000000002,0.29741666666666666,9306,89958,224,0,741
16,1570,19,pair_000_conflict,conflict,0,1,0,-0.5800000000000001,0.297385,9420,91060,243,0,768
