episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_marked_total,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,action_margin_candidate_steps_cumulative,action_margin_labeled_steps_cumulative,action_margin_safe_labels_cumulative,action_margin_blocked_labels_cumulative,action_margin_mean_loss,action_margin_batch_items_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
0,3,3,pair_012_n3_012_control,control,0,1,0,-1.02,0.29999666666666663,48,144,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,1,4,1,0.0,0,0,0,0
1,106,103,pair_010_n3_010_control,control,0,1,0,1.080000000000001,0.299825,1696,5088,15,0,3,0,0,0,0,0.0,0,0,0,0,0,0,106,2,8,2,0.007582866920615142,1,0,0,0
2,189,83,pair_007_n5_007_control,control,1,0,0,12.430000000000001,0.29968666666666666,3024,9072,82,0,33,0,0,0,0,0.0,0,0,0,0,0,0,189,4,15,5,0.008397326898322535,2,0,0,0
3,298,109,pair_002_n5_002_control,control,1,0,0,12.170000000000002,0.29950499999999997,4768,14304,134,0,99,0,0,0,0,0.0,0,0,0,0,0,0,298,4,15,5,0.00804996010441108,3,0,0,0
4,407,109,pair_008_n3_008_conflict,conflict,1,0,0,12.170000000000002,0.29932333333333333,6512,19536,148,0,176,0,0,0,0,0.0,0,0,0,0,0,0,407,4,15,5,0.011071089151743296,6,0,0,0
5,524,117,pair_003_n3_003_conflict,conflict,1,0,0,12.090000000000002,0.29912833333333333,8384,25152,179,0,273,0,0,0,0,0.0,0,0,0,0,0,0,524,5,19,6,0.010038504163727506,7,0,0,0
6,697,173,pair_016_n5_016_control,control,1,0,0,11.530000000000005,0.29884,11152,33456,282,0,469,0,0,0,0,0.0,0,0,0,0,0,0,697,5,19,6,0.012654693773179349,12,0,0,0
7,782,85,pair_011_n5_011_control,control,1,0,0,12.410000000000002,0.29869833333333334,12512,37536,324,0,624,0,0,0,0,0.0,0,0,0,0,0,0,782,7,26,9,0.011279183580442463,12,0,0,0
8,1059,277,pair_016_n3_016_conflict,conflict,1,0,0,10.49,0.29823666666666665,16944,50832,492,0,1220,0,0,0,0,0.0,0,0,0,0,0,0,1059,11,38,14,0.01538232860979435,28,0,0,0
9,1359,300,pair_009_n5_009_conflict,conflict,0,0,0,0.09999999999999953,0.29773666666666665,21744,65232,688,0,2133,0,0,0,0,0.0,0,0,0,0,0,0,1359,11,38,14,0.017991794743372994,50,0,0,0
