episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative
0,110,110,pair_011_conflict,conflict,1,0,0,12.16,0.2998183333333333,0,7040,0,0,0
1,116,6,pair_004_conflict,conflict,0,1,0,-0.85,0.29980833333333334,0,7424,6,1,2
2,140,24,pair_001_control,control,0,1,0,-0.17999999999999983,0.2997683333333333,0,8960,21,2,6
3,222,82,pair_015_conflict,conflict,1,0,0,12.440000000000001,0.29963166666666663,0,14208,25,2,18
4,309,87,pair_007_conflict,conflict,1,0,0,12.390000000000002,0.2994866666666667,0,19776,33,2,37
5,408,99,pair_017_conflict,conflict,1,0,0,12.270000000000001,0.29932166666666665,0,26112,55,2,69
6,503,95,pair_010_conflict,conflict,1,0,0,12.310000000000002,0.29916333333333334,0,32192,90,2,122
7,603,100,pair_006_conflict,conflict,1,0,0,12.260000000000002,0.29899666666666663,0,38592,113,2,194
8,710,107,pair_003_conflict,conflict,1,0,0,12.190000000000001,0.2988183333333333,0,45440,144,2,314
9,795,85,pair_014_conflict,conflict,1,0,0,12.410000000000002,0.29867666666666665,0,50880,172,2,428
10,893,98,pair_013_control,control,1,0,0,12.280000000000001,0.2985133333333333,0,57152,197,2,541
11,972,79,pair_004_control,control,1,0,0,12.470000000000002,0.29838166666666666,0,62208,216,2,681
12,1067,95,pair_017_control,control,1,0,0,12.310000000000002,0.29822333333333334,0,68288,250,2,842
13,1177,110,pair_010_control,control,1,0,0,12.16,0.29803999999999997,0,75328,250,2,1038
14,1260,83,pair_013_conflict,conflict,1,0,0,12.430000000000001,0.2979016666666667,0,80640,276,2,1185
15,1274,14,pair_005_conflict,conflict,0,1,0,-0.53,0.2978783333333333,0,81536,289,2,1222
16,1386,112,pair_000_conflict,conflict,1,0,0,12.14,0.29769166666666663,0,88704,316,2,1493
17,1464,78,pair_016_conflict,conflict,1,0,0,12.480000000000002,0.29756166666666667,0,93696,342,2,1669
18,1554,90,pair_003_control,control,1,0,0,12.360000000000001,0.29741166666666663,0,99456,342,2,1900
19,1662,108,pair_005_control,control,1,0,0,12.180000000000001,0.29723166666666667,0,106368,380,2,2229
20,1747,85,pair_016_control,control,1,0,0,12.410000000000002,0.29708999999999997,0,111808,403,2,2448
21,1865,118,pair_012_conflict,conflict,1,0,0,12.080000000000002,0.29689333333333334,0,119360,414,3,2788
22,1949,84,pair_009_control,control,0,1,0,0.12000000000000033,0.2967533333333333,0,124736,447,3,3030
23,2045,96,pair_001_conflict,conflict,1,0,0,12.3,0.2965933333333333,0,130880,450,3,3320
24,2139,94,pair_000_control,control,1,0,0,12.32,0.2964366666666667,0,136896,493,3,3662
25,2231,92,pair_012_control,control,0,1,0,1.240000000000001,0.29628333333333334,0,142784,507,3,4007
26,2340,109,pair_008_control,control,1,0,0,12.170000000000002,0.29610166666666665,0,149760,507,3,4395
27,2436,96,pair_002_conflict,conflict,1,0,0,12.3,0.29594166666666666,0,155904,517,3,4774
28,2527,91,pair_007_control,control,1,0,0,12.350000000000001,0.29579,0,161728,531,3,5127
29,2630,103,pair_008_conflict,conflict,1,0,0,12.23,0.2956183333333333,0,168320,533,3,5534
30,2731,101,pair_002_control,control,1,0,0,12.250000000000002,0.29545,0,174784,553,3,5955
31,2826,95,pair_009_conflict,conflict,1,0,0,12.310000000000002,0.2952916666666667,0,180864,583,3,6383
32,2931,105,pair_011_control,control,1,0,0,12.21,0.29511666666666664,0,187584,587,3,6839
33,3026,95,pair_014_control,control,1,0,0,12.310000000000002,0.2949583333333333,0,193664,601,3,7252
34,3122,96,pair_015_control,control,1,0,0,12.3,0.29479833333333333,0,199808,612,3,7680
35,3230,108,pair_006_control,control,1,0,0,12.180000000000001,0.2946183333333333,0,206720,615,3,8151
36,3322,92,pair_008_conflict,conflict,1,0,0,12.340000000000002,0.294465,0,212608,615,3,8560
37,3418,96,pair_008_control,control,1,0,0,12.300000000000002,0.294305,0,218752,615,3,8996
38,3523,105,pair_005_conflict,conflict,1,0,0,12.21,0.29413,0,225472,631,3,9504
39,3607,84,pair_009_conflict,conflict,1,0,0,12.420000000000002,0.29399,0,230848,651,3,9880
40,3707,100,pair_015_control,control,1,0,0,12.260000000000002,0.2938233333333333,0,237248,664,3,10373
41,3805,98,pair_003_control,control,1,0,0,12.280000000000001,0.29366,0,243520,690,3,10841
42,3884,79,pair_016_conflict,conflict,1,0,0,12.470000000000002,0.29352833333333334,0,248576,700,3,11224
43,3984,100,pair_010_conflict,conflict,1,0,0,12.260000000000002,0.29336166666666663,0,254976,700,3,11751
44,4093,109,pair_006_control,control,1,0,0,12.170000000000002,0.29318,0,261952,707,3,12324
45,4192,99,pair_011_control,control,1,0,0,12.270000000000001,0.29301499999999997,0,268288,715,3,12853
46,4289,97,pair_012_conflict,conflict,0,1,0,1.1900000000000013,0.2928533333333333,0,274496,729,4,13348
47,4394,105,pair_016_control,control,1,0,0,12.21,0.2926783333333333,0,281216,762,4,13901
