method,seed,obstacle_count,n_scenarios,safe_success,dynamic_collision,timeout,wait_steps
risk_handover,2,1,12,0.9166666666666666,0.0,0.08333333333333333,0.16666666666666666
risk_handover,2,3,12,0.9166666666666666,0.0,0.08333333333333333,0.16666666666666666
risk_handover,2,5,12,0.9166666666666666,0.0,0.08333333333333333,1.0833333333333333
risk_handover,2,7,12,0.8333333333333334,0.0,0.16666666666666666,29.083333333333332
intervention_only,2,1,12,0.9166666666666666,0.08333333333333333,0.0,0.0
intervention_only,2,3,12,0.3333333333333333,0.6666666666666666,0.0,0.0
intervention_only,2,5,12,0.25,0.75,0.0,0.0
intervention_only,2,7,12,0.16666666666666666,0.8333333333333334,0.0,0.0
safe_replay_04,2,1,12,0.8333333333333334,0.16666666666666666,0.0,0.0
safe_replay_04,2,3,12,0.3333333333333333,0.6666666666666666,0.0,0.0
safe_replay_04,2,5,12,0.0,1.0,0.0,0.0
safe_replay_04,2,7,12,0.0,1.0,0.0,0.0
safe_replay_08,2,1,12,0.8333333333333334,0.16666666666666666,0.0,0.0
safe_replay_08,2,3,12,0.8333333333333334,0.16666666666666666,0.0,0.0
safe_replay_08,2,5,12,0.4166666666666667,0.5833333333333334,0.0,0.0
safe_replay_08,2,7,12,0.16666666666666666,0.8333333333333334,0.0,0.0
