episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
0,111,111,pair_012_n3_012_control,control,1,0,0,12.150000000000002,0.2998166666666667,1776,5328,45,0,12,0,0,0,0.0,1,1,0,0,0,1,0,1,1
1,194,83,pair_010_n3_010_control,control,1,0,0,12.430000000000001,0.2996783333333333,3104,9312,88,0,43,0,0,0,0.0,2,2,0,0,0,2,0,2,2
2,302,108,pair_007_n5_007_control,control,1,0,0,12.180000000000001,0.2994983333333333,4832,14496,130,0,108,0,0,0,0.0,3,3,0,0,0,3,0,3,3
3,407,105,pair_002_n5_002_control,control,1,0,0,12.21,0.29932333333333333,6512,19536,184,1,205,0,0,0,0.0,6,6,0,0,0,6,0,6,5
4,501,94,pair_008_n3_008_conflict,conflict,1,0,0,12.320000000000002,0.29916666666666664,8016,24048,200,2,296,0,0,0,0.0,8,8,0,0,0,8,0,8,7
5,598,97,pair_003_n3_003_conflict,conflict,1,0,0,12.290000000000001,0.29900499999999997,9568,28704,227,2,411,0,0,0,0.0,9,9,0,0,0,9,0,9,8
6,698,100,pair_016_n5_016_control,control,1,0,0,12.260000000000002,0.2988383333333333,11168,33504,300,2,569,0,0,0,0.0,10,10,0,0,0,10,0,10,8
7,795,97,pair_011_n5_011_control,control,1,0,0,12.290000000000001,0.29867666666666665,12720,38160,341,3,749,0,0,0,0.0,14,14,0,0,0,14,0,14,10
8,887,92,pair_016_n3_016_conflict,conflict,1,0,0,12.340000000000002,0.2985233333333333,14192,42576,394,3,938,0,0,0,0.0,16,16,0,0,0,16,0,16,12
9,975,88,pair_009_n5_009_conflict,conflict,1,0,0,12.38,0.2983766666666667,15600,46800,440,3,1138,0,0,0,0.0,18,18,0,0,0,18,0,18,12
10,1086,111,pair_011_n5_011_conflict,conflict,1,0,0,12.15,0.29819166666666663,17376,52128,501,5,1432,0,0,0,0.0,22,22,0,0,0,22,0,22,13
11,1183,97,pair_004_n5_004_control,control,1,0,0,12.290000000000001,0.29802999999999996,18928,56784,567,6,1716,0,0,0,0.0,24,24,0,0,0,24,0,24,14
12,1268,85,pair_012_n3_012_conflict,conflict,1,0,0,12.410000000000002,0.2978883333333333,20288,60864,620,7,1989,0,0,0,0.0,25,25,0,0,0,25,0,25,14
13,1378,110,pair_005_n5_005_control,control,1,0,0,12.16,0.297705,22048,66144,677,8,2363,0,0,0,0.0,27,27,0,0,0,27,0,27,14
14,1464,86,pair_014_n5_014_conflict,conflict,1,0,0,12.400000000000002,0.29756166666666667,23424,70272,730,10,2697,0,0,0,0.0,31,31,0,0,0,31,0,31,15
15,1543,79,pair_010_n5_010_conflict,conflict,1,0,0,12.470000000000002,0.29742999999999997,24688,74064,782,10,3012,0,0,0,0.0,31,31,0,0,0,31,0,31,15
16,1656,113,pair_017_n3_017_control,control,1,0,0,12.13,0.2972416666666667,26496,79488,837,11,3504,0,0,0,0.0,34,34,0,0,0,34,0,34,15
17,1748,92,pair_002_n5_002_conflict,conflict,1,0,0,12.340000000000002,0.29708833333333334,27968,83904,864,11,3920,0,0,0,0.0,34,34,0,0,0,34,0,34,15
18,1850,102,pair_013_n5_013_control,control,1,0,0,12.240000000000002,0.29691833333333334,29600,88800,915,11,4402,0,0,0,0.0,36,36,0,0,0,36,0,36,16
19,1972,122,pair_012_n5_012_control,control,1,0,0,12.040000000000001,0.296715,31552,94656,950,11,5028,0,0,0,0.0,36,36,0,0,0,36,0,36,16
20,2078,106,pair_017_n5_017_conflict,conflict,1,0,0,12.200000000000001,0.29653833333333335,33248,99744,1017,12,5632,0,0,0,0.0,39,39,0,0,0,39,0,39,18
21,2171,93,pair_010_n5_010_control,control,1,0,0,12.330000000000002,0.29638333333333333,34736,104208,1060,12,6161,0,0,0,0.0,39,39,0,0,0,39,0,39,18
22,2288,117,pair_017_n3_017_conflict,conflict,1,0,0,12.090000000000002,0.29618833333333333,36608,109824,1127,12,6846,0,0,0,0.0,41,41,0,0,0,41,0,41,18
23,2399,111,pair_003_n5_003_control,control,1,0,0,12.150000000000002,0.29600333333333334,38384,115152,1143,12,7574,0,0,0,0.0,41,41,0,0,0,41,0,41,18
24,2478,79,pair_015_n3_015_conflict,conflict,1,0,0,12.470000000000002,0.29587166666666664,39648,118944,1176,12,8078,0,0,0,0.0,43,43,0,0,0,43,0,43,20
25,2603,125,pair_003_n5_003_conflict,conflict,1,0,0,12.010000000000002,0.29566333333333333,41648,124944,1241,12,8918,0,0,0,0.0,45,45,0,0,0,45,0,45,20
26,2706,103,pair_016_n5_016_conflict,conflict,1,0,0,12.23,0.29549166666666665,43296,129888,1303,12,9630,0,0,0,0.0,46,46,0,0,0,46,0,46,20
27,2798,92,pair_001_n5_001_conflict,conflict,1,0,0,12.340000000000002,0.2953383333333333,44768,134304,1343,12,10277,0,0,0,0.0,46,46,0,0,0,46,0,46,20
28,2884,86,pair_002_n3_002_control,control,1,0,0,12.400000000000002,0.295195,46144,138432,1379,12,10969,0,0,0,0.0,46,46,0,0,0,46,0,46,20
29,2974,90,pair_005_n3_005_control,control,1,0,0,12.360000000000001,0.295045,47584,142752,1423,12,11632,0,0,0,0.0,46,46,0,0,0,46,0,46,20
30,3077,103,pair_010_n3_010_conflict,conflict,1,0,0,12.23,0.2948733333333333,49232,147696,1440,12,12425,0,0,0,0.0,46,46,0,0,0,46,0,46,20
31,3168,91,pair_004_n3_004_conflict,conflict,1,0,0,12.350000000000001,0.29472166666666666,50688,152064,1478,12,13183,0,0,0,0.0,46,46,0,0,0,46,0,46,20
32,3264,96,pair_006_n5_006_control,control,1,0,0,12.3,0.29456166666666667,52224,156672,1519,13,14032,0,0,0,0.0,49,49,0,0,0,49,0,49,20
33,3351,87,pair_007_n3_007_conflict,conflict,1,0,0,12.390000000000002,0.29441666666666666,53616,160848,1557,13,14764,0,0,0,0.0,50,50,0,0,0,50,0,50,20
34,3458,107,pair_001_n3_001_control,control,1,0,0,12.190000000000001,0.2942383333333333,55328,165984,1629,13,15726,0,0,0,0.0,52,52,0,0,0,52,0,52,21
35,3543,85,pair_007_n5_007_conflict,conflict,1,0,0,12.410000000000002,0.2940966666666667,56688,170064,1700,14,16529,0,0,0,0.0,57,57,0,0,0,57,0,57,21
36,3644,101,pair_006_n5_006_conflict,conflict,1,0,0,12.250000000000002,0.29392833333333335,58304,174912,1753,15,17493,0,0,0,0.0,60,60,0,0,0,60,0,60,21
37,3732,88,pair_017_n5_017_control,control,1,0,0,12.38,0.29378166666666666,59712,179136,1809,15,18354,0,0,0,0.0,61,61,0,0,0,61,0,61,21
