episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_marked_total,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,action_margin_candidate_steps_cumulative,action_margin_labeled_steps_cumulative,action_margin_safe_labels_cumulative,action_margin_blocked_labels_cumulative,action_margin_mean_loss,action_margin_batch_items_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
215,32780,86,pair_005_n5_005_conflict,conflict,1,0,0,12.400000000000002,0.24536833333333333,524480,1573440,18363,96,774346,0,0,0,0,0.0,0,0,0,0,0,0,32780,96,375,96,0.0006168532473347113,4048,0,0,0
216,32897,117,pair_015_n3_015_conflict,conflict,1,0,0,12.090000000000002,0.24517333333333333,526352,1579056,18431,98,777250,0,0,0,0,0.0,0,0,0,0,0,0,32897,98,383,98,0.0006146593746430323,4058,0,0,0
217,32986,89,pair_017_n5_017_conflict,conflict,1,0,0,12.370000000000001,0.245025,527776,1583328,18499,100,779397,0,0,0,0,0.0,0,0,0,0,0,0,32986,100,391,100,0.0006130009533629975,4069,0,0,0
218,33113,127,pair_013_n5_013_control,control,1,0,0,11.990000000000002,0.24481333333333333,529808,1589424,18600,100,782513,0,0,0,0,0.0,0,0,0,0,0,0,33113,100,391,100,0.0006106498791300044,4089,0,0,0
219,33205,92,pair_001_n3_001_conflict,conflict,1,0,0,12.340000000000002,0.24466,531280,1593840,18662,100,784765,0,0,0,0,0.0,0,0,0,0,0,0,33205,100,391,100,0.0006089579716196909,4098,0,0,0
220,33356,151,pair_015_n3_015_control,control,1,0,0,11.75,0.24440833333333334,533696,1601088,18705,100,788569,0,0,0,0,0.0,0,0,0,0,0,0,33356,100,391,100,0.000606201266567689,4119,0,0,0
221,33463,107,pair_001_n3_001_control,control,1,0,0,12.190000000000001,0.24423,535408,1606224,18731,100,791191,0,0,0,0,0.0,0,0,0,0,0,0,33463,100,391,100,0.0006042629007450568,4129,0,0,0
222,33576,113,pair_011_n5_011_control,control,1,0,0,12.130000000000003,0.24404166666666666,537216,1611648,18785,100,793961,0,0,0,0,0.0,0,0,0,0,0,0,33576,100,391,100,0.0006022292544565117,4139,0,0,0
223,33684,108,pair_003_n5_003_control,control,1,0,0,12.180000000000001,0.24386166666666664,538944,1616832,18841,100,796562,0,0,0,0,0.0,0,0,0,0,0,0,33684,100,391,100,0.0006002983448412254,4156,0,0,0
224,33687,3,pair_009_n5_009_conflict,conflict,0,1,0,-0.92,0.24385666666666667,538992,1616976,18844,101,796630,0,0,0,0,0.0,0,0,0,0,0,0,33687,101,395,101,0.0006002448851970147,4156,0,0,0
225,33691,4,pair_011_n5_011_conflict,conflict,0,1,0,-0.88,0.24384999999999998,539056,1617168,18848,101,796716,0,0,0,0,0.0,0,0,0,0,0,0,33691,101,395,101,0.0006001736204811919,4156,0,0,0
226,33787,96,pair_005_n3_005_conflict,conflict,1,0,0,12.3,0.24369,540592,1621776,18876,101,799043,0,0,0,0,0.0,0,0,0,0,0,0,33787,101,395,101,0.0005984683294649373,4164,0,0,0
