seed,method,validation_conflict_auc,test_conflict_safe_success,test_conflict_dynamic_collision,test_conflict_timeout,effective_fraction,fixed_00_validation_conflict_auc,fixed_00_test_conflict_safe_success,fixed_00_test_conflict_dynamic_collision,fixed_00_test_conflict_timeout,fixed_10_validation_conflict_auc,fixed_10_test_conflict_safe_success,fixed_10_test_conflict_dynamic_collision,fixed_10_test_conflict_timeout,fixed_25_validation_conflict_auc,fixed_25_test_conflict_safe_success,fixed_25_test_conflict_dynamic_collision,fixed_25_test_conflict_timeout
0,decay,0.95,0.9166666666666666,0.0,0.08333333333333333,0.0859375,0.8666666666666668,1.0,0.0,0.0,0.7208333333333333,1.0,0.0,0.0,0.8541666666666667,0.9166666666666666,0.08333333333333333,0.0
1,decay,0.8875,1.0,0.0,0.0,0.0859375,0.9458333333333333,1.0,0.0,0.0,0.8791666666666668,0.9166666666666666,0.08333333333333333,0.0,0.8541666666666665,0.9166666666666666,0.0,0.08333333333333333
2,decay,0.9249999999999998,1.0,0.0,0.0,0.0859375,0.8833333333333334,1.0,0.0,0.0,0.9333333333333335,1.0,0.0,0.0,0.85,1.0,0.0,0.0
3,decay,0.8666666666666667,1.0,0.0,0.0,0.0859375,0.875,0.9166666666666666,0.08333333333333333,0.0,0.7916666666666669,1.0,0.0,0.0,0.8833333333333333,1.0,0.0,0.0
4,decay,0.8041666666666667,1.0,0.0,0.0,0.0859375,0.8666666666666667,0.9166666666666666,0.0,0.08333333333333333,0.9791666666666667,1.0,0.0,0.0,0.8250000000000002,0.75,0.25,0.0
