episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
0,108,108,pair_012_n3_012_control,control,1,0,0,12.180000000000001,0.29982166666666665,1728,5184,43,0,117,0,0,0,0.0,1,1,0,0,0,1,106,1,1
1,196,88,pair_010_n3_010_control,control,1,0,0,12.38,0.29967499999999997,3136,9408,90,1,250,0,0,0,0.0,5,5,0,0,0,5,205,5,5
2,286,90,pair_007_n5_007_control,control,1,0,0,12.360000000000001,0.299525,4576,13728,134,3,655,0,0,0,0.0,7,7,0,0,0,7,565,7,6
3,409,123,pair_002_n5_002_control,control,1,0,0,12.030000000000001,0.29932,6544,19632,208,3,1247,0,0,0,0.0,8,8,0,0,0,8,1057,8,7
4,503,94,pair_008_n3_008_conflict,conflict,1,0,0,12.320000000000002,0.29916333333333334,8048,24144,228,4,1724,0,0,0,0.0,10,10,0,0,0,10,1433,10,7
5,599,96,pair_003_n3_003_conflict,conflict,1,0,0,12.3,0.29900333333333334,9584,28752,252,5,2229,0,0,0,0.0,13,13,0,0,0,13,1817,13,8
6,705,106,pair_016_n5_016_control,control,1,0,0,12.200000000000001,0.29882666666666663,11280,33840,331,6,2814,0,0,0,0.0,14,14,0,0,0,14,2241,14,8
7,790,85,pair_011_n5_011_control,control,1,0,0,12.410000000000002,0.298685,12640,37920,380,7,3303,0,0,0,0.0,16,16,0,0,0,16,2581,16,10
8,890,100,pair_016_n3_016_conflict,conflict,1,0,0,12.260000000000002,0.29851833333333333,14240,42720,446,8,3917,0,0,0,0.0,18,18,0,0,0,18,2981,18,10
9,972,82,pair_009_n5_009_conflict,conflict,1,0,0,12.440000000000001,0.29838166666666666,15552,46656,497,8,4435,0,0,0,0.0,22,22,0,0,0,22,3309,22,11
10,1070,98,pair_011_n5_011_conflict,conflict,1,0,0,12.280000000000001,0.2982183333333333,17120,51360,579,9,5105,0,0,0,0.0,25,25,0,0,0,25,3701,25,12
11,1177,107,pair_004_n5_004_control,control,1,0,0,12.190000000000001,0.29803999999999997,18832,56496,634,10,5883,0,0,0,0.0,28,28,0,0,0,28,4129,28,13
12,1258,81,pair_012_n3_012_conflict,conflict,1,0,0,12.450000000000003,0.297905,20128,60384,679,11,6474,0,0,0,0.0,29,29,0,0,0,29,4453,29,13
13,1348,90,pair_005_n5_005_control,control,1,0,0,12.360000000000001,0.297755,21568,64704,756,11,7127,0,0,0,0.0,29,29,0,0,0,29,4813,29,13
14,1435,87,pair_014_n5_014_conflict,conflict,1,0,0,12.39,0.29761,22960,68880,830,13,7812,0,0,0,0.0,30,30,0,0,0,30,5161,30,13
15,1519,84,pair_010_n5_010_conflict,conflict,1,0,0,12.420000000000002,0.29747,24304,72912,870,13,8490,0,0,0,0.0,31,31,0,0,0,31,5497,31,13
16,1609,90,pair_017_n3_017_control,control,1,0,0,12.360000000000003,0.29732,25744,77232,924,13,9282,0,0,0,0.0,32,32,0,0,0,32,5857,32,14
17,1717,108,pair_002_n5_002_conflict,conflict,1,0,0,12.180000000000001,0.29714,27472,82416,952,13,10226,0,0,0,0.0,32,32,0,0,0,32,6289,32,14
18,1819,102,pair_013_n5_013_control,control,1,0,0,12.240000000000002,0.29697,29104,87312,1007,13,11147,0,0,0,0.0,33,33,0,0,0,33,6697,33,15
19,1951,132,pair_012_n5_012_control,control,1,0,0,11.940000000000001,0.29675,31216,93648,1084,13,12380,0,0,0,0.0,34,34,0,0,0,34,7225,34,15
20,2059,108,pair_017_n5_017_conflict,conflict,1,0,0,12.180000000000001,0.29657,32944,98832,1157,14,13438,0,0,0,0.0,37,37,0,0,0,37,7657,37,16
21,2151,92,pair_010_n5_010_control,control,1,0,0,12.340000000000002,0.29641666666666666,34416,103248,1174,14,14339,0,0,0,0.0,37,37,0,0,0,37,8025,37,16
22,2268,117,pair_017_n3_017_conflict,conflict,1,0,0,12.090000000000002,0.29622166666666666,36288,108864,1217,14,15531,0,0,0,0.0,37,37,0,0,0,37,8493,37,16
23,2378,110,pair_003_n5_003_control,control,1,0,0,12.160000000000002,0.29603833333333335,38048,114144,1238,14,16621,0,0,0,0.0,37,37,0,0,0,37,8933,37,16
24,2452,74,pair_015_n3_015_conflict,conflict,1,0,0,12.520000000000001,0.295915,39232,117696,1270,14,17385,0,0,0,0.0,37,37,0,0,0,37,9229,37,16
25,2543,91,pair_003_n5_003_conflict,conflict,1,0,0,12.350000000000001,0.2957633333333333,40688,122064,1336,16,18369,0,0,0,0.0,43,43,0,0,0,43,9593,43,17
26,2646,103,pair_016_n5_016_conflict,conflict,1,0,0,12.23,0.29559166666666664,42336,127008,1408,16,19545,0,0,0,0.0,43,43,0,0,0,43,10005,43,17
27,2741,95,pair_001_n5_001_conflict,conflict,1,0,0,12.310000000000002,0.2954333333333333,43856,131568,1438,16,20611,0,0,0,0.0,43,43,0,0,0,43,10385,43,17
28,2851,110,pair_002_n3_002_control,control,1,0,0,12.160000000000002,0.29525,45616,136848,1469,16,21874,0,0,0,0.0,43,43,0,0,0,43,10825,43,17
29,2943,92,pair_005_n3_005_control,control,1,0,0,12.340000000000002,0.2950966666666667,47088,141264,1488,16,22912,0,0,0,0.0,43,43,0,0,0,43,11193,43,17
30,3029,86,pair_010_n3_010_conflict,conflict,1,0,0,12.400000000000002,0.29495333333333335,48464,145392,1523,16,23932,0,0,0,0.0,44,44,0,0,0,44,11537,44,17
31,3124,95,pair_004_n3_004_conflict,conflict,1,0,0,12.310000000000002,0.294795,49984,149952,1564,16,25031,0,0,0,0.0,44,44,0,0,0,44,11917,44,17
32,3221,97,pair_006_n5_006_control,control,1,0,0,12.290000000000003,0.2946333333333333,51536,154608,1602,16,26193,0,0,0,0.0,45,45,0,0,0,45,12305,45,17
33,3314,93,pair_007_n3_007_conflict,conflict,1,0,0,12.330000000000002,0.29447833333333334,53024,159072,1637,16,27316,0,0,0,0.0,46,46,0,0,0,46,12677,46,18
34,3403,89,pair_001_n3_001_control,control,1,0,0,12.370000000000001,0.29433,54448,163344,1675,16,28422,0,0,0,0.0,47,47,0,0,0,47,13033,47,18
35,3498,95,pair_007_n5_007_conflict,conflict,1,0,0,12.310000000000002,0.29417166666666666,55968,167904,1745,16,29692,0,0,0,0.0,48,48,0,0,0,48,13413,48,18
