episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress
36,6157,300,pair_010_n3_010_conflict,conflict,0,0,0,-0.15000000000000008,0.28974,23876,370172,3453,19,134737,74636,133,22,1.0
37,6457,300,pair_003_n3_003_control,control,0,0,0,-0.10000000000000046,0.28924,23876,389372,3634,19,145387,79436,133,22,1.0
38,6517,60,pair_005_n3_005_conflict,conflict,0,1,0,-0.8900000000000002,0.28914,23876,393212,3693,23,147516,80396,153,24,1.0
39,6736,219,pair_015_n5_015_control,control,1,0,0,11.07,0.288775,23876,407228,3752,23,155428,83900,153,24,1.0
40,6791,55,pair_016_n3_016_control,control,0,1,0,-1.34,0.28868333333333335,23876,410748,3807,25,157463,84780,165,25,1.0
41,6989,198,pair_012_n5_012_control,control,1,0,0,11.280000000000001,0.28835333333333335,23876,423420,3949,26,164813,87948,169,26,1.0
42,7127,138,pair_012_n3_012_conflict,conflict,1,0,0,11.88,0.28812333333333334,23876,432252,4018,26,170043,90156,169,26,1.0
43,7285,158,pair_009_n3_009_control,control,0,1,0,-0.7200000000000004,0.28786,23876,442364,4170,28,176165,92684,181,28,1.0
44,7412,127,pair_009_n3_009_conflict,conflict,1,0,0,11.990000000000002,0.28764833333333334,23876,450492,4207,28,181151,94716,181,28,1.0
45,7416,4,pair_014_n3_014_control,control,0,1,0,-0.98,0.28764166666666663,23876,450748,4211,28,181306,94780,185,29,1.0
46,7424,8,pair_015_n3_015_control,control,0,1,0,-0.92,0.2876283333333333,23876,451260,4219,28,181625,94908,189,29,1.0
47,7577,153,pair_017_n5_017_control,control,1,0,0,11.73,0.2873733333333333,23876,461052,4337,28,187722,97356,189,29,1.0
48,7877,300,pair_010_n5_010_conflict,conflict,0,1,0,-1.1400000000000006,0.2868733333333333,23876,480252,4563,28,199801,102156,193,30,1.0
49,7901,24,pair_017_n3_017_control,control,0,1,0,-1.03,0.28683333333333333,23876,481788,4587,31,200784,102540,209,30,1.0
50,7916,15,pair_013_n5_013_control,control,0,1,0,-0.9400000000000001,0.28680833333333333,23876,482748,4602,33,201385,102780,221,31,1.0
51,8124,208,pair_015_n5_015_conflict,conflict,1,0,0,11.18,0.28646166666666667,23876,496060,4788,46,210185,106108,273,31,1.0
52,8255,131,pair_014_n5_014_control,control,1,0,0,11.950000000000001,0.2862433333333333,23876,504444,4864,47,215824,108204,277,31,1.0
53,8257,2,pair_002_n5_002_control,control,0,1,0,-0.96,0.28624,23876,504572,4866,47,215917,108236,279,31,1.0
54,8270,13,pair_009_n5_009_conflict,conflict,0,1,0,-0.92,0.2862183333333333,23876,505404,4879,47,216483,108444,283,31,1.0
55,8570,300,pair_000_n5_000_control,control,0,0,0,-0.10000000000000038,0.2857183333333333,23876,524604,5090,47,229545,113244,283,31,1.0
56,8790,220,pair_016_n5_016_conflict,conflict,1,0,0,11.06,0.28535166666666667,23876,538684,5225,50,239314,116764,295,31,1.0
57,9090,300,pair_011_n3_011_control,control,0,0,0,-0.15000000000000038,0.28485166666666667,23876,557884,5461,50,252741,121564,295,31,1.0
58,9333,243,pair_001_n5_001_control,control,0,1,0,-0.4700000000000002,0.2844466666666667,23876,573436,5632,50,263850,125452,299,31,1.0
59,9409,76,pair_014_n3_014_conflict,conflict,0,1,0,-1.15,0.28432,23876,578300,5708,50,267308,126668,303,32,1.0
60,9434,25,pair_013_n3_013_control,control,0,1,0,-1.09,0.2842783333333333,23876,579900,5733,50,268449,127068,307,32,1.0
61,9734,300,pair_007_n5_007_conflict,conflict,0,0,0,-0.35000000000000026,0.2837783333333333,23876,599100,5959,50,282115,131868,307,32,1.0
62,9917,183,pair_008_n5_008_conflict,conflict,0,1,0,0.13000000000000012,0.2834733333333333,23876,610812,6082,50,290476,134796,311,32,1.0
63,10217,300,pair_008_n3_008_control,control,0,0,0,-3.3306690738754696e-16,0.2829733333333333,23876,630012,6287,50,304038,139596,311,32,1.0
64,10517,300,pair_003_n5_003_control,control,0,0,0,-0.20000000000000057,0.2824733333333333,23876,649212,6512,50,317642,144396,311,32,1.0
65,10524,7,pair_017_n3_017_conflict,conflict,0,1,0,-0.91,0.28246166666666667,23876,649660,6519,50,317951,144508,315,32,1.0
66,10689,165,pair_006_n5_006_conflict,conflict,1,0,0,11.610000000000001,0.28218666666666664,23876,660220,6598,54,325332,147148,331,32,1.0
67,10708,19,pair_002_n3_002_conflict,conflict,0,1,0,-0.98,0.282155,23876,661436,6617,55,326166,147452,339,33,1.0
68,10715,7,pair_009_n5_009_control,control,0,1,0,-0.86,0.2821433333333333,23876,661884,6624,55,326477,147564,343,33,1.0
69,10867,152,pair_004_n3_004_conflict,conflict,0,1,0,0.5900000000000007,0.28189,23876,671612,6698,55,333199,149996,347,34,1.0
70,11122,255,pair_005_n5_005_control,control,0,1,0,-0.4900000000000002,0.28146499999999997,23876,687932,6879,55,344670,154076,351,35,1.0
71,11251,129,pair_013_n3_013_conflict,conflict,1,0,0,11.97,0.28125,23876,696188,6930,56,350519,156140,355,35,1.0
72,11419,168,pair_011_n3_011_control,control,0,1,0,0.5300000000000022,0.28097,23876,706940,7033,56,358068,158828,359,36,1.0
73,11620,201,pair_010_n3_010_conflict,conflict,0,1,0,0.10000000000000142,0.28063499999999997,23876,719804,7155,56,367240,162044,363,36,1.0
74,11760,140,pair_003_n5_003_conflict,conflict,0,1,0,0.6600000000000021,0.28040166666666666,23876,728764,7249,56,373661,164284,367,37,1.0
75,11936,176,pair_008_n5_008_conflict,conflict,0,1,0,0.5000000000000007,0.28010833333333335,23876,740028,7349,65,381790,167100,407,38,1.0
76,12200,264,pair_010_n5_010_control,control,1,0,0,10.62,0.2796683333333333,23876,756924,7482,65,393835,171324,407,38,1.0
77,12500,300,pair_002_n5_002_control,control,0,0,0,0.09999999999999964,0.27916833333333335,23876,776124,7678,65,407731,176124,407,38,1.0
78,12800,300,pair_015_n5_015_control,control,0,0,0,0.04999999999999965,0.2786683333333333,23876,795324,7719,65,421618,180924,407,38,1.0
79,12802,2,pair_006_n5_006_control,control,0,1,0,-0.96,0.278665,23876,795452,7721,65,421715,180956,409,38,1.0
80,13102,300,pair_013_n3_013_control,control,0,0,0,0.049999999999999926,0.278165,23876,814652,7743,65,435303,185756,409,38,1.0
81,13402,300,pair_014_n3_014_conflict,conflict,0,0,0,0.15000000000000002,0.277665,23876,833852,7796,66,448925,190556,413,38,1.0
82,13702,300,pair_008_n5_008_control,control,0,0,0,0.10000000000000031,0.277165,23876,853052,8022,66,462283,195356,413,38,1.0
83,13876,174,pair_011_n5_011_conflict,conflict,1,0,0,11.520000000000001,0.276875,23876,864188,8110,66,469995,198140,413,38,1.0
84,14176,300,pair_003_n3_003_control,control,0,0,0,0.10000000000000048,0.276375,23876,883388,8330,66,483472,202940,413,38,1.0
85,14417,241,pair_007_n3_007_conflict,conflict,1,0,0,10.85,0.2759733333333333,23876,898812,8485,66,494440,206796,413,38,1.0
