episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative
0,83,83,pair_013_conflict,conflict,1,0,0,12.430000000000001,0.2998633333333333,1328,3984,20,0,1
1,175,92,pair_001_conflict,conflict,1,0,0,12.340000000000002,0.29971,2800,8400,43,0,16
2,275,100,pair_014_conflict,conflict,1,0,0,12.260000000000002,0.29954333333333333,4400,13200,49,0,38
3,385,110,pair_011_control,control,1,0,0,12.16,0.29936,6160,18480,91,0,86
4,473,88,pair_003_conflict,conflict,1,0,0,12.380000000000003,0.29921333333333333,7568,22704,107,0,139
5,571,98,pair_017_control,control,1,0,0,12.280000000000001,0.29905,9136,27408,125,0,190
6,687,116,pair_011_conflict,conflict,1,0,0,12.100000000000001,0.29885666666666666,10992,32976,131,0,272
7,787,100,pair_006_control,control,1,0,0,12.260000000000002,0.29869,12592,37776,133,0,333
8,881,94,pair_008_control,control,1,0,0,12.320000000000002,0.2985333333333333,14096,42288,139,0,412
9,968,87,pair_009_control,control,1,0,0,12.39,0.2983883333333333,15488,46464,139,0,484
10,1065,97,pair_005_control,control,1,0,0,12.290000000000001,0.29822666666666664,17040,51120,157,0,581
11,1168,103,pair_009_conflict,conflict,1,0,0,12.230000000000002,0.298055,18688,56064,158,0,647
12,1279,111,pair_017_conflict,conflict,1,0,0,12.150000000000002,0.29786999999999997,20464,61392,196,0,745
13,1381,102,pair_007_control,control,1,0,0,12.240000000000002,0.29769999999999996,22096,66288,233,0,867
14,1475,94,pair_016_control,control,1,0,0,12.32,0.2975433333333333,23600,70800,248,0,1000
15,1582,107,pair_004_conflict,conflict,1,0,0,12.190000000000001,0.297365,25312,75936,271,0,1152
16,1672,90,pair_004_control,control,1,0,0,12.360000000000001,0.297215,26752,80256,299,0,1318
17,1781,109,pair_002_control,control,1,0,0,12.170000000000002,0.2970333333333333,28496,85488,320,0,1512
18,1880,99,pair_006_conflict,conflict,1,0,0,12.270000000000001,0.29686833333333335,30080,90240,323,0,1690
19,1978,98,pair_012_conflict,conflict,1,0,0,12.280000000000001,0.296705,31648,94944,336,0,1882
20,2076,98,pair_000_conflict,conflict,1,0,0,12.280000000000001,0.29654166666666665,33216,99648,361,0,2059
21,2174,98,pair_015_control,control,1,0,0,12.280000000000001,0.2963783333333333,34784,104352,375,0,2260
22,2234,60,pair_014_control,control,0,1,0,0.6100000000000008,0.2962783333333333,35744,107232,395,0,2378
23,2337,103,pair_007_conflict,conflict,1,0,0,12.23,0.29610666666666663,37392,112176,406,0,2601
24,2374,37,pair_008_conflict,conflict,0,1,0,-0.20999999999999985,0.296045,37984,113952,419,0,2682
25,2477,103,pair_005_conflict,conflict,1,0,0,12.23,0.2958733333333333,39632,118896,438,1,2933
26,2558,81,pair_010_control,control,1,0,0,12.450000000000001,0.2957383333333333,40928,122784,444,1,3127
27,2645,87,pair_002_conflict,conflict,1,0,0,12.39,0.2955933333333333,42320,126960,461,1,3335
28,2752,107,pair_010_conflict,conflict,1,0,0,12.190000000000001,0.295415,44032,132096,468,1,3603
29,2867,115,pair_016_conflict,conflict,1,0,0,12.110000000000001,0.29522333333333334,45872,137616,491,1,3929
30,2970,103,pair_001_control,control,1,0,0,12.23,0.29505166666666666,47520,142560,541,1,4202
31,3056,86,pair_015_conflict,conflict,1,0,0,12.400000000000002,0.29490833333333333,48896,146688,553,1,4419
32,3159,103,pair_013_control,control,1,0,0,12.23,0.29473666666666665,50544,151632,576,1,4737
33,3271,112,pair_003_control,control,1,0,0,12.14,0.29455,52336,157008,604,1,5124
34,3352,81,pair_012_control,control,1,0,0,12.450000000000001,0.294415,53632,160896,618,1,5412
35,3378,26,pair_000_control,control,0,1,0,-0.75,0.29437166666666664,54048,162144,644,1,5532
36,3474,96,pair_008_conflict,conflict,1,0,0,12.3,0.29421166666666665,55584,166752,674,1,5903
