episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative
0,77,77,pair_002_conflict,conflict,1,0,0,12.490000000000002,0.2998733333333333,462,4466,17,0,12
1,174,97,pair_004_conflict,conflict,1,0,0,12.290000000000003,0.29971166666666665,1044,10092,49,0,43
2,283,109,pair_003_control,control,1,0,0,12.170000000000002,0.29952999999999996,1698,16414,94,0,104
3,362,79,pair_010_conflict,conflict,1,0,0,12.470000000000002,0.2993983333333333,2172,20996,123,0,159
4,464,102,pair_001_conflict,conflict,1,0,0,12.240000000000002,0.2992283333333333,2784,26912,155,0,242
5,546,82,pair_005_conflict,conflict,1,0,0,12.440000000000001,0.29909166666666664,3276,31668,174,0,333
6,632,86,pair_010_control,control,1,0,0,12.400000000000002,0.2989483333333333,3792,36656,207,0,443
7,728,96,pair_002_control,control,1,0,0,12.3,0.2987883333333333,4368,42224,221,0,579
8,829,101,pair_000_control,control,1,0,0,12.250000000000002,0.29862,4974,48082,249,0,744
9,951,122,pair_016_control,control,1,0,0,12.040000000000001,0.29841666666666666,5706,55158,261,0,968
10,1041,90,pair_017_conflict,conflict,0,1,0,1.1100000000000012,0.2982666666666667,6246,60378,275,1,1133
11,1120,79,pair_006_conflict,conflict,1,0,0,12.470000000000002,0.298135,6720,64960,299,1,1275
12,1230,110,pair_001_control,control,1,0,0,12.16,0.29795166666666667,7380,71340,299,1,1487
13,1300,70,pair_014_conflict,conflict,0,1,0,0.5600000000000007,0.297835,7800,75400,308,2,1632
14,1386,86,pair_000_conflict,conflict,1,0,0,12.400000000000002,0.29769166666666663,8316,80388,329,2,1848
15,1420,34,pair_004_control,control,0,1,0,-0.6300000000000001,0.297635,8520,82360,352,3,1905
16,1521,101,pair_017_control,control,1,0,0,12.250000000000002,0.29746666666666666,9126,88218,371,3,2136
17,1615,94,pair_015_control,control,1,0,0,12.320000000000002,0.29730999999999996,9690,93670,383,3,2376
18,1717,102,pair_007_conflict,conflict,1,0,0,12.240000000000002,0.29714,10302,99586,394,3,2643
19,1804,87,pair_007_control,control,1,0,0,12.39,0.296995,10824,104632,413,3,2903
20,1889,85,pair_013_control,control,1,0,0,12.410000000000002,0.2968533333333333,11334,109562,443,3,3158
21,1985,96,pair_012_control,control,0,1,0,1.2500000000000013,0.2966933333333333,11910,115130,455,3,3425
22,2084,99,pair_011_conflict,conflict,1,0,0,12.270000000000001,0.29652833333333334,12504,120872,482,3,3759
23,2181,97,pair_015_conflict,conflict,0,1,0,0.9400000000000011,0.29636666666666667,13086,126498,498,3,4078
24,2268,87,pair_016_conflict,conflict,1,0,0,12.39,0.29622166666666666,13608,131544,522,3,4365
25,2359,91,pair_008_conflict,conflict,1,0,0,12.350000000000001,0.29607,14154,136822,539,3,4682
26,2451,92,pair_013_conflict,conflict,1,0,0,12.340000000000002,0.29591666666666666,14706,142158,570,3,5019
27,2543,92,pair_009_control,control,1,0,0,12.340000000000002,0.2957633333333333,15258,147494,604,3,5351
28,2641,98,pair_011_control,control,1,0,0,12.280000000000001,0.2956,15846,153178,634,3,5759
29,2732,91,pair_012_conflict,conflict,0,1,0,1.3000000000000016,0.2954483333333333,16392,158456,648,4,6173
