phase,completed_at,map_id,method,seed,status,replay_schedule,validation_conflict_auc,test_conflict_safe_success,test_conflict_dynamic_collision,test_conflict_timeout,static_safe_success,config_sha256,manifest_sha256,code_sha256,fork_sha256,result_path
01_2026-09-17_to_21_replay_baselines,2026-09-17 18:36:42,irregular_workcell_91701,fixed_10,3,complete,fixed,0.7916666666666669,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,e22831952e3386fbbf68865275b5b5d1d7f24c9cfde5a320a0be46ea55d2b9c4,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_3\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-17 18:59:13,irregular_workcell_91701,fixed_25,3,complete,fixed,0.8833333333333333,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,e22831952e3386fbbf68865275b5b5d1d7f24c9cfde5a320a0be46ea55d2b9c4,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_3\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-17 19:32:52,irregular_workcell_91701,fixed_00,4,complete,fixed,0.8666666666666667,0.9166666666666666,0.0,0.08333333333333333,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,6fcaa4fd2e958a8e22ddd297ccd8d93900b2e941919cf11da249b46d8d3643bb,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_4\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-17 19:54:51,irregular_workcell_91701,fixed_10,4,complete,fixed,0.9791666666666667,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,6fcaa4fd2e958a8e22ddd297ccd8d93900b2e941919cf11da249b46d8d3643bb,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_4\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-17 20:18:40,irregular_workcell_91701,fixed_25,4,complete,fixed,0.8250000000000002,0.75,0.25,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,6fcaa4fd2e958a8e22ddd297ccd8d93900b2e941919cf11da249b46d8d3643bb,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_4\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-17 21:57:37,irregular_workcell_91702,fixed_00,0,complete,fixed,0.925,0.9166666666666666,0.08333333333333333,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,ab24780725f25ed07673e9ea461b3838ff193696c1d7ac8016f532280282cabc,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\fixed_00\seed_0\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-17 22:20:53,irregular_workcell_91702,fixed_10,0,complete,fixed,0.975,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,ab24780725f25ed07673e9ea461b3838ff193696c1d7ac8016f532280282cabc,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\fixed_10\seed_0\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-17 22:43:33,irregular_workcell_91702,fixed_25,0,complete,fixed,0.9833333333333334,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,ab24780725f25ed07673e9ea461b3838ff193696c1d7ac8016f532280282cabc,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\fixed_25\seed_0\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-17 23:12:32,irregular_workcell_91702,fixed_00,1,complete,fixed,0.9375,0.9166666666666666,0.08333333333333333,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,0b70329be69ea8ac625f81e63a7c1029d50ec320cd3dab2179d56ea011611614,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\fixed_00\seed_1\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-17 23:34:39,irregular_workcell_91702,fixed_10,1,complete,fixed,0.9958333333333335,0.9166666666666666,0.08333333333333333,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,0b70329be69ea8ac625f81e63a7c1029d50ec320cd3dab2179d56ea011611614,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\fixed_10\seed_1\result.json
