episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress
0,89,89,pair_003_n5_003_conflict,conflict,0,1,0,1.3700000000000014,0.2998533333333333,534,5162,47,0,13,0,0,0,0.0
1,92,3,pair_002_n5_002_conflict,conflict,0,1,0,-0.92,0.29984833333333333,552,5336,50,1,13,0,0,0,0.0
2,94,2,pair_014_n5_014_conflict,conflict,0,1,0,-0.96,0.299845,564,5452,52,1,14,0,0,0,0.0
3,118,24,pair_005_n3_005_control,control,0,1,0,-0.4800000000000002,0.299805,708,6844,75,1,22,0,0,0,0.0
4,225,107,pair_001_n5_001_conflict,conflict,1,0,0,12.190000000000001,0.29962666666666665,1350,13050,169,1,96,0,0,0,0.0
5,322,97,pair_001_n3_001_conflict,conflict,1,0,0,12.290000000000003,0.299465,1932,18676,215,1,227,0,0,0,0.0
6,435,113,pair_004_n3_004_control,control,1,0,0,12.13,0.29927666666666664,2610,25230,249,1,381,0,0,0,0.0
7,539,104,pair_004_n5_004_conflict,conflict,1,0,0,12.220000000000002,0.29910333333333333,3234,31262,290,1,592,0,0,0,0.0
8,630,91,pair_004_n5_004_control,control,1,0,0,12.350000000000001,0.29895166666666667,3780,36540,316,1,770,0,0,0,0.0
9,723,93,pair_011_n5_011_control,control,1,0,0,12.330000000000002,0.29879666666666665,4338,41934,355,1,991,0,0,0,0.0
10,826,103,pair_003_n3_003_conflict,conflict,1,0,0,12.230000000000002,0.298625,4956,47908,388,1,1245,0,0,0,0.0
11,927,101,pair_005_n5_005_conflict,conflict,1,0,0,12.250000000000002,0.29845666666666665,5562,53766,441,1,1545,0,0,0,0.0
12,1005,78,pair_001_n3_001_control,control,1,0,0,12.48,0.29832666666666663,6030,58290,478,1,1794,0,0,0,0.0
13,1007,2,pair_006_n5_006_control,control,0,1,0,-0.96,0.29832333333333333,6042,58406,480,1,1799,0,0,0,0.0
14,1112,105,pair_016_n5_016_control,control,1,0,0,12.21,0.29814833333333335,6672,64496,516,1,2149,0,0,0,0.0
15,1177,65,pair_007_n5_007_control,control,0,1,0,-0.14,0.29803999999999997,7062,68266,579,1,2394,0,0,0,0.0
16,1273,96,pair_007_n3_007_conflict,conflict,0,1,0,1.3000000000000012,0.29788,7638,73834,626,1,2784,0,0,0,0.0
17,1370,97,pair_008_n5_008_control,control,0,1,0,1.240000000000001,0.2977183333333333,8220,79460,659,1,3187,0,0,0,0.0
18,1458,88,pair_000_n3_000_conflict,conflict,0,1,0,1.3300000000000014,0.2975716666666667,8748,84564,694,2,3577,0,0,0,0.0
19,1549,91,pair_011_n3_011_conflict,conflict,1,0,0,12.350000000000001,0.29741999999999996,9294,89842,725,3,3970,0,0,0,0.0
20,1662,113,pair_010_n3_010_control,control,1,0,0,12.13,0.29723166666666667,9972,96396,788,3,4535,0,0,0,0.0
21,1746,84,pair_002_n3_002_control,control,0,1,0,1.3700000000000014,0.29709166666666664,10476,101268,811,3,4972,0,0,0,0.0
22,1779,33,pair_017_n5_017_conflict,conflict,0,1,0,-0.16999999999999982,0.29703666666666667,10674,103182,844,3,5157,0,0,0,0.0
23,1886,107,pair_016_n3_016_conflict,conflict,1,0,0,12.190000000000001,0.29685833333333334,11316,109388,881,3,5728,0,0,0,0.0
24,1980,94,pair_012_n5_012_conflict,conflict,1,0,0,12.320000000000002,0.29670166666666664,11880,114840,917,3,6286,0,0,0,0.0
25,2071,91,pair_000_n3_000_control,control,0,1,0,1.3000000000000012,0.29655,12426,120118,955,3,6879,0,0,0,0.0
26,2167,96,pair_007_n3_007_control,control,1,0,0,12.3,0.29639,13002,125686,1030,3,7470,0,0,0,0.0
27,2257,90,pair_008_n3_008_conflict,conflict,1,0,0,12.360000000000003,0.29624,13542,130906,1052,3,8093,0,0,0,0.0
28,2349,92,pair_012_n3_012_control,control,1,0,0,12.340000000000002,0.29608666666666666,14094,136242,1082,3,8736,0,0,0,0.0
29,2454,105,pair_010_n5_010_control,control,1,0,0,12.21,0.29591166666666663,14724,142332,1102,3,9525,0,0,0,0.0
30,2563,109,pair_015_n3_015_conflict,conflict,1,0,0,12.170000000000002,0.29573,15378,148654,1131,3,10370,0,0,0,0.0
31,2654,91,pair_013_n5_013_conflict,conflict,1,0,0,12.350000000000001,0.29557833333333333,15924,153932,1164,3,11059,0,0,0,0.0
32,2736,82,pair_006_n3_006_conflict,conflict,1,0,0,12.440000000000001,0.29544166666666666,16416,158688,1198,3,11700,0,0,0,0.0
33,2832,96,pair_000_n5_000_conflict,conflict,1,0,0,12.3,0.29528166666666666,16992,164256,1231,3,12476,0,0,0,0.0
34,2943,111,pair_006_n3_006_control,control,1,0,0,12.150000000000002,0.2950966666666667,17658,170694,1283,3,13392,0,0,0,0.0
35,3033,90,pair_011_n5_011_conflict,conflict,1,0,0,12.360000000000001,0.29494666666666663,18198,175914,1336,3,14206,0,0,0,0.0
36,3145,112,pair_010_n3_010_conflict,conflict,1,0,0,12.14,0.29475999999999997,18870,182410,1365,3,15186,0,0,0,0.0
37,3240,95,pair_003_n3_003_control,control,1,0,0,12.310000000000002,0.29460166666666665,19440,187920,1400,3,16052,0,0,0,0.0
38,3333,93,pair_005_n3_005_conflict,conflict,1,0,0,12.330000000000002,0.29444666666666663,19998,193314,1450,4,16910,0,0,0,0.0
39,3434,101,pair_015_n5_015_control,control,1,0,0,12.250000000000002,0.2942783333333333,20604,199172,1497,4,17894,0,0,0,0.0
40,3534,100,pair_016_n3_016_control,control,1,0,0,12.260000000000002,0.29411166666666666,21204,204972,1532,4,18901,0,0,0,0.0
41,3630,96,pair_012_n5_012_control,control,1,0,0,12.3,0.29395166666666667,21780,210540,1581,4,19913,0,0,0,0.0
42,3717,87,pair_012_n3_012_conflict,conflict,1,0,0,12.39,0.29380666666666666,22302,215586,1614,4,20860,0,0,0,0.0
43,3723,6,pair_009_n3_009_control,control,0,1,0,-0.8,0.29379666666666665,22338,215934,1620,4,20932,0,0,0,0.0
44,3774,51,pair_009_n3_009_conflict,conflict,0,1,0,0.35000000000000053,0.29371166666666665,22644,218892,1664,4,21507,0,0,0,0.0
45,3776,2,pair_014_n3_014_control,control,0,1,0,-0.96,0.29370833333333335,22656,219008,1666,4,21527,0,0,0,0.0
46,3872,96,pair_015_n3_015_control,control,1,0,0,12.3,0.2935483333333333,23232,224576,1699,4,22621,0,0,0,0.0
47,3969,97,pair_017_n5_017_control,control,1,0,0,12.290000000000001,0.29338666666666663,23814,230202,1743,4,23778,0,0,0,0.0
48,4051,82,pair_010_n5_010_conflict,conflict,1,0,0,12.440000000000001,0.29325,24306,234958,1761,4,24730,0,0,0,0.0
49,4055,4,pair_017_n3_017_control,control,0,1,0,-0.98,0.2932433333333333,24330,235190,1765,4,24778,0,0,0,0.0
50,4158,103,pair_013_n5_013_control,control,1,0,0,12.23,0.2930716666666667,24948,241164,1788,4,26011,0,0,0,0.0
51,4247,89,pair_015_n5_015_conflict,conflict,1,0,0,12.370000000000001,0.2929233333333333,25482,246326,1824,4,27074,0,0,0,0.0
52,4354,107,pair_014_n5_014_control,control,1,0,0,12.190000000000001,0.292745,26124,252532,1872,4,28408,0,0,0,0.0
53,4450,96,pair_002_n5_002_control,control,1,0,0,12.3,0.292585,26700,258100,1922,4,29636,0,0,0,0.0
54,4629,179,pair_009_n5_009_conflict,conflict,1,0,0,11.470000000000002,0.29228666666666664,27774,268482,2052,4,32013,0,0,0,0.0
55,4722,93,pair_000_n5_000_control,control,1,0,0,12.330000000000002,0.2921316666666667,28332,273876,2100,4,33270,0,0,0,0.0
56,4819,97,pair_016_n5_016_conflict,conflict,1,0,0,12.290000000000003,0.29197,28914,279502,2150,4,34675,0,0,0,0.0
