map_index,seed,fraction,effective_fraction,auc_conflict_safe_success,final_validation_conflict_safe_success,test_conflict_safe_success,auc_conflict_dynamic_collision,final_validation_conflict_dynamic_collision,test_conflict_dynamic_collision,auc_conflict_timeout,final_validation_conflict_timeout,test_conflict_timeout,auc_control_safe_success,final_validation_control_safe_success,test_control_safe_success,auc_control_dynamic_collision,final_validation_control_dynamic_collision,test_control_dynamic_collision,auc_control_timeout,final_validation_control_timeout,test_control_timeout,auc_static_safe_success,threshold_confirmation_step
0,0,0.0,0.0,0.8666666666666668,1.0,1.0,0.05,0.0,0.0,0.08333333333333334,0.0,0.0,0.8291666666666667,1.0,1.0,0.10416666666666666,0.0,0.0,0.06666666666666667,0.0,0.0,1.0,100000
0,0,0.1,0.09375,0.7208333333333333,0.8333333333333334,1.0,0.06250000000000001,0.16666666666666666,0.0,0.21666666666666667,0.0,0.0,0.675,0.8333333333333334,1.0,0.11666666666666665,0.16666666666666666,0.0,0.20833333333333337,0.0,0.0,0.85,130000
0,0,0.25,0.25,0.8541666666666667,0.8333333333333334,0.9166666666666666,0.05,0.0,0.08333333333333333,0.0958333333333333,0.16666666666666666,0.0,0.8083333333333335,0.8333333333333334,0.9166666666666666,0.1,0.16666666666666666,0.0,0.09166666666666666,0.0,0.08333333333333333,1.0,160000
0,1,0.0,0.0,0.9458333333333333,1.0,1.0,0.029166666666666664,0.0,0.0,0.024999999999999994,0.0,0.0,0.9416666666666668,1.0,1.0,0.024999999999999994,0.0,0.0,0.03333333333333333,0.0,0.0,1.0,50000
0,1,0.1,0.09375,0.8791666666666668,1.0,0.9166666666666666,0.029166666666666664,0.0,0.08333333333333333,0.09166666666666665,0.0,0.0,0.8916666666666666,1.0,1.0,0.024999999999999994,0.0,0.0,0.08333333333333334,0.0,0.0,0.95,110000
0,1,0.25,0.25,0.8541666666666665,1.0,0.9166666666666666,0.0625,0.0,0.0,0.08333333333333331,0.0,0.08333333333333333,0.7875,0.8333333333333334,1.0,0.09583333333333333,0.16666666666666666,0.0,0.11666666666666664,0.0,0.0,1.0,50000
0,2,0.0,0.0,0.8833333333333334,1.0,1.0,0.025,0.0,0.0,0.09166666666666666,0.0,0.0,0.9,1.0,1.0,0.016666666666666666,0.0,0.0,0.08333333333333331,0.0,0.0,0.95,60000
0,2,0.1,0.09375,0.9333333333333335,1.0,1.0,0.05,0.0,0.0,0.016666666666666666,0.0,0.0,0.9166666666666665,1.0,1.0,0.05833333333333333,0.0,0.0,0.025,0.0,0.0,1.0,80000
0,2,0.25,0.25,0.85,1.0,1.0,0.025,0.0,0.0,0.12499999999999996,0.0,0.0,0.8166666666666665,1.0,1.0,0.06666666666666667,0.0,0.0,0.11666666666666664,0.0,0.0,0.95,140000
0,3,0.0,0.0,0.875,1.0,0.9166666666666666,0.04166666666666667,0.0,0.08333333333333333,0.08333333333333331,0.0,0.0,0.8708333333333335,1.0,0.8333333333333334,0.05416666666666666,0.0,0.08333333333333333,0.07500000000000001,0.0,0.08333333333333333,0.95,80000
0,3,0.1,0.09375,0.7916666666666669,1.0,1.0,0.025,0.0,0.0,0.1833333333333333,0.0,0.0,0.7708333333333333,1.0,1.0,0.05416666666666667,0.0,0.0,0.175,0.0,0.0,0.95,170000
0,3,0.25,0.25,0.8833333333333333,1.0,1.0,0.024999999999999994,0.0,0.0,0.09166666666666666,0.0,0.0,0.8791666666666668,1.0,1.0,0.05416666666666666,0.0,0.0,0.06666666666666667,0.0,0.0,0.95,60000
0,4,0.0,0.0,0.8666666666666667,0.8333333333333334,0.9166666666666666,0.05833333333333333,0.16666666666666666,0.0,0.075,0.0,0.08333333333333333,0.9000000000000001,0.6666666666666666,0.8333333333333334,0.025,0.3333333333333333,0.08333333333333333,0.075,0.0,0.08333333333333333,0.95,60000
0,4,0.1,0.09375,0.9791666666666667,1.0,1.0,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.9791666666666665,0.8333333333333334,1.0,0.0125,0.16666666666666666,0.0,0.008333333333333333,0.0,0.0,1.0,20000
0,4,0.25,0.25,0.8250000000000002,0.8333333333333334,0.75,0.075,0.16666666666666666,0.25,0.1,0.0,0.0,0.8041666666666666,0.8333333333333334,0.9166666666666666,0.11249999999999998,0.16666666666666666,0.08333333333333333,0.08333333333333331,0.0,0.0,0.95,80000
1,0,0.0,0.0,0.925,1.0,0.9166666666666666,0.016666666666666666,0.0,0.08333333333333333,0.05833333333333334,0.0,0.0,0.9333333333333335,1.0,1.0,0.008333333333333333,0.0,0.0,0.05833333333333334,0.0,0.0,0.95,60000
1,0,0.1,0.09375,0.975,1.0,1.0,0.0,0.0,0.0,0.024999999999999994,0.0,0.0,0.9416666666666668,1.0,1.0,0.016666666666666666,0.0,0.0,0.04166666666666666,0.0,0.0,1.0,30000
1,0,0.25,0.25,0.9833333333333334,1.0,1.0,0.008333333333333333,0.0,0.0,0.008333333333333333,0.0,0.0,0.9833333333333334,1.0,1.0,0.008333333333333333,0.0,0.0,0.008333333333333333,0.0,0.0,1.0,30000
1,1,0.0,0.0,0.9375,1.0,0.9166666666666666,0.02083333333333333,0.0,0.08333333333333333,0.04166666666666666,0.0,0.0,0.9416666666666668,1.0,1.0,0.016666666666666666,0.0,0.0,0.04166666666666666,0.0,0.0,0.95,20000
1,1,0.1,0.09375,0.9958333333333335,1.0,0.9166666666666666,0.004166666666666667,0.0,0.08333333333333333,0.0,0.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,1.0,20000
