map_index,seed,fraction,auc_conflict_safe_success,final_validation_conflict_safe_success,test_conflict_safe_success,auc_conflict_dynamic_collision,final_validation_conflict_dynamic_collision,test_conflict_dynamic_collision,auc_conflict_timeout,final_validation_conflict_timeout,test_conflict_timeout,auc_control_safe_success,final_validation_control_safe_success,test_control_safe_success,auc_control_dynamic_collision,final_validation_control_dynamic_collision,test_control_dynamic_collision,auc_control_timeout,final_validation_control_timeout,test_control_timeout,auc_static_safe_success
0,0,0.1,-0.14583333333333348,-0.16666666666666663,0.0,0.012500000000000011,0.16666666666666666,0.0,0.13333333333333333,0.0,0.0,-0.15416666666666667,-0.16666666666666663,0.0,0.012499999999999997,0.16666666666666666,0.0,0.14166666666666672,0.0,0.0,-0.15000000000000002
0,1,0.1,-0.06666666666666654,0.0,-0.08333333333333337,0.0,0.0,0.08333333333333333,0.06666666666666665,0.0,0.0,-0.050000000000000155,0.0,0.0,0.0,0.0,0.0,0.05000000000000001,0.0,0.0,-0.050000000000000044
0,2,0.1,0.050000000000000044,0.0,0.0,0.025,0.0,0.0,-0.075,0.0,0.0,0.016666666666666496,0.0,0.0,0.04166666666666666,0.0,0.0,-0.05833333333333331,0.0,0.0,0.050000000000000044
0,3,0.1,-0.08333333333333315,0.0,0.08333333333333337,-0.01666666666666667,0.0,-0.08333333333333333,0.09999999999999998,0.0,0.0,-0.1000000000000002,0.0,0.16666666666666663,6.938893903907228e-18,0.0,-0.08333333333333333,0.09999999999999998,0.0,-0.08333333333333333,0.0
0,4,0.1,0.11250000000000004,0.16666666666666663,0.08333333333333337,-0.0375,-0.16666666666666666,0.0,-0.075,0.0,-0.08333333333333333,0.07916666666666639,0.16666666666666674,0.16666666666666663,-0.0125,-0.16666666666666666,-0.08333333333333333,-0.06666666666666667,0.0,-0.08333333333333333,0.050000000000000044
0,0,0.25,-0.012500000000000067,-0.16666666666666663,-0.08333333333333337,0.0,0.0,0.08333333333333333,0.012499999999999956,0.16666666666666666,0.0,-0.02083333333333326,-0.16666666666666663,-0.08333333333333337,-0.004166666666666652,0.16666666666666666,0.0,0.024999999999999994,0.0,0.08333333333333333,0.0
0,1,0.25,-0.09166666666666679,0.0,-0.08333333333333337,0.03333333333333334,0.0,0.0,0.05833333333333332,0.0,0.08333333333333333,-0.15416666666666679,-0.16666666666666663,0.0,0.07083333333333333,0.16666666666666666,0.0,0.08333333333333331,0.0,0.0,0.0
0,2,0.25,-0.03333333333333344,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.0,0.0,-0.08333333333333348,0.0,0.0,0.05,0.0,0.0,0.033333333333333326,0.0,0.0,0.0
0,3,0.25,0.008333333333333304,0.0,0.08333333333333337,-0.016666666666666677,0.0,-0.08333333333333333,0.008333333333333345,0.0,0.0,0.008333333333333304,0.0,0.16666666666666663,0.0,0.0,-0.08333333333333333,-0.008333333333333345,0.0,-0.08333333333333333,0.0
0,4,0.25,-0.04166666666666652,0.0,-0.16666666666666663,0.01666666666666667,0.0,0.25,0.02500000000000001,0.0,-0.08333333333333333,-0.09583333333333355,0.16666666666666674,0.08333333333333326,0.08749999999999997,-0.16666666666666666,0.0,0.008333333333333318,0.0,-0.08333333333333333,0.0
1,0,0.1,0.04999999999999993,0.0,0.08333333333333337,-0.016666666666666666,0.0,-0.08333333333333333,-0.03333333333333335,0.0,0.0,0.008333333333333304,0.0,0.0,0.008333333333333333,0.0,0.0,-0.016666666666666684,0.0,0.0,0.050000000000000044
1,1,0.1,0.05833333333333346,0.0,0.0,-0.016666666666666663,0.0,0.0,-0.04166666666666666,0.0,0.0,0.05833333333333324,0.0,-0.08333333333333337,-0.016666666666666666,0.0,0.08333333333333333,-0.04166666666666666,0.0,0.0,0.050000000000000044
1,2,0.1,0.44166666666666665,0.0,0.0,0.008333333333333335,0.0,0.0,-0.45,0.0,0.0,0.42499999999999993,0.0,0.08333333333333337,0.016666666666666666,0.0,-0.08333333333333333,-0.4416666666666666,0.0,0.0,0.44999999999999996
1,3,0.1,0.008333333333333304,0.0,0.0,0.008333333333333328,0.0,0.0,-0.016666666666666666,0.0,0.0,-0.01666666666666672,0.0,0.0,0.024999999999999994,0.0,0.0,-0.008333333333333333,0.0,0.0,0.0
1,4,0.1,0.008333333333333304,0.0,-0.08333333333333337,-3.469446951953614e-18,0.0,0.08333333333333333,-0.008333333333333333,0.0,0.0,0.016666666666666607,0.0,0.08333333333333337,0.0,0.0,0.0,-0.016666666666666666,0.0,-0.08333333333333333,0.0
1,0,0.25,0.05833333333333335,0.0,0.08333333333333337,-0.008333333333333333,0.0,-0.08333333333333333,-0.05000000000000001,0.0,0.0,0.04999999999999993,0.0,0.0,0.0,0.0,0.0,-0.05000000000000001,0.0,0.0,0.050000000000000044
1,1,0.25,0.025000000000000022,0.0,0.08333333333333337,0.016666666666666663,0.0,-0.08333333333333333,-0.04166666666666666,0.0,0.0,0.033333333333333215,0.0,0.0,0.008333333333333335,0.0,0.0,-0.04166666666666666,0.0,0.0,0.050000000000000044
1,2,0.25,0.3916666666666667,0.0,0.0,0.008333333333333328,0.0,0.0,-0.4,0.0,0.0,0.3833333333333331,0.0,0.08333333333333337,0.024999999999999994,0.0,-0.08333333333333333,-0.40833333333333327,0.0,0.0,0.3999999999999999
