episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
0,108,108,pair_012_n3_012_control,control,1,0,0,12.180000000000001,0.29982166666666665,1728,5184,43,0,117,0,0,0,0.0,1,1,0,0,0,1,106,1,1
1,196,88,pair_010_n3_010_control,control,1,0,0,12.38,0.29967499999999997,3136,9408,90,1,251,0,0,0,0.0,5,5,0,0,0,5,206,5,5
2,286,90,pair_007_n5_007_control,control,1,0,0,12.360000000000001,0.299525,4576,13728,134,3,757,0,0,0,0.0,7,7,0,0,0,7,667,7,6
3,409,123,pair_002_n5_002_control,control,1,0,0,12.030000000000001,0.29932,6544,19632,208,3,1823,0,0,0,0.0,8,8,0,0,0,8,1649,8,7
4,499,90,pair_008_n3_008_conflict,conflict,1,0,0,12.360000000000001,0.29917,7984,23952,226,3,2636,0,0,0,0.0,8,8,0,0,0,8,2369,8,7
5,596,97,pair_003_n3_003_conflict,conflict,1,0,0,12.290000000000001,0.2990083333333333,9536,28608,253,3,3531,0,0,0,0.0,10,10,0,0,0,10,3145,10,8
6,692,96,pair_016_n5_016_control,control,1,0,0,12.3,0.2988483333333333,11072,33216,328,3,4428,0,0,0,0.0,12,12,0,0,0,12,3913,12,9
7,794,102,pair_011_n5_011_control,control,1,0,0,12.240000000000002,0.2986783333333333,12704,38112,390,5,5411,0,0,0,0.0,15,15,0,0,0,15,4729,15,10
8,891,97,pair_016_n3_016_conflict,conflict,1,0,0,12.290000000000001,0.29851666666666665,14256,42768,434,5,6382,0,0,0,0.0,19,19,0,0,0,19,5505,19,13
9,970,79,pair_009_n5_009_conflict,conflict,1,0,0,12.470000000000002,0.298385,15520,46560,489,6,7171,0,0,0,0.0,21,21,0,0,0,21,6137,21,13
10,1085,115,pair_011_n5_011_conflict,conflict,1,0,0,12.110000000000001,0.2981933333333333,17360,52080,559,7,8390,0,0,0,0.0,30,30,0,0,0,30,7057,30,15
11,1180,95,pair_004_n5_004_control,control,1,0,0,12.310000000000002,0.298035,18880,56640,618,8,9386,0,0,0,0.0,35,35,0,0,0,35,7817,35,16
12,1269,89,pair_012_n3_012_conflict,conflict,1,0,0,12.370000000000001,0.29788666666666663,20304,60912,660,8,10370,0,0,0,0.0,37,37,0,0,0,37,8529,37,16
13,1378,109,pair_005_n5_005_control,control,1,0,0,12.170000000000002,0.297705,22048,66144,700,8,11559,0,0,0,0.0,38,38,0,0,0,38,9401,38,16
14,1463,85,pair_014_n5_014_conflict,conflict,1,0,0,12.410000000000002,0.29756333333333335,23408,70224,754,8,12516,0,0,0,0.0,40,40,0,0,0,40,10081,40,18
15,1543,80,pair_010_n5_010_conflict,conflict,1,0,0,12.460000000000003,0.29742999999999997,24688,74064,793,8,13435,0,0,0,0.0,40,40,0,0,0,40,10721,40,18
16,1651,108,pair_017_n3_017_control,control,1,0,0,12.180000000000001,0.29725,26416,79248,849,9,14685,0,0,0,0.0,42,42,0,0,0,42,11585,42,18
17,1735,84,pair_002_n5_002_conflict,conflict,1,0,0,12.420000000000002,0.29711,27760,83280,900,9,15715,0,0,0,0.0,43,43,0,0,0,43,12257,43,18
18,1838,103,pair_013_n5_013_control,control,1,0,0,12.23,0.2969383333333333,29408,88224,960,10,17002,0,0,0,0.0,46,46,0,0,0,46,13081,46,19
19,1965,127,pair_012_n5_012_control,control,1,0,0,11.99,0.29672666666666664,31440,94320,1039,11,18636,0,0,0,0.0,52,52,0,0,0,52,14097,52,20
20,2068,103,pair_017_n5_017_conflict,conflict,1,0,0,12.23,0.296555,33088,99264,1105,13,19967,0,0,0,0.0,53,53,0,0,0,53,14921,53,20
21,2153,85,pair_010_n5_010_control,control,1,0,0,12.410000000000002,0.2964133333333333,34448,103344,1141,13,21078,0,0,0,0.0,53,53,0,0,0,53,15601,53,20
22,2262,109,pair_017_n3_017_conflict,conflict,1,0,0,12.170000000000002,0.29623166666666667,36192,108576,1196,14,22535,0,0,0,0.0,56,56,0,0,0,56,16473,56,20
23,2379,117,pair_003_n5_003_control,control,1,0,0,12.090000000000002,0.29603666666666667,38064,114192,1240,14,24102,0,0,0,0.0,56,56,0,0,0,56,17409,56,20
24,2479,100,pair_015_n3_015_conflict,conflict,1,0,0,12.260000000000002,0.29586999999999997,39664,118992,1285,15,25490,0,0,0,0.0,60,60,0,0,0,60,18209,60,20
25,2573,94,pair_003_n5_003_conflict,conflict,1,0,0,12.320000000000002,0.29571333333333333,41168,123504,1329,15,26825,0,0,0,0.0,60,60,0,0,0,60,18961,60,20
26,2674,101,pair_016_n5_016_conflict,conflict,1,0,0,12.250000000000002,0.295545,42784,128352,1393,16,28272,0,0,0,0.0,63,63,0,0,0,63,19769,63,20
27,2783,109,pair_001_n5_001_conflict,conflict,1,0,0,12.170000000000002,0.2953633333333333,44528,133584,1446,16,29847,0,0,0,0.0,63,63,0,0,0,63,20641,63,20
28,2886,103,pair_002_n3_002_control,control,1,0,0,12.23,0.29519166666666663,46176,138528,1489,16,31356,0,0,0,0.0,63,63,0,0,0,63,21465,63,20
29,2986,100,pair_005_n3_005_control,control,1,0,0,12.260000000000002,0.295025,47776,143328,1534,16,32819,0,0,0,0.0,64,64,0,0,0,64,22265,64,20
30,3092,106,pair_010_n3_010_conflict,conflict,1,0,0,12.200000000000001,0.2948483333333333,49472,148416,1579,16,34446,0,0,0,0.0,64,64,0,0,0,64,23113,64,20
31,3180,88,pair_004_n3_004_conflict,conflict,1,0,0,12.380000000000003,0.29470166666666664,50880,152640,1616,16,35797,0,0,0,0.0,64,64,0,0,0,64,23817,64,20
32,3277,97,pair_006_n5_006_control,control,1,0,0,12.290000000000001,0.29453999999999997,52432,157296,1677,16,37331,0,0,0,0.0,65,65,0,0,0,65,24593,65,20
33,3361,84,pair_007_n3_007_conflict,conflict,1,0,0,12.420000000000002,0.2944,53776,161328,1732,16,38667,0,0,0,0.0,65,65,0,0,0,65,25265,65,20
34,3473,112,pair_001_n3_001_control,control,1,0,0,12.14,0.2942133333333333,55568,166704,1746,16,40468,0,0,0,0.0,65,65,0,0,0,65,26161,65,20
35,3550,77,pair_007_n5_007_conflict,conflict,1,0,0,12.490000000000002,0.294085,56800,170400,1800,16,41724,0,0,0,0.0,65,65,0,0,0,65,26777,65,20
36,3644,94,pair_006_n5_006_conflict,conflict,1,0,0,12.320000000000002,0.29392833333333335,58304,174912,1861,17,43267,0,0,0,0.0,67,67,0,0,0,67,27529,67,20
37,3735,91,pair_017_n5_017_control,control,1,0,0,12.350000000000001,0.29377666666666663,59760,179280,1907,17,44794,0,0,0,0.0,69,69,0,0,0,69,28257,69,20
38,3846,111,pair_000_n3_000_conflict,conflict,1,0,0,12.150000000000002,0.29359166666666664,61536,184608,1981,17,46691,0,0,0,0.0,69,69,0,0,0,69,29145,69,20
39,3928,82,pair_008_n5_008_control,control,1,0,0,12.440000000000001,0.29345499999999997,62848,188544,2037,17,48115,0,0,0,0.0,69,69,0,0,0,69,29801,69,20
40,4028,100,pair_002_n3_002_conflict,conflict,1,0,0,12.260000000000002,0.2932883333333333,64448,193344,2059,17,49804,0,0,0,0.0,69,69,0,0,0,69,30601,69,20
41,4137,109,pair_000_n5_000_control,control,1,0,0,12.170000000000002,0.2931066666666667,66192,198576,2102,17,51736,0,0,0,0.0,69,69,0,0,0,69,31473,69,20
42,4257,120,pair_008_n5_008_conflict,conflict,1,0,0,12.060000000000002,0.29290666666666665,68112,204336,2179,17,53887,0,0,0,0.0,69,69,0,0,0,69,32433,69,20
43,4344,87,pair_001_n3_001_conflict,conflict,1,0,0,12.39,0.29276166666666664,69504,208512,2227,17,55502,0,0,0,0.0,69,69,0,0,0,69,33129,69,20
44,4439,95,pair_012_n5_012_conflict,conflict,1,0,0,12.31,0.2926033333333333,71024,213072,2284,21,57271,0,0,0,0.0,72,72,0,0,0,72,33889,72,20
45,4536,97,pair_013_n5_013_conflict,conflict,1,0,0,12.290000000000003,0.29244166666666666,72576,217728,2310,21,59079,0,0,0,0.0,72,72,0,0,0,72,34665,72,20
46,4646,110,pair_011_n3_011_control,control,1,0,0,12.160000000000002,0.29225833333333334,74336,223008,2323,21,61116,0,0,0,0.0,72,72,0,0,0,72,35545,72,20
47,4751,105,pair_013_n3_013_control,control,1,0,0,12.21,0.2920833333333333,76016,228048,2350,21,63106,0,0,0,0.0,72,72,0,0,0,72,36385,72,20
48,4840,89,pair_015_n5_015_control,control,1,0,0,12.370000000000001,0.291935,77440,232320,2378,21,64774,0,0,0,0.0,72,72,0,0,0,72,37097,72,20
