episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress
1324,111879,86,pair_008_n5_008_conflict,conflict,1,0,0,12.400000000000002,0.11353666666666665,1790064,5370192,60174,543,2787403,0,0,0,0.0
1325,111953,74,pair_005_n5_005_control,control,1,0,0,12.520000000000001,0.11341333333333331,1791248,5373744,60192,543,2789089,0,0,0,0.0
1326,112034,81,pair_010_n3_010_conflict,conflict,1,0,0,12.450000000000001,0.11327833333333331,1792544,5377632,60203,543,2790941,0,0,0,0.0
1327,112114,80,pair_007_n3_007_control,control,1,0,0,12.46,0.113145,1793824,5381472,60249,543,2792711,0,0,0,0.0
1328,112209,95,pair_006_n5_006_conflict,conflict,1,0,0,12.310000000000002,0.11298666666666665,1795344,5386032,60339,545,2794861,0,0,0,0.0
1329,112283,74,pair_006_n3_006_conflict,conflict,1,0,0,12.520000000000001,0.11286333333333332,1796528,5389584,60381,545,2796548,0,0,0,0.0
1330,112351,68,pair_013_n5_013_conflict,conflict,1,0,0,12.580000000000002,0.11274999999999999,1797616,5392848,60399,545,2798140,0,0,0,0.0
1331,112423,72,pair_002_n5_002_conflict,conflict,1,0,0,12.540000000000003,0.11262999999999998,1798768,5396304,60419,545,2799789,0,0,0,0.0
1332,112505,82,pair_017_n5_017_control,control,1,0,0,12.440000000000001,0.11249333333333333,1800080,5400240,60438,545,2801599,0,0,0,0.0
1333,112581,76,pair_008_n5_008_control,control,1,0,0,12.500000000000002,0.11236666666666664,1801296,5403888,60458,545,2803273,0,0,0,0.0
1334,112658,77,pair_010_n5_010_control,control,1,0,0,12.490000000000002,0.11223833333333333,1802528,5407584,60469,545,2805018,0,0,0,0.0
1335,112734,76,pair_015_n3_015_conflict,conflict,1,0,0,12.500000000000002,0.11211166666666667,1803744,5411232,60489,545,2806685,0,0,0,0.0
1336,112809,75,pair_014_n3_014_conflict,conflict,1,0,0,12.510000000000002,0.11198666666666665,1804944,5414832,60519,545,2808297,0,0,0,0.0
1337,112880,71,pair_004_n5_004_control,control,1,0,0,12.55,0.11186833333333332,1806080,5418240,60541,545,2809845,0,0,0,0.0
1338,112954,74,pair_003_n5_003_conflict,conflict,1,0,0,12.520000000000001,0.11174499999999998,1807264,5421792,60562,545,2811412,0,0,0,0.0
1339,113031,77,pair_012_n5_012_control,control,1,0,0,12.490000000000002,0.11161666666666664,1808496,5425488,60589,545,2813105,0,0,0,0.0
1340,113104,73,pair_011_n5_011_conflict,conflict,1,0,0,12.530000000000001,0.11149499999999998,1809664,5428992,60631,545,2814705,0,0,0,0.0
1341,113183,79,pair_002_n3_002_conflict,conflict,1,0,0,12.470000000000002,0.11136333333333331,1810928,5432784,60669,546,2816421,0,0,0,0.0
1342,113257,74,pair_004_n5_004_conflict,conflict,1,0,0,12.520000000000001,0.11123999999999998,1812112,5436336,60695,546,2817941,0,0,0,0.0
1343,113326,69,pair_003_n3_003_control,control,1,0,0,12.570000000000002,0.111125,1813216,5439648,60725,546,2819407,0,0,0,0.0
1344,113408,82,pair_016_n3_016_control,control,1,0,0,12.440000000000001,0.11098833333333333,1814528,5443584,60754,546,2821167,0,0,0,0.0
