episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
0,89,89,pair_009_n3_009_conflict,conflict,1,0,0,12.370000000000001,0.2998533333333333,1424,4272,64,0,69,0,0,0,0.0,1,1,0,0,0,1,42,1,1
1,186,97,pair_013_n5_013_conflict,conflict,1,0,0,12.290000000000001,0.29969166666666663,2976,8928,119,4,535,0,0,0,0.0,5,5,0,0,0,5,468,5,5
2,280,94,pair_009_n3_009_control,control,1,0,0,12.320000000000002,0.299535,4480,13440,191,5,1201,0,0,0,0.0,8,8,0,0,0,8,1070,8,8
3,382,102,pair_007_n5_007_control,control,1,0,0,12.240000000000002,0.299365,6112,18336,266,8,2131,0,0,0,0.0,9,9,0,0,0,9,1886,9,8
4,494,112,pair_000_n5_000_control,control,1,0,0,12.14,0.2991783333333333,7904,23712,331,9,3168,0,0,0,0.0,14,14,0,0,0,14,2782,14,11
5,584,90,pair_008_n5_008_control,control,1,0,0,12.360000000000001,0.29902833333333334,9344,28032,412,9,4068,0,0,0,0.0,14,14,0,0,0,14,3502,14,11
6,669,85,pair_012_n3_012_conflict,conflict,1,0,0,12.410000000000002,0.29888666666666663,10704,32112,455,9,4898,0,0,0,0.0,18,18,0,0,0,18,4182,18,15
7,762,93,pair_006_n5_006_conflict,conflict,1,0,0,12.330000000000002,0.2987316666666667,12192,36576,533,10,5846,0,0,0,0.0,21,21,0,0,0,21,4926,21,16
8,847,85,pair_013_n3_013_conflict,conflict,1,0,0,12.410000000000002,0.29858999999999997,13552,40656,588,10,6731,0,0,0,0.0,22,22,0,0,0,22,5606,22,16
9,932,85,pair_005_n5_005_conflict,conflict,1,0,0,12.410000000000002,0.2984483333333333,14912,44736,634,10,7670,0,0,0,0.0,23,23,0,0,0,23,6286,23,16
10,1033,101,pair_013_n3_013_control,control,1,0,0,12.250000000000002,0.29828,16528,49584,709,10,8785,0,0,0,0.0,24,24,0,0,0,24,7094,24,16
11,1133,100,pair_005_n5_005_control,control,1,0,0,12.260000000000002,0.29811333333333334,18128,54384,773,10,9942,0,0,0,0.0,24,24,0,0,0,24,7894,24,16
12,1243,110,pair_015_n3_015_conflict,conflict,1,0,0,12.16,0.29793,19888,59664,839,12,11190,0,0,0,0.0,26,26,0,0,0,26,8774,26,16
13,1346,103,pair_005_n3_005_control,control,1,0,0,12.23,0.29775833333333335,21536,64608,892,12,12453,0,0,0,0.0,27,27,0,0,0,27,9598,27,16
14,1455,109,pair_015_n3_015_control,control,1,0,0,12.170000000000002,0.29757666666666666,23280,69840,950,12,13785,0,0,0,0.0,29,29,0,0,0,29,10470,29,16
15,1558,103,pair_004_n5_004_control,control,1,0,0,12.23,0.297405,24928,74784,989,12,15061,0,0,0,0.0,29,29,0,0,0,29,11294,29,16
16,1665,107,pair_010_n5_010_control,control,1,0,0,12.190000000000001,0.29722666666666664,26640,79920,1052,12,16388,0,0,0,0.0,29,29,0,0,0,29,12150,29,16
17,1755,90,pair_001_n3_001_conflict,conflict,1,0,0,12.360000000000001,0.29707666666666666,28080,84240,1097,12,17559,0,0,0,0.0,29,29,0,0,0,29,12870,29,16
18,1855,100,pair_012_n5_012_conflict,conflict,1,0,0,12.260000000000002,0.29691,29680,89040,1163,13,18913,0,0,0,0.0,31,31,0,0,0,31,13670,31,16
19,1964,109,pair_011_n3_011_control,control,1,0,0,12.170000000000002,0.2967283333333333,31424,94272,1225,13,20379,0,0,0,0.0,35,35,0,0,0,35,14542,35,18
20,2055,91,pair_011_n5_011_control,control,1,0,0,12.350000000000001,0.29657666666666666,32880,98640,1300,13,21616,0,0,0,0.0,37,37,0,0,0,37,15270,37,18
21,2154,99,pair_017_n5_017_conflict,conflict,1,0,0,12.270000000000001,0.29641166666666663,34464,103392,1367,15,23024,0,0,0,0.0,38,38,0,0,0,38,16062,38,18
22,2260,106,pair_003_n5_003_conflict,conflict,1,0,0,12.200000000000003,0.29623499999999997,36160,108480,1456,17,24549,0,0,0,0.0,44,44,0,0,0,44,16910,44,20
23,2378,118,pair_015_n5_015_conflict,conflict,1,0,0,12.080000000000002,0.29603833333333335,38048,114144,1496,18,26264,0,0,0,0.0,44,44,0,0,0,44,17854,44,20
24,2463,85,pair_015_n5_015_control,control,1,0,0,12.410000000000002,0.29589666666666664,39408,118224,1571,19,27554,0,0,0,0.0,46,46,0,0,0,46,18534,46,20
25,2554,91,pair_009_n5_009_control,control,1,0,0,12.350000000000001,0.295745,40864,122592,1633,19,28989,0,0,0,0.0,47,47,0,0,0,47,19262,47,20
26,2635,81,pair_010_n5_010_conflict,conflict,1,0,0,12.450000000000003,0.29561,42160,126480,1679,20,30285,0,0,0,0.0,48,48,0,0,0,48,19910,48,20
27,2755,120,pair_003_n3_003_control,control,1,0,0,12.06,0.29541,44080,132240,1752,24,32146,0,0,0,0.0,51,51,0,0,0,51,20870,51,20
28,2851,96,pair_003_n3_003_conflict,conflict,1,0,0,12.3,0.29525,45616,136848,1806,25,33722,0,0,0,0.0,52,52,0,0,0,52,21638,52,21
29,2941,90,pair_010_n3_010_conflict,conflict,1,0,0,12.360000000000001,0.2951,47056,141168,1844,25,35225,0,0,0,0.0,52,52,0,0,0,52,22358,52,21
30,3046,105,pair_014_n3_014_conflict,conflict,1,0,0,12.21,0.294925,48736,146208,1895,25,36991,0,0,0,0.0,52,52,0,0,0,52,23198,52,21
31,3154,108,pair_017_n3_017_control,control,1,0,0,12.180000000000001,0.294745,50464,151392,1956,26,38777,0,0,0,0.0,54,54,0,0,0,54,24062,54,22
32,3257,103,pair_016_n5_016_conflict,conflict,1,0,0,12.23,0.2945733333333333,52112,156336,2031,27,40622,0,0,0,0.0,56,56,0,0,0,56,24886,56,22
