episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative
0,77,77,pair_002_conflict,conflict,1,0,0,12.490000000000002,0.2998733333333333,0,4928,17,0,14
1,174,97,pair_004_conflict,conflict,1,0,0,12.290000000000003,0.29971166666666665,0,11136,50,0,45
2,289,115,pair_003_control,control,1,0,0,12.110000000000001,0.29952,0,18496,83,0,110
3,366,77,pair_010_conflict,conflict,1,0,0,12.490000000000002,0.29939166666666667,0,23424,108,0,165
4,469,103,pair_001_conflict,conflict,1,0,0,12.23,0.29922,0,30016,130,0,246
5,561,92,pair_005_conflict,conflict,1,0,0,12.340000000000002,0.29906666666666665,0,35904,143,0,347
6,643,82,pair_010_control,control,1,0,0,12.440000000000001,0.29893,0,41152,172,0,447
7,745,102,pair_002_control,control,1,0,0,12.240000000000002,0.29875999999999997,0,47680,190,0,601
8,845,100,pair_000_control,control,1,0,0,12.260000000000002,0.2985933333333333,0,54080,211,0,761
9,952,107,pair_016_control,control,1,0,0,12.190000000000001,0.298415,0,60928,242,0,947
10,1062,110,pair_017_conflict,conflict,1,0,0,12.160000000000002,0.2982316666666667,0,67968,266,0,1130
11,1149,87,pair_006_conflict,conflict,1,0,0,12.39,0.29808666666666667,0,73536,296,0,1320
12,1256,107,pair_001_control,control,1,0,0,12.190000000000001,0.29790833333333333,0,80384,316,0,1556
13,1373,117,pair_014_conflict,conflict,1,0,0,12.090000000000002,0.29771333333333333,0,87872,352,1,1835
14,1488,115,pair_000_conflict,conflict,1,0,0,12.110000000000001,0.29752166666666663,0,95232,397,1,2179
15,1588,100,pair_004_control,control,1,0,0,12.260000000000002,0.297355,0,101632,405,1,2487
16,1693,105,pair_017_control,control,0,1,0,0.9600000000000011,0.29718,0,108352,426,2,2794
17,1772,79,pair_015_control,control,0,1,0,1.0700000000000012,0.2970483333333333,0,113408,443,2,3037
18,1871,99,pair_007_conflict,conflict,1,0,0,12.270000000000001,0.29688333333333333,0,119744,471,2,3392
19,1963,92,pair_007_control,control,1,0,0,12.340000000000002,0.29673,0,125632,502,2,3697
20,2057,94,pair_013_control,control,1,0,0,12.320000000000002,0.2965733333333333,0,131648,529,2,4027
21,2154,97,pair_012_control,control,1,0,0,12.290000000000001,0.29641166666666663,0,137856,552,3,4382
22,2245,91,pair_011_conflict,conflict,1,0,0,12.350000000000001,0.29625999999999997,0,143680,577,3,4750
23,2324,79,pair_015_conflict,conflict,0,1,0,1.0700000000000012,0.2961283333333333,0,148736,594,3,5098
24,2389,65,pair_016_conflict,conflict,0,1,0,1.060000000000001,0.29602,0,152896,604,3,5408
25,2484,95,pair_008_conflict,conflict,1,0,0,12.310000000000002,0.29586166666666663,0,158976,630,3,5868
26,2585,101,pair_013_conflict,conflict,1,0,0,12.250000000000002,0.2956933333333333,0,165440,675,3,6375
27,2710,125,pair_009_control,control,1,0,0,12.010000000000002,0.295485,0,173440,675,3,6987
28,2815,105,pair_011_control,control,1,0,0,12.21,0.29530999999999996,0,180160,691,3,7542
29,2915,100,pair_012_conflict,conflict,1,0,0,12.260000000000002,0.2951433333333333,0,186560,711,3,8059
30,3021,106,pair_008_control,control,1,0,0,12.200000000000001,0.29496666666666665,0,193344,718,3,8605
31,3110,89,pair_006_control,control,1,0,0,12.370000000000001,0.29481833333333335,0,199040,736,3,9068
32,3209,99,pair_005_control,control,1,0,0,12.270000000000001,0.2946533333333333,0,205376,748,3,9632
33,3305,96,pair_009_conflict,conflict,1,0,0,12.3,0.29449333333333333,0,211520,762,3,10163
34,3406,101,pair_003_conflict,conflict,1,0,0,12.250000000000002,0.294325,0,217984,780,3,10738
35,3522,116,pair_014_control,control,1,0,0,12.100000000000001,0.2941316666666667,0,225408,780,3,11436
36,3621,99,pair_001_control,control,1,0,0,12.270000000000001,0.29396666666666665,0,231744,797,3,12016
37,3719,98,pair_014_conflict,conflict,1,0,0,12.280000000000001,0.2938033333333333,0,238016,813,3,12637
38,3827,108,pair_016_conflict,conflict,1,0,0,12.180000000000001,0.29362333333333335,0,244928,836,3,13259
39,3932,105,pair_008_conflict,conflict,1,0,0,12.21,0.2934483333333333,0,251648,845,3,13866
40,4013,81,pair_010_conflict,conflict,1,0,0,12.450000000000003,0.2933133333333333,0,256832,864,3,14382
41,4100,87,pair_010_control,control,1,0,0,12.39,0.2931683333333333,0,262400,876,3,14903
42,4191,91,pair_008_control,control,1,0,0,12.350000000000001,0.29301666666666665,0,268224,881,3,15465
43,4286,95,pair_011_conflict,conflict,1,0,0,12.310000000000002,0.29285833333333333,0,274304,911,3,16118
44,4378,92,pair_015_control,control,1,0,0,12.340000000000002,0.292705,0,280192,936,3,16794
45,4473,95,pair_005_conflict,conflict,1,0,0,12.310000000000002,0.2925466666666667,0,286272,956,3,17487
46,4565,92,pair_004_control,control,1,0,0,12.340000000000002,0.29239333333333334,0,292160,960,3,18108
47,4702,137,pair_015_conflict,conflict,1,0,0,11.89,0.292165,0,300928,991,3,19047
48,4802,100,pair_000_conflict,conflict,1,0,0,12.260000000000002,0.2919983333333333,0,307328,1022,3,19803
49,4897,95,pair_012_conflict,conflict,1,0,0,12.310000000000002,0.29184,0,313408,1039,4,20524
50,4994,97,pair_009_control,control,1,0,0,12.290000000000001,0.2916783333333333,0,319616,1039,4,21288
51,5084,90,pair_002_conflict,conflict,1,0,0,12.360000000000001,0.29152833333333333,0,325376,1051,4,21966
52,5173,89,pair_012_control,control,0,1,0,1.220000000000001,0.29138,0,331072,1061,4,22676
53,5278,105,pair_011_control,control,1,0,0,12.21,0.291205,0,337792,1080,4,23498
54,5369,91,pair_002_control,control,1,0,0,12.350000000000001,0.29105333333333333,0,343616,1095,4,24241
55,5474,105,pair_007_control,control,1,0,0,12.21,0.29087833333333335,0,350336,1122,4,25115
56,5561,87,pair_007_conflict,conflict,1,0,0,12.390000000000002,0.29073333333333334,0,355904,1135,4,25831
57,5648,87,pair_013_conflict,conflict,1,0,0,12.39,0.29058833333333334,0,361472,1156,4,26579
58,5732,84,pair_017_control,control,0,1,0,1.3200000000000016,0.2904483333333333,0,366848,1172,4,27314
59,5828,96,pair_014_control,control,1,0,0,12.3,0.2902883333333333,0,372992,1177,4,28183
60,5908,80,pair_006_conflict,conflict,1,0,0,12.46,0.290155,0,378112,1198,4,28868
61,5993,85,pair_003_control,control,1,0,0,12.410000000000002,0.29001333333333335,0,383552,1205,4,29642
62,6122,129,pair_003_conflict,conflict,1,0,0,11.97,0.2897983333333333,0,391808,1233,4,30827
63,6215,93,pair_005_control,control,1,0,0,12.330000000000002,0.2896433333333333,0,397760,1258,4,31643
64,6315,100,pair_006_control,control,1,0,0,12.260000000000002,0.28947666666666666,0,404160,1285,4,32558
65,6412,97,pair_016_control,control,1,0,0,12.290000000000001,0.289315,0,410368,1296,4,33493
66,6494,82,pair_004_conflict,conflict,1,0,0,12.440000000000001,0.2891783333333333,0,415616,1300,4,34247
67,6585,91,pair_009_conflict,conflict,1,0,0,12.350000000000001,0.28902666666666665,0,421440,1311,4,35111
68,6692,107,pair_000_control,control,1,0,0,12.190000000000001,0.2888483333333333,0,428288,1344,4,36134
69,6778,86,pair_017_conflict,conflict,1,0,0,12.400000000000002,0.288705,0,433792,1364,4,36974
70,6881,103,pair_001_conflict,conflict,1,0,0,12.230000000000002,0.2885333333333333,0,440384,1376,4,37982
71,6983,102,pair_013_control,control,1,0,0,12.240000000000002,0.2883633333333333,0,446912,1405,4,39011
72,7085,102,pair_017_conflict,conflict,1,0,0,12.240000000000002,0.2881933333333333,0,453440,1433,4,40024
73,7186,101,pair_009_conflict,conflict,1,0,0,12.250000000000002,0.288025,0,459904,1433,4,41142
74,7278,92,pair_003_control,control,1,0,0,12.340000000000002,0.28787166666666664,0,465792,1460,4,42103
75,7401,123,pair_017_control,control,1,0,0,12.030000000000001,0.2876666666666667,0,473664,1476,4,43471
76,7507,106,pair_006_conflict,conflict,1,0,0,12.200000000000001,0.28748999999999997,0,480448,1523,5,44639
77,7527,20,pair_004_control,control,0,1,0,-0.5900000000000001,0.28745666666666664,0,481728,1541,5,44862
78,7610,83,pair_014_conflict,conflict,1,0,0,12.430000000000001,0.28731833333333334,0,487040,1557,5,45803
79,7712,102,pair_010_conflict,conflict,1,0,0,12.240000000000002,0.28714833333333334,0,493568,1568,5,46977
80,7791,79,pair_015_conflict,conflict,1,0,0,12.470000000000002,0.28701666666666664,0,498624,1582,5,47934
81,7821,30,pair_004_conflict,conflict,0,1,0,-0.6400000000000001,0.28696666666666665,0,500544,1608,5,48264
82,7933,112,pair_016_control,control,1,0,0,12.14,0.28678,0,507712,1625,5,49611
83,7947,14,pair_000_conflict,conflict,0,1,0,-0.6300000000000001,0.28675666666666666,0,508608,1639,5,49787
84,8047,100,pair_015_control,control,1,0,0,12.260000000000002,0.28659,0,515008,1654,5,51024
85,8143,96,pair_000_control,control,1,0,0,12.300000000000004,0.28642999999999996,0,521152,1677,5,52253
86,8224,81,pair_013_conflict,conflict,0,1,0,0.8000000000000009,0.28629499999999997,0,526336,1696,5,53236
87,8322,98,pair_010_control,control,1,0,0,12.280000000000001,0.2861316666666667,0,532608,1720,5,54406
88,8445,123,pair_013_control,control,1,0,0,12.030000000000001,0.28592666666666666,0,540480,1725,5,55972
89,8546,101,pair_012_control,control,1,0,0,12.250000000000002,0.28575833333333334,0,546944,1747,5,57238
90,8646,100,pair_003_conflict,conflict,1,0,0,12.260000000000002,0.28559166666666663,0,553344,1747,5,58558
91,8778,132,pair_008_control,control,1,0,0,11.940000000000001,0.28537166666666663,0,561792,1747,5,60246
92,8932,154,pair_001_control,control,1,0,0,11.72,0.285115,0,571648,1747,5,62165
93,9090,158,pair_007_control,control,1,0,0,11.680000000000001,0.28485166666666667,0,581760,1747,5,64102
94,9195,105,pair_011_conflict,conflict,1,0,0,12.21,0.28467666666666663,0,588480,1770,5,65370
95,9278,83,pair_002_conflict,conflict,1,0,0,12.430000000000001,0.28453833333333334,0,593792,1792,6,66427
96,9413,135,pair_009_control,control,1,0,0,11.91,0.2843133333333333,0,602432,1792,6,68027
97,9525,112,pair_006_control,control,1,0,0,12.140000000000002,0.28412666666666664,0,609600,1810,6,69329
98,9642,117,pair_007_conflict,conflict,1,0,0,12.090000000000002,0.28393166666666664,0,617088,1823,6,70727
99,9757,115,pair_016_conflict,conflict,1,0,0,12.110000000000001,0.28374,0,624448,1846,6,72102
100,9888,131,pair_011_control,control,1,0,0,11.950000000000001,0.28352166666666667,0,632832,1846,6,73580
101,9995,107,pair_001_conflict,conflict,1,0,0,12.190000000000001,0.28334333333333334,0,639680,1859,6,74757
102,10111,116,pair_002_control,control,1,0,0,12.100000000000001,0.28315,0,647104,1883,6,76041
103,10218,107,pair_014_control,control,1,0,0,12.190000000000001,0.2829716666666667,0,653952,1910,6,77228
104,10320,102,pair_005_conflict,conflict,1,0,0,12.240000000000002,0.2828016666666667,0,660480,1944,6,78450
105,10430,110,pair_005_control,control,1,0,0,12.16,0.2826183333333333,0,667520,1963,6,79756
106,10541,111,pair_008_conflict,conflict,1,0,0,12.150000000000002,0.2824333333333333,0,674624,2002,6,81049
107,10706,165,pair_012_conflict,conflict,0,1,0,0.46000000000000063,0.28215833333333334,0,685184,2081,6,82884
108,10829,123,pair_017_control,control,1,0,0,12.030000000000001,0.28195333333333333,0,693056,2136,6,84268
109,10910,81,pair_016_conflict,conflict,0,1,0,0.8000000000000009,0.28181833333333334,0,698240,2151,6,85221
110,10997,87,pair_008_control,control,1,0,0,12.39,0.28167333333333333,0,703808,2188,6,86271
111,11086,89,pair_007_conflict,conflict,1,0,0,12.370000000000001,0.28152499999999997,0,709504,2211,6,87324
112,11089,3,pair_005_conflict,conflict,0,1,0,-0.92,0.28152,0,709696,2214,6,87360
113,11143,54,pair_009_conflict,conflict,0,1,0,0.22000000000000042,0.28143,0,713152,2226,7,88029
114,11239,96,pair_006_control,control,1,0,0,12.3,0.28126999999999996,0,719296,2258,7,89169
115,11353,114,pair_012_conflict,conflict,1,0,0,12.120000000000001,0.28108,0,726592,2306,7,90532
116,11452,99,pair_002_conflict,conflict,1,0,0,12.270000000000001,0.28091499999999997,0,732928,2331,8,91724
117,11559,107,pair_014_control,control,1,0,0,12.190000000000001,0.28073666666666663,0,739776,2349,8,93003
118,11652,93,pair_009_control,control,1,0,0,12.330000000000002,0.2805816666666667,0,745728,2378,8,94159
119,11737,85,pair_002_control,control,1,0,0,12.410000000000002,0.28043999999999997,0,751168,2398,8,95238
120,11873,136,pair_004_conflict,conflict,1,0,0,11.9,0.2802133333333333,0,759872,2413,8,96931
121,11974,101,pair_003_conflict,conflict,1,0,0,12.250000000000002,0.280045,0,766336,2443,8,98167
122,12050,76,pair_001_conflict,conflict,1,0,0,12.500000000000002,0.2799183333333333,0,771200,2453,8,99121
123,12150,100,pair_014_conflict,conflict,1,0,0,12.260000000000002,0.2797516666666667,0,777600,2462,8,100333
124,12360,210,pair_015_control,control,1,0,0,11.16,0.27940166666666666,0,791040,2563,8,102922
125,12497,137,pair_000_control,control,1,0,0,11.89,0.27917333333333333,0,799808,2591,8,104788
126,12603,106,pair_010_control,control,1,0,0,12.200000000000001,0.27899666666666667,0,806592,2619,8,106172
127,12698,95,pair_007_control,control,1,0,0,12.310000000000002,0.2788383333333333,0,812672,2644,8,107410
128,12783,85,pair_006_conflict,conflict,1,0,0,12.410000000000002,0.27869666666666665,0,818112,2661,8,108520
129,12868,85,pair_011_conflict,conflict,1,0,0,12.410000000000002,0.278555,0,823552,2676,8,109616
130,12900,32,pair_010_conflict,conflict,0,1,0,-0.1599999999999998,0.27850166666666665,0,825600,2695,8,110081
131,13017,117,pair_015_conflict,conflict,1,0,0,12.090000000000002,0.27830666666666665,0,833088,2740,8,111631
132,13107,90,pair_013_conflict,conflict,1,0,0,12.360000000000001,0.27815666666666666,0,838848,2770,8,112806
133,13210,103,pair_011_control,control,1,0,0,12.23,0.277985,0,845440,2794,8,114175
134,13293,83,pair_005_control,control,1,0,0,12.430000000000001,0.27784666666666663,0,850752,2816,8,115275
135,13398,105,pair_003_control,control,1,0,0,12.21,0.27767166666666665,0,857472,2828,8,116797
136,13485,87,pair_008_conflict,conflict,1,0,0,12.390000000000002,0.27752666666666664,0,863040,2840,8,117954
137,13714,229,pair_017_conflict,conflict,1,0,0,10.97,0.277145,0,877696,2995,8,121070
