seed,fraction,effective_fraction,validation_conflict_auc,threshold_confirmation_step,threshold_right_censored,visible_dynamic_steps,reference_risk_steps,sampled_visible_dynamic,test_all_safe_success,test_all_dynamic_collision,test_all_timeout,test_all_wait_steps,test_all_probe_unsafe_action,test_all_probe_wait_action,test_all_probe_safe_q_margin,test_control_safe_success,test_control_dynamic_collision,test_control_timeout,test_control_wait_steps,test_control_probe_unsafe_action,test_control_probe_wait_action,test_control_probe_safe_q_margin,test_conflict_safe_success,test_conflict_dynamic_collision,test_conflict_timeout,test_conflict_wait_steps,test_conflict_probe_unsafe_action,test_conflict_probe_wait_action,test_conflict_probe_safe_q_margin,test_conflict_minus_control_failure,test_static_safe_success,test_static_steps
0,0.0,0.0,0.925,60000,False,29068,67,1828772,0.9583333333333334,0.041666666666666664,0.0,0.0,0.3333333333333333,0.041666666666666664,0.09640158139742337,1.0,0.0,0.0,0.0,0.0,0.0,0.1955108642578125,0.9166666666666666,0.08333333333333333,0.0,0.0,0.6666666666666666,0.08333333333333333,0.08814247449239095,0.08333333333333337,1,66
0,0.1,0.09375,0.975,30000,False,35910,157,2043659,1.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.693798725421612,1.0,0.0,0.0,0.0,0.0,0.0,0.18768024444580078,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.7359752655029297,0.0,1,66
0,0.25,0.25,0.9833333333333334,30000,False,30198,61,1422039,1.0,0.0,0.0,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.26547303566565883,1.0,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.18076372146606445,1.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.2725321451822917,0.0,1,66
1,0.0,0.0,0.9375,20000,False,29185,135,1835084,0.9583333333333334,0.041666666666666664,0.0,0.0,0.375,0.041666666666666664,0.032596661494328424,1.0,0.0,0.0,0.0,0.0,0.0,0.18761205673217773,0.9166666666666666,0.08333333333333333,0.0,0.0,0.75,0.08333333333333333,0.019678711891174316,0.08333333333333337,1,66
1,0.1,0.09375,0.9958333333333335,20000,False,25882,31,1472012,0.9166666666666666,0.08333333333333333,0.0,0.08333333333333333,0.20833333333333334,0.25,0.30176806449890137,0.9166666666666666,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.17407464981079102,0.9166666666666666,0.08333333333333333,0.0,0.0,0.4166666666666667,0.4166666666666667,0.3124091823895772,0.0,1,66
1,0.25,0.25,0.9625,50000,False,31857,184,1501379,1.0,0.0,0.0,0.0,0.041666666666666664,0.4166666666666667,1.4088234718029315,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6157565116882324,1.0,0.0,0.0,0.0,0.08333333333333333,0.5,1.4749123851458232,0.0,1,66
2,0.0,0.0,0.525,10000,False,52247,391,3267090,0.9583333333333334,0.041666666666666664,0.0,0.041666666666666664,0.125,0.125,0.5101714867811936,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.2057170867919922,1.0,0.0,0.0,0.08333333333333333,0.25,0.16666666666666666,0.5355426867802938,-0.08333333333333337,1,66
2,0.1,0.09375,0.9666666666666667,10000,False,33506,167,1903285,1.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.375,1.410321620794443,1.0,0.0,0.0,0.08333333333333333,0.0,0.3333333333333333,0.20089197158813477,1.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.4166666666666667,1.5111074248949687,0.0,1,66
2,0.25,0.25,0.9166666666666667,60000,False,38287,162,1802765,1.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.8837376374464768,1.0,0.0,0.0,0.0,0.0,0.0,0.17724895477294922,1.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.9426116943359375,0.0,1,66
3,0.0,0.0,0.9708333333333334,30000,False,31076,50,1948925,1.0,0.0,0.0,0.0,0.125,0.0,1.2991395730238695,1.0,0.0,0.0,0.0,0.0,0.0,0.19182968139648438,1.0,0.0,0.0,0.0,0.25,0.0,1.3914153973261516,0.0,1,66
3,0.1,0.09375,0.9791666666666667,20000,False,39780,197,2260071,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.6681066292982835,1.0,0.0,0.0,0.0,0.0,0.0,0.22904062271118164,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.704695463180542,0.0,1,66
3,0.25,0.25,0.9291666666666666,30000,False,52298,88,2448973,0.9583333333333334,0.041666666666666664,0.0,0.0,0.25,0.0,0.3238827265225924,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.19393205642700195,1.0,0.0,0.0,0.0,0.5,0.0,0.3347119490305583,-0.08333333333333337,1,66
4,0.0,0.0,0.9625,40000,False,55593,116,3488886,0.9583333333333334,0.0,0.041666666666666664,3.4583333333333335,0.041666666666666664,0.08333333333333333,3.5392406903780422,0.9166666666666666,0.0,0.08333333333333333,6.583333333333333,0.0,0.16666666666666666,0.2410717010498047,1.0,0.0,0.0,0.3333333333333333,0.08333333333333333,0.0,3.8140881061553955,-0.08333333333333337,1,66
