episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress
0,3,3,pair_012_n3_012_control,control,0,1,0,-1.02,0.29999666666666663,48,144,3,0,0,0,0,0,0.0
1,106,103,pair_010_n3_010_control,control,0,1,0,1.080000000000001,0.299825,1696,5088,15,0,3,0,0,0,0.0
2,108,2,pair_007_n5_007_control,control,0,1,0,-0.96,0.29982166666666665,1728,5184,17,0,3,0,0,0,0.0
3,111,3,pair_002_n5_002_control,control,0,1,0,-0.97,0.2998166666666667,1776,5328,20,0,3,0,0,0,0.0
4,190,79,pair_008_n3_008_conflict,conflict,1,0,0,12.470000000000002,0.299685,3040,9120,50,0,25,0,0,0,0.0
5,298,108,pair_003_n3_003_conflict,conflict,0,1,0,1.0800000000000018,0.29950499999999997,4768,14304,71,0,57,0,0,0,0.0
6,300,2,pair_016_n5_016_control,control,0,1,0,-0.96,0.29950166666666667,4800,14400,73,0,58,0,0,0,0.0
7,302,2,pair_011_n5_011_control,control,0,1,0,-0.96,0.2994983333333333,4832,14496,75,0,60,0,0,0,0.0
8,416,114,pair_016_n3_016_conflict,conflict,1,0,0,12.120000000000001,0.29930833333333334,6656,19968,114,0,121,0,0,0,0.0
9,418,2,pair_009_n5_009_conflict,conflict,0,1,0,-0.96,0.299305,6688,20064,116,0,122,0,0,0,0.0
10,422,4,pair_011_n5_011_conflict,conflict,0,1,0,-0.98,0.29929833333333333,6752,20256,120,0,122,0,0,0,0.0
11,516,94,pair_004_n5_004_control,control,0,1,0,1.020000000000001,0.29914166666666664,8256,24768,153,0,195,0,0,0,0.0
12,605,89,pair_012_n3_012_conflict,conflict,1,0,0,12.370000000000001,0.29899333333333333,9680,29040,194,0,276,0,0,0,0.0
13,622,17,pair_005_n5_005_control,control,0,1,0,-0.56,0.298965,9952,29856,211,0,290,0,0,0,0.0
14,637,15,pair_014_n5_014_conflict,conflict,0,1,0,-0.54,0.29894,10192,30576,226,0,312,0,0,0,0.0
15,736,99,pair_010_n5_010_conflict,conflict,1,0,0,12.270000000000001,0.298775,11776,35328,240,0,426,0,0,0,0.0
16,846,110,pair_017_n3_017_control,control,1,0,0,12.160000000000002,0.29859166666666664,13536,40608,276,0,597,0,0,0,0.0
17,848,2,pair_002_n5_002_conflict,conflict,0,1,0,-0.96,0.29858833333333334,13568,40704,278,0,601,0,0,0,0.0
18,934,86,pair_013_n5_013_control,control,1,0,0,12.400000000000002,0.298445,14944,44832,350,0,737,0,0,0,0.0
19,949,15,pair_012_n5_012_control,control,0,1,0,-0.54,0.29841999999999996,15184,45552,365,0,767,0,0,0,0.0
20,954,5,pair_017_n5_017_conflict,conflict,0,1,0,-0.84,0.29841166666666663,15264,45792,370,1,781,0,0,0,0.0
21,1052,98,pair_010_n5_010_control,control,1,0,0,12.280000000000001,0.29824833333333334,16832,50496,408,1,985,0,0,0,0.0
22,1154,102,pair_017_n3_017_conflict,conflict,1,0,0,12.240000000000002,0.29807833333333333,18464,55392,471,2,1239,0,0,0,0.0
23,1238,84,pair_003_n5_003_control,control,1,0,0,12.420000000000002,0.2979383333333333,19808,59424,520,2,1454,0,0,0,0.0
24,1303,65,pair_015_n3_015_conflict,conflict,0,1,0,0.7100000000000009,0.29783,20848,62544,561,3,1647,0,0,0,0.0
25,1327,24,pair_003_n5_003_conflict,conflict,0,1,0,-0.4800000000000001,0.29779,21232,63696,580,3,1724,0,0,0,0.0
26,1431,104,pair_016_n5_016_conflict,conflict,1,0,0,12.220000000000002,0.29761666666666664,22896,68688,608,3,2068,0,0,0,0.0
27,1520,89,pair_001_n5_001_conflict,conflict,0,1,0,1.3200000000000012,0.29746833333333333,24320,72960,678,4,2401,0,0,0,0.0
28,1628,108,pair_002_n3_002_control,control,1,0,0,12.180000000000001,0.2972883333333333,26048,78144,729,4,2845,0,0,0,0.0
29,1720,92,pair_005_n3_005_control,control,0,1,0,1.240000000000001,0.297135,27520,82560,756,4,3217,0,0,0,0.0
30,1816,96,pair_010_n3_010_conflict,conflict,1,0,0,12.3,0.296975,29056,87168,775,4,3620,0,0,0,0.0
31,1922,106,pair_004_n3_004_conflict,conflict,1,0,0,12.200000000000001,0.29679833333333333,30752,92256,811,4,4079,0,0,0,0.0
32,2034,112,pair_006_n5_006_control,control,1,0,0,12.14,0.29661166666666666,32544,97632,860,4,4578,0,0,0,0.0
33,2150,116,pair_007_n3_007_conflict,conflict,1,0,0,12.100000000000001,0.29641833333333334,34400,103200,907,4,5192,0,0,0,0.0
34,2269,119,pair_001_n3_001_control,control,1,0,0,12.07,0.29622,36304,108912,919,4,5738,0,0,0,0.0
35,2383,114,pair_007_n5_007_conflict,conflict,1,0,0,12.120000000000001,0.29603,38128,114384,955,4,6352,0,0,0,0.0
36,2458,75,pair_006_n5_006_conflict,conflict,0,1,0,1.4100000000000015,0.295905,39328,117984,993,4,6755,0,0,0,0.0
37,2564,106,pair_017_n5_017_control,control,1,0,0,12.200000000000001,0.2957283333333333,41024,123072,1040,4,7319,0,0,0,0.0
38,2672,108,pair_000_n3_000_conflict,conflict,1,0,0,12.180000000000001,0.2955483333333333,42752,128256,1081,4,7962,0,0,0,0.0
39,2753,81,pair_008_n5_008_control,control,0,1,0,1.3500000000000014,0.2954133333333333,44048,132144,1101,4,8466,0,0,0,0.0
40,2868,115,pair_002_n3_002_conflict,conflict,1,0,0,12.110000000000001,0.29522166666666666,45888,137664,1148,4,9144,0,0,0,0.0
41,2975,107,pair_000_n5_000_control,control,1,0,0,12.190000000000003,0.2950433333333333,47600,142800,1199,4,9825,0,0,0,0.0
42,3079,104,pair_008_n5_008_conflict,conflict,1,0,0,12.22,0.29486999999999997,49264,147792,1225,4,10503,0,0,0,0.0
43,3190,111,pair_001_n3_001_conflict,conflict,1,0,0,12.150000000000002,0.294685,51040,153120,1281,4,11262,0,0,0,0.0
44,3288,98,pair_012_n5_012_conflict,conflict,1,0,0,12.280000000000001,0.2945216666666667,52608,157824,1315,4,12000,0,0,0,0.0
45,3377,89,pair_013_n5_013_conflict,conflict,1,0,0,12.370000000000001,0.2943733333333333,54032,162096,1356,4,12644,0,0,0,0.0
46,3488,111,pair_011_n3_011_control,control,1,0,0,12.150000000000002,0.29418833333333333,55808,167424,1379,4,13511,0,0,0,0.0
47,3578,90,pair_013_n3_013_control,control,1,0,0,12.360000000000001,0.29403833333333335,57248,171744,1401,4,14224,0,0,0,0.0
48,3676,98,pair_015_n5_015_control,control,1,0,0,12.280000000000001,0.293875,58816,176448,1450,4,14995,0,0,0,0.0
49,3795,119,pair_008_n3_008_control,control,0,1,0,0.970000000000002,0.29367666666666664,60720,182160,1529,5,15945,0,0,0,0.0
50,3889,94,pair_004_n5_004_conflict,conflict,1,0,0,12.32,0.29352,62224,186672,1556,5,16742,0,0,0,0.0
51,3987,98,pair_006_n3_006_control,control,1,0,0,12.280000000000001,0.29335666666666665,63792,191376,1596,5,17612,0,0,0,0.0
