episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative
0,85,85,pair_001_control,control,1,0,0,12.410000000000002,0.29986,1360,4080,7,0,1
1,170,85,pair_015_conflict,conflict,1,0,0,12.410000000000002,0.2997183333333333,2720,8160,19,0,3
2,267,97,pair_008_control,control,1,0,0,12.290000000000003,0.29955666666666664,4272,12816,26,0,20
3,369,102,pair_007_conflict,conflict,1,0,0,12.240000000000002,0.29938666666666663,5904,17712,26,0,33
4,459,90,pair_003_conflict,conflict,1,0,0,12.360000000000001,0.29923666666666665,7344,22032,45,0,46
5,555,96,pair_017_control,control,0,1,0,1.100000000000001,0.29907666666666666,8880,26640,55,0,68
6,651,96,pair_000_conflict,conflict,1,0,0,12.3,0.29891666666666666,10416,31248,78,0,105
7,739,88,pair_008_conflict,conflict,1,0,0,12.38,0.29877,11824,35472,96,0,143
8,842,103,pair_006_control,control,1,0,0,12.23,0.2985983333333333,13472,40416,96,0,195
9,931,89,pair_012_conflict,conflict,1,0,0,12.370000000000001,0.29845,14896,44688,105,0,232
10,1016,85,pair_010_control,control,1,0,0,12.410000000000002,0.29830833333333334,16256,48768,122,0,286
11,1095,79,pair_012_control,control,0,1,0,1.3700000000000014,0.29817666666666665,17520,52560,129,1,343
12,1184,89,pair_004_conflict,conflict,1,0,0,12.370000000000001,0.29802833333333334,18944,56832,153,1,413
13,1265,81,pair_005_conflict,conflict,1,0,0,12.450000000000003,0.29789333333333334,20240,60720,164,1,490
14,1348,83,pair_000_control,control,1,0,0,12.430000000000001,0.297755,21568,64704,185,1,562
15,1452,104,pair_014_conflict,conflict,1,0,0,12.22,0.29758166666666663,23232,69696,226,1,679
16,1540,88,pair_006_conflict,conflict,1,0,0,12.380000000000003,0.297435,24640,73920,226,1,796
17,1619,79,pair_016_conflict,conflict,1,0,0,12.470000000000002,0.2973033333333333,25904,77712,242,1,885
18,1710,91,pair_014_control,control,1,0,0,12.350000000000001,0.29715166666666665,27360,82080,269,1,998
19,1820,110,pair_015_control,control,1,0,0,12.16,0.29696833333333333,29120,87360,284,1,1159
20,1911,91,pair_002_control,control,1,0,0,12.350000000000001,0.2968166666666667,30576,91728,311,1,1320
21,2009,98,pair_009_conflict,conflict,1,0,0,12.280000000000001,0.2966533333333333,32144,96432,311,1,1479
22,2025,16,pair_004_control,control,0,1,0,-0.5000000000000001,0.29662666666666665,32400,97200,324,1,1519
23,2109,84,pair_001_conflict,conflict,1,0,0,12.420000000000002,0.2964866666666667,33744,101232,329,1,1680
24,2210,101,pair_002_conflict,conflict,1,0,0,12.250000000000002,0.2963183333333333,35360,106080,346,1,1882
25,2295,85,pair_017_conflict,conflict,0,1,0,1.2100000000000013,0.29617666666666664,36720,110160,358,1,2038
26,2394,99,pair_003_control,control,1,0,0,12.270000000000001,0.2960116666666667,38304,114912,373,1,2224
27,2470,76,pair_010_conflict,conflict,1,0,0,12.500000000000002,0.295885,39520,118560,378,1,2381
28,2560,90,pair_009_control,control,1,0,0,12.360000000000003,0.29573499999999997,40960,122880,401,1,2583
29,2646,86,pair_011_conflict,conflict,1,0,0,12.400000000000002,0.29559166666666664,42336,127008,417,1,2757
30,2750,104,pair_011_control,control,1,0,0,12.220000000000002,0.29541833333333334,44000,132000,430,1,2993
31,2841,91,pair_005_control,control,1,0,0,12.350000000000001,0.2952666666666667,45456,136368,453,1,3237
32,2939,98,pair_016_control,control,1,0,0,12.280000000000001,0.29510333333333333,47024,141072,469,1,3485
33,3023,84,pair_013_conflict,conflict,1,0,0,12.420000000000002,0.2949633333333333,48368,145104,495,1,3708
34,3110,87,pair_007_control,control,1,0,0,12.39,0.29481833333333335,49760,149280,496,1,3933
35,3205,95,pair_013_control,control,1,0,0,12.310000000000002,0.29466,51280,153840,513,1,4152
36,3306,101,pair_003_conflict,conflict,1,0,0,12.250000000000002,0.29449166666666665,52896,158688,547,1,4457
37,3398,92,pair_015_conflict,conflict,0,1,0,0.9400000000000011,0.2943383333333333,54368,163104,561,3,4739
38,3508,110,pair_016_conflict,conflict,1,0,0,12.160000000000002,0.294155,56128,168384,581,3,5102
39,3595,87,pair_006_control,control,1,0,0,12.39,0.29401,57520,172560,586,3,5380
40,3685,90,pair_010_control,control,1,0,0,12.360000000000001,0.29386,58960,176880,598,3,5664
41,3773,88,pair_000_conflict,conflict,1,0,0,12.380000000000003,0.2937133333333333,60368,181104,623,3,5930
42,3877,104,pair_012_control,control,1,0,0,12.22,0.29353999999999997,62032,186096,630,3,6264
43,3982,105,pair_004_conflict,conflict,1,0,0,12.21,0.293365,63712,191136,666,3,6627
44,4098,116,pair_012_conflict,conflict,1,0,0,12.100000000000001,0.29317166666666666,65568,196704,679,3,7042
45,4101,3,pair_002_conflict,conflict,0,1,0,-0.92,0.29316666666666663,65616,196848,682,4,7051
46,4214,113,pair_009_control,control,1,0,0,12.13,0.29297833333333334,67424,202272,685,4,7493
47,4320,106,pair_003_control,control,1,0,0,12.200000000000001,0.2928016666666667,69120,207360,697,4,7921
48,4401,81,pair_000_control,control,1,0,0,12.450000000000001,0.29266666666666663,70416,211248,720,4,8260
49,4498,97,pair_001_control,control,1,0,0,12.290000000000003,0.292505,71968,215904,720,4,8657
50,4502,4,pair_002_control,control,0,1,0,-0.88,0.2924983333333333,72032,216096,724,4,8673
51,4608,106,pair_006_conflict,conflict,1,0,0,12.200000000000001,0.29232166666666665,73728,221184,724,4,9129
52,4713,105,pair_005_conflict,conflict,1,0,0,12.21,0.29214666666666667,75408,226224,741,4,9536
53,4806,93,pair_013_conflict,conflict,1,0,0,12.330000000000002,0.29199166666666665,76896,230688,757,4,9890
54,4886,80,pair_004_control,control,1,0,0,12.46,0.29185833333333333,78176,234528,780,4,10215
55,4990,104,pair_014_control,control,1,0,0,12.220000000000002,0.29168499999999997,79840,239520,792,4,10650
56,5094,104,pair_007_control,control,1,0,0,12.22,0.29151166666666667,81504,244512,806,4,11095
57,5181,87,pair_007_conflict,conflict,1,0,0,12.390000000000002,0.29136666666666666,82896,248688,813,4,11480
58,5280,99,pair_005_control,control,1,0,0,12.270000000000001,0.29120166666666664,84480,253440,826,4,11949
59,5382,102,pair_011_conflict,conflict,1,0,0,12.240000000000002,0.29103166666666663,86112,258336,839,4,12466
