episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress
0,48,48,pair_009_n3_009_conflict,conflict,0,1,0,0.38000000000000056,0.29992166666666664,768,2304,38,0,7,0,0,0,0.0
1,141,93,pair_013_n5_013_conflict,conflict,1,0,0,12.330000000000002,0.2997666666666667,2256,6768,66,0,42,0,0,0,0.0
2,203,62,pair_009_n3_009_control,control,0,1,0,0.24000000000000044,0.29966333333333334,3248,9744,91,0,70,0,0,0,0.0
3,210,7,pair_007_n5_007_control,control,0,1,0,-0.86,0.29965166666666665,3360,10080,98,1,73,0,0,0,0.0
4,232,22,pair_000_n5_000_control,control,0,1,0,-0.6600000000000001,0.29961499999999996,3712,11136,120,2,89,0,0,0,0.0
5,314,82,pair_008_n5_008_control,control,1,0,0,12.440000000000001,0.29947833333333335,5024,15072,191,4,163,0,0,0,0.0
6,331,17,pair_012_n3_012_conflict,conflict,0,1,0,-0.66,0.29945,5296,15888,208,4,185,0,0,0,0.0
7,435,104,pair_006_n5_006_conflict,conflict,1,0,0,12.22,0.29927666666666664,6960,20880,273,4,314,0,0,0,0.0
8,537,102,pair_013_n3_013_conflict,conflict,1,0,0,12.240000000000002,0.29910666666666663,8592,25776,300,4,484,0,0,0,0.0
9,554,17,pair_005_n5_005_conflict,conflict,0,1,0,-0.4600000000000001,0.29907833333333333,8864,26592,315,4,512,0,0,0,0.0
10,574,20,pair_013_n3_013_control,control,0,1,0,-0.5900000000000001,0.299045,9184,27552,335,4,538,0,0,0,0.0
11,646,72,pair_005_n5_005_control,control,1,0,0,12.540000000000001,0.298925,10336,31008,375,4,671,0,0,0,0.0
12,653,7,pair_015_n3_015_conflict,conflict,0,1,0,-0.86,0.2989133333333333,10448,31344,382,4,681,0,0,0,0.0
13,674,21,pair_005_n3_005_control,control,0,1,0,-0.5000000000000001,0.2988783333333333,10784,32352,401,4,724,0,0,0,0.0
14,766,92,pair_015_n3_015_control,control,1,0,0,12.340000000000002,0.29872499999999996,12256,36768,446,4,929,0,0,0,0.0
15,839,73,pair_004_n5_004_control,control,1,0,0,12.530000000000001,0.29860333333333333,13424,40272,475,4,1111,0,0,0,0.0
16,924,85,pair_010_n5_010_control,control,1,0,0,12.410000000000002,0.2984616666666667,14784,44352,519,4,1325,0,0,0,0.0
17,1024,100,pair_001_n3_001_conflict,conflict,1,0,0,12.260000000000002,0.298295,16384,49152,573,4,1587,0,0,0,0.0
18,1044,20,pair_012_n5_012_conflict,conflict,0,1,0,-0.5900000000000001,0.29826166666666665,16704,50112,593,4,1660,0,0,0,0.0
19,1091,47,pair_011_n3_011_control,control,0,1,0,-0.10999999999999976,0.2981833333333333,17456,52368,618,4,1815,0,0,0,0.0
20,1098,7,pair_011_n5_011_control,control,0,1,0,-0.86,0.29817166666666667,17568,52704,625,4,1838,0,0,0,0.0
21,1103,5,pair_017_n5_017_conflict,conflict,0,1,0,-0.84,0.29816333333333334,17648,52944,630,4,1860,0,0,0,0.0
22,1204,101,pair_003_n5_003_conflict,conflict,0,1,0,1.1500000000000012,0.297995,19264,57792,648,4,2189,0,0,0,0.0
23,1318,114,pair_015_n5_015_conflict,conflict,1,0,0,12.120000000000001,0.297805,21088,63264,695,4,2587,0,0,0,0.0
24,1337,19,pair_015_n5_015_control,control,0,1,0,-0.4800000000000001,0.29777333333333333,21392,64176,714,4,2666,0,0,0,0.0
25,1349,12,pair_009_n5_009_control,control,0,1,0,-0.66,0.2977533333333333,21584,64752,726,4,2710,0,0,0,0.0
26,1451,102,pair_010_n5_010_conflict,conflict,1,0,0,12.240000000000002,0.2975833333333333,23216,69648,781,4,3141,0,0,0,0.0
27,1469,18,pair_003_n3_003_control,control,0,1,0,-0.4700000000000001,0.29755333333333334,23504,70512,792,4,3224,0,0,0,0.0
28,1562,93,pair_003_n3_003_conflict,conflict,0,1,0,1.2800000000000016,0.2973983333333333,24992,74976,805,5,3659,0,0,0,0.0
29,1662,100,pair_010_n3_010_conflict,conflict,0,1,0,1.1100000000000008,0.29723166666666667,26592,79776,846,5,4106,0,0,0,0.0
30,1668,6,pair_014_n3_014_conflict,conflict,0,1,0,-0.9,0.29722166666666666,26688,80064,852,5,4143,0,0,0,0.0
31,1767,99,pair_017_n3_017_control,control,1,0,0,12.270000000000001,0.29705666666666664,28272,84816,907,5,4616,0,0,0,0.0
32,1792,25,pair_016_n5_016_conflict,conflict,0,1,0,-0.54,0.297015,28672,86016,932,5,4735,0,0,0,0.0
33,1811,19,pair_000_n3_000_conflict,conflict,0,1,0,-0.53,0.2969833333333333,28976,86928,951,5,4829,0,0,0,0.0
34,1899,88,pair_008_n5_008_conflict,conflict,1,0,0,12.38,0.29683666666666664,30384,91152,992,5,5294,0,0,0,0.0
35,2024,125,pair_004_n5_004_conflict,conflict,1,0,0,12.010000000000002,0.2966283333333333,32384,97152,1022,5,6023,0,0,0,0.0
36,2116,92,pair_000_n3_000_control,control,0,1,0,1.2900000000000014,0.296475,33856,101568,1059,6,6576,0,0,0,0.0
