episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
0,89,89,pair_009_n3_009_conflict,conflict,1,0,0,12.370000000000001,0.2998533333333333,1424,4272,64,0,26,0,0,0,0.0,1,1,0,0,0,1,0,1,1
1,186,97,pair_013_n5_013_conflict,conflict,1,0,0,12.290000000000001,0.29969166666666663,2976,8928,117,4,70,0,0,0,0.0,5,5,0,0,0,5,0,5,5
2,281,95,pair_009_n3_009_control,control,1,0,0,12.310000000000002,0.2995333333333333,4496,13488,169,4,149,0,0,0,0.0,6,6,0,0,0,6,0,6,6
3,380,99,pair_007_n5_007_control,control,1,0,0,12.270000000000001,0.29936833333333335,6080,18240,240,5,255,0,0,0,0.0,7,7,0,0,0,7,0,7,6
4,475,95,pair_000_n5_000_control,control,1,0,0,12.310000000000002,0.29921,7600,22800,310,8,399,0,0,0,0.0,8,8,0,0,0,8,0,8,7
5,574,99,pair_008_n5_008_control,control,1,0,0,12.270000000000001,0.299045,9184,27552,395,8,583,0,0,0,0.0,8,8,0,0,0,8,0,8,7
6,648,74,pair_012_n3_012_conflict,conflict,1,0,0,12.520000000000001,0.29892166666666664,10368,31104,433,8,738,0,0,0,0.0,9,9,0,0,0,9,0,9,7
7,744,96,pair_006_n5_006_conflict,conflict,1,0,0,12.3,0.29876166666666665,11904,35712,506,8,993,0,0,0,0.0,11,11,0,0,0,11,0,11,7
8,837,93,pair_013_n3_013_conflict,conflict,1,0,0,12.330000000000002,0.29860666666666663,13392,40176,545,8,1271,0,0,0,0.0,12,12,0,0,0,12,0,12,8
9,920,83,pair_005_n5_005_conflict,conflict,1,0,0,12.430000000000001,0.29846833333333334,14720,44160,611,8,1544,0,0,0,0.0,14,14,0,0,0,14,0,14,9
10,1015,95,pair_013_n3_013_control,control,1,0,0,12.31,0.29830999999999996,16240,48720,649,9,1835,0,0,0,0.0,15,15,0,0,0,15,0,15,9
11,1120,105,pair_005_n5_005_control,control,1,0,0,12.21,0.298135,17920,53760,670,9,2215,0,0,0,0.0,16,16,0,0,0,16,0,16,9
12,1221,101,pair_015_n3_015_conflict,conflict,1,0,0,12.250000000000002,0.29796666666666666,19536,58608,705,9,2592,0,0,0,0.0,17,17,0,0,0,17,0,17,10
13,1331,110,pair_005_n3_005_control,control,1,0,0,12.160000000000002,0.29778333333333334,21296,63888,734,9,3015,0,0,0,0.0,17,17,0,0,0,17,0,17,10
14,1413,82,pair_015_n3_015_control,control,1,0,0,12.440000000000001,0.29764666666666667,22608,67824,778,9,3350,0,0,0,0.0,17,17,0,0,0,17,0,17,10
15,1537,124,pair_004_n5_004_control,control,1,0,0,12.020000000000001,0.29744,24592,73776,848,12,3884,0,0,0,0.0,22,22,0,0,0,22,0,22,11
16,1625,88,pair_010_n5_010_control,control,1,0,0,12.38,0.2972933333333333,26000,78000,885,12,4319,0,0,0,0.0,23,23,0,0,0,23,0,23,11
