episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
0,89,89,pair_009_n3_009_conflict,conflict,1,0,0,12.370000000000001,0.2998533333333333,1424,4272,64,0,69,0,0,0,0.0,1,1,0,0,0,1,42,1,1
1,186,97,pair_013_n5_013_conflict,conflict,1,0,0,12.290000000000001,0.29969166666666663,2976,8928,119,4,459,0,0,0,0.0,5,5,0,0,0,5,392,5,5
2,280,94,pair_009_n3_009_control,control,1,0,0,12.320000000000002,0.299535,4480,13440,191,5,902,0,0,0,0.0,8,8,0,0,0,8,768,8,8
3,380,100,pair_007_n5_007_control,control,1,0,0,12.260000000000002,0.29936833333333335,6080,18240,261,6,1416,0,0,0,0.0,11,11,0,0,0,11,1168,11,9
4,478,98,pair_000_n5_000_control,control,1,0,0,12.280000000000001,0.299205,7648,22944,332,9,1949,0,0,0,0.0,12,12,0,0,0,12,1560,12,10
5,586,108,pair_008_n5_008_control,control,1,0,0,12.180000000000001,0.299025,9376,28128,429,9,2580,0,0,0,0.0,14,14,0,0,0,14,1992,14,11
6,662,76,pair_012_n3_012_conflict,conflict,1,0,0,12.500000000000002,0.2988983333333333,10592,31776,476,9,3046,0,0,0,0.0,17,17,0,0,0,17,2296,17,13
7,761,99,pair_006_n5_006_conflict,conflict,1,0,0,12.270000000000001,0.2987333333333333,12176,36528,540,9,3700,0,0,0,0.0,18,18,0,0,0,18,2692,18,13
8,844,83,pair_013_n3_013_conflict,conflict,1,0,0,12.430000000000001,0.298595,13504,40512,590,9,4286,0,0,0,0.0,18,18,0,0,0,18,3024,18,13
9,926,82,pair_005_n5_005_conflict,conflict,1,0,0,12.440000000000001,0.2984583333333333,14816,44448,641,9,4871,0,0,0,0.0,20,20,0,0,0,20,3352,20,13
10,1013,87,pair_013_n3_013_control,control,1,0,0,12.39,0.2983133333333333,16208,48624,670,9,5498,0,0,0,0.0,22,22,0,0,0,22,3700,22,14
11,1118,105,pair_005_n5_005_control,control,1,0,0,12.21,0.29813833333333334,17888,53664,689,9,6256,0,0,0,0.0,22,22,0,0,0,22,4120,22,14
12,1221,103,pair_015_n3_015_conflict,conflict,1,0,0,12.23,0.29796666666666666,19536,58608,733,9,7048,0,0,0,0.0,22,22,0,0,0,22,4532,22,14
13,1328,107,pair_005_n3_005_control,control,1,0,0,12.190000000000001,0.2977883333333333,21248,63744,749,9,7884,0,0,0,0.0,23,23,0,0,0,23,4960,23,14
