episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress
0,3,3,pair_012_n3_012_control,control,0,1,0,-1.02,0.29999666666666663,0,192,3,0,0,0,0,0,0.0
1,114,111,pair_010_n3_010_control,control,1,0,0,12.150000000000002,0.29981166666666664,0,7296,27,0,5,0,0,0,0.0
2,203,89,pair_007_n5_007_control,control,1,0,0,12.370000000000001,0.29966333333333334,0,12992,85,0,40,0,0,0,0.0
3,206,3,pair_002_n5_002_control,control,0,1,0,-0.97,0.2996583333333333,0,13184,88,0,41,0,0,0,0.0
4,300,94,pair_008_n3_008_conflict,conflict,0,1,0,1.2200000000000015,0.29950166666666667,0,19200,125,0,102,0,0,0,0.0
5,400,100,pair_003_n3_003_conflict,conflict,0,1,0,1.2100000000000013,0.29933499999999996,0,25600,195,1,229,0,0,0,0.0
6,402,2,pair_016_n5_016_control,control,0,1,0,-0.96,0.29933166666666666,0,25728,197,1,231,0,0,0,0.0
7,404,2,pair_011_n5_011_control,control,0,1,0,-0.96,0.2993283333333333,0,25856,199,1,233,0,0,0,0.0
8,408,4,pair_016_n3_016_conflict,conflict,0,1,0,-0.98,0.29932166666666665,0,26112,203,1,245,0,0,0,0.0
9,410,2,pair_009_n5_009_conflict,conflict,0,1,0,-0.96,0.2993183333333333,0,26240,205,1,247,0,0,0,0.0
10,412,2,pair_011_n5_011_conflict,conflict,0,1,0,-0.96,0.299315,0,26368,207,1,249,0,0,0,0.0
11,499,87,pair_004_n5_004_control,control,0,1,0,0.5900000000000007,0.29917,0,31936,240,1,391,0,0,0,0.0
12,594,95,pair_012_n3_012_conflict,conflict,1,0,0,12.310000000000002,0.2990116666666667,0,38016,286,1,579,0,0,0,0.0
13,613,19,pair_005_n5_005_control,control,0,1,0,-0.5300000000000001,0.29897999999999997,0,39232,305,2,620,0,0,0,0.0
14,631,18,pair_014_n5_014_conflict,conflict,0,1,0,-0.72,0.29895,0,40384,323,3,656,0,0,0,0.0
