episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
513,47972,81,pair_010_n5_010_control,control,1,0,0,12.450000000000001,0.22004833333333332,767552,2302656,24012,276,1064213,0,0,0,0.0,659,659,0,0,57,602,0,659,29
514,48057,85,pair_007_n3_007_control,control,1,0,0,12.410000000000002,0.21990666666666664,768912,2306736,24043,276,1065975,0,0,0,0.0,659,659,0,0,57,602,0,659,29
515,48135,78,pair_002_n3_002_conflict,conflict,1,0,0,12.480000000000002,0.21977666666666668,770160,2310480,24063,276,1067521,0,0,0,0.0,659,659,0,0,57,602,0,659,29
516,48227,92,pair_016_n5_016_conflict,conflict,1,0,0,12.340000000000002,0.21962333333333334,771632,2314896,24112,276,1069385,0,0,0,0.0,660,660,0,0,58,602,0,660,29
517,48322,95,pair_000_n5_000_conflict,conflict,1,0,0,12.310000000000002,0.219465,773152,2319456,24161,276,1071338,0,0,0,0.0,662,662,0,0,58,604,0,662,29
518,48402,80,pair_008_n3_008_conflict,conflict,1,0,0,12.46,0.21933166666666665,774432,2323296,24174,276,1072974,0,0,0,0.0,662,662,0,0,58,604,0,662,29
519,48493,91,pair_016_n3_016_control,control,1,0,0,12.350000000000001,0.21917999999999999,775888,2327664,24219,276,1074853,0,0,0,0.0,663,663,0,0,58,605,0,663,29
520,48569,76,pair_013_n3_013_control,control,1,0,0,12.500000000000002,0.21905333333333332,777104,2331312,24265,276,1076379,0,0,0,0.0,663,663,0,0,58,605,0,663,29
521,48655,86,pair_008_n5_008_conflict,conflict,1,0,0,12.400000000000002,0.21891,778480,2335440,24316,276,1078126,0,0,0,0.0,664,664,0,0,58,606,0,664,29
522,48728,73,pair_014_n3_014_control,control,1,0,0,12.530000000000001,0.2187883333333333,779648,2338944,24354,276,1079648,0,0,0,0.0,665,665,0,0,59,606,0,665,29
