episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_marked_total,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,action_margin_candidate_steps_cumulative,action_margin_labeled_steps_cumulative,action_margin_safe_labels_cumulative,action_margin_blocked_labels_cumulative,action_margin_mean_loss,action_margin_batch_items_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
26,3845,276,pair_007_n3_007_control,control,1,0,0,10.499999999999998,0.2935933333333333,61520,184560,1987,50,16745,0,0,0,0,0.0,0,0,0,0,0,0,3845,162,581,171,0.02463804406425171,1198,0,0,0
27,4145,300,pair_008_n3_008_conflict,conflict,0,0,0,-0.8000000000000012,0.2930933333333333,66320,198960,1991,50,20020,0,0,0,0,0.0,0,0,0,0,0,0,4145,162,581,171,0.024341178331658945,1477,0,0,0
28,4168,23,pair_012_n3_012_control,control,0,1,0,-1.02,0.293055,66688,200064,2014,52,20266,0,0,0,0,0.0,0,0,0,0,0,0,4168,171,616,180,0.024212762416137523,1504,0,0,0
29,4468,300,pair_010_n5_010_control,control,0,0,0,-0.15000000000000077,0.292555,71488,214464,2217,52,23667,0,0,0,0,0.0,0,0,0,0,0,0,4468,171,616,180,0.023632387018549084,1747,0,0,0
30,4508,40,pair_015_n3_015_conflict,conflict,0,1,0,-1.19,0.29248833333333335,72128,216384,2257,53,24170,0,0,0,0,0.0,0,0,0,0,0,0,4508,178,639,187,0.02350505665611945,1793,0,0,0
31,4646,138,pair_013_n5_013_conflict,conflict,0,1,0,-1.7700000000000005,0.29225833333333334,74336,223008,2395,56,25973,0,0,0,0,0.0,0,0,0,0,0,0,4646,200,711,210,0.023290568505551345,1941,0,0,0
32,4694,48,pair_006_n3_006_conflict,conflict,0,1,0,-1.27,0.2921783333333333,75104,225312,2443,58,26575,0,0,0,0,0.0,0,0,0,0,0,0,4694,212,755,222,0.02315902926849577,1987,0,0,0
33,4994,300,pair_000_n5_000_conflict,conflict,0,0,0,-0.40000000000000085,0.2916783333333333,79904,239712,2498,58,30684,0,0,0,0,0.0,0,0,0,0,0,0,4994,212,755,222,0.021887653281361694,2314,0,0,0
34,5025,31,pair_006_n3_006_control,control,0,1,0,-1.15,0.29162666666666665,80400,241200,2529,59,31144,0,0,0,0,0.0,0,0,0,0,0,0,5025,222,793,232,0.021771635449959418,2354,0,0,0
35,5325,300,pair_011_n5_011_conflict,conflict,0,0,0,-2.3999999999999972,0.29112666666666664,85200,255600,2829,59,35729,0,0,0,0,0.0,0,0,0,0,0,0,5325,231,827,241,0.020766372155275704,2743,0,0,0
36,5625,300,pair_010_n3_010_conflict,conflict,0,0,0,-2.449999999999996,0.29062666666666664,90000,270000,3094,59,40584,0,0,0,0,0.0,0,0,0,0,0,0,5625,231,827,241,0.019850281769368382,3108,0,0,0
37,5925,300,pair_003_n3_003_control,control,0,0,0,-2.3999999999999946,0.29012666666666664,94800,284400,3377,59,46036,0,0,0,0,0.0,0,0,0,0,0,0,5925,231,827,241,0.018928055095973617,3508,0,0,0
38,6089,164,pair_005_n3_005_conflict,conflict,0,1,0,-1.9300000000000008,0.2898533333333333,97424,292272,3539,61,49177,0,0,0,0,0.0,0,0,0,0,0,0,6089,251,901,263,0.01853585471350566,3699,0,0,0
